NMNH       197166     Phu34stv
18.9417    18.9123    16.6423    IN
14.7403    15.3728    18.6021    BR
10.8473    11.5412    16.2066    GL
10.9127    11.5939    15.3973    NA
8.8593     9.0242     8.2892     RH
7.3439     7.1177     3.735      NS
7.4913     7.1588     2.4295     PR
6.988      8.2311     2.5565     R_PR2
9.1255     10.159     9.3635     R_PMS
9.1973     14.9676    9.4365     R_ZMI
9.969      13.2721    12.8244    R_ZMU
10.7476    11.9848    14.1126    R_DA
9.7024     12.9788    16.0281    R_MTI
9.9278     13.6338    16.7567    R_MTS
9.3969     14.9514    14.5308    R_FMO
9.4242     15.9359    14.4969    R_FMT
13.6228    20.1046    13.3372    R_PO
9.4953     17.0414    11.4125    R_ZTS
8.4979     6.6318     2.732      L_PR2
10.0323    9.4518     9.5007     L_PMS
14.7964    9.5441     9.5726     L_ZMI
12.827     10.3745    12.9       L_ZMU
11.4659    11.3951    14.1173    L_DA
12.516     10.1494    16.1342    L_MTI
13.2022    10.5369    16.8348    L_MTS
14.317     9.8607     14.7424    L_FMO
15.2524    9.9023     14.853     L_FMT
19.7383    13.8322    13.8763    L_PO
16.5257    9.7003     11.7811    L_ZTS
8.1317     6.492      3.3435     O1
10.0718    14.9129    16.2517    O2
18.0294    10.5412    12.6707    O3
19.5309    18.238     16.0249    O4







































































































































































10.7992    11.5394    16.0128    GLRH
10.8334    11.5562    15.8
10.8684    11.5498    15.6045
10.9017    11.5676    15.3943
10.8991    11.5592    15.1901
10.928     11.554     14.9976
10.9137    11.5266    14.7848
10.863     11.5517    14.5203
10.8455    11.4996    14.3464
10.8547    11.4449    14.1916
10.7949    11.4291    14.0074
10.7811    11.3238    13.7868
10.7154    11.2647    13.5956
10.6638    11.1998    13.4009
10.5909    11.1955    13.2384
10.5233    11.0936    12.9634
10.4912    10.9971    12.8082
10.4123    10.9178    12.5954
10.3983    10.8606    12.4719
10.3751    10.798     12.3391
10.3273    10.7382    12.1773
10.2534    10.6865    11.9849
10.1874    10.629     11.8197
10.1332    10.5665    11.6616
10.0749    10.4975    11.5323
10.0379    10.4026    11.3279
9.9447     10.3274    11.1319
9.905      10.2471    10.9783
9.825      10.1467    10.7947
9.7379     10.1093    10.6399
9.6719     10.0715    10.5181
9.6174     10.0039    10.4106
9.5573     9.9152     10.233
9.5028     9.8312     10.0881
9.4527     9.7743     9.9417
9.3767     9.7085     9.7936
9.2747     9.6476     9.6116
9.2457     9.5843     9.4838
9.1841     9.5132     9.3253
9.146      9.3992     9.1496
9.0953     9.3416     9.029
9.0362     9.3069     8.9093
8.9795     9.2545     8.7437
8.9295     9.1872     8.5814
8.873      9.1173     8.437
8.8626     8.9875     8.2212


























































































































































8.841      8.9892     8.2745     NOSE
8.576      9.0718     7.9956
8.3688     9.0791     7.7885
8.2651     9.131      7.6215
8.0838     9.1606     7.3622
7.9891     9.0919     7.199
7.826      9.0868     7.0444
7.736      9.0636     6.8574
7.4974     9.0468     6.6653
7.3807     9.0187     6.3722
7.3315     8.9921     6.2254
7.2609     8.8384     5.8534
7.2159     8.7352     5.5784
7.2274     8.6313     5.3555
7.3236     8.4671     5.1941
7.215      8.3277     4.9063
7.1135     8.1796     4.6949
7.0684     8.0922     4.5946
7.0279     7.9895     4.4693
6.9429     7.8263     4.275
6.9427     7.6734     4.1015
6.936      7.5061     3.9342
7.0237     7.2894     3.7931
7.0769     7.1587     3.6642
7.2299     7.1494     3.6862
7.3774     7.1383     3.8114
7.4571     6.9942     3.7789
7.4645     6.7906     3.6979
7.6104     6.6656     3.7893
7.7026     6.6809     3.8907
7.8648     6.5976     4.0183
8.0474     6.6144     4.2013
8.1883     6.6534     4.3949
8.3646     6.7183     4.5815
8.5014     6.7134     4.7903
8.5874     6.8002     4.9995
8.6429     6.9074     5.2481
8.6821     7.0079     5.4634
8.7209     7.0781     5.5901
8.7866     7.1266     5.7596
8.836      7.1494     5.9542
8.8754     7.1553     6.0795
8.9264     7.2445     6.2508
8.9958     7.3081     6.4626
9.0347     7.3538     6.5675
9.1066     7.4287     6.811
9.084      7.6665     6.9292
9.1223     7.8212     7.1448
9.1177     8.0343     7.2638
9.1512     8.0268     7.4878
9.0964     8.1695     7.5849
9.1186     8.3234     7.7693
9.072      8.3904     7.7923
9.0239     8.5387     7.9691
9.0219     8.7576     8.064
9.0233     8.8155     8.2293
8.8539     8.989      8.2264















































































































































7.3598     7.1428     3.7834     NASP-PR
7.3301     7.0378     3.5941
7.2739     6.9401     3.3619
7.2918     6.9588     3.1882
7.2959     7.0046     2.973
7.3948     7.0319     2.7537
7.4075     7.1202     2.5574
7.4715     7.1497     2.4457
































































































































































































9.0717     10.1619    9.3468     R-PM/MAX
9.013      10.0946    9.2016
8.9128     10.0458    9.0133
8.8137     9.9822     8.8845
8.7014     9.9272     8.7478
8.599      9.8998     8.6156
8.5179     9.803      8.4571
8.4255     9.7727     8.3268
8.3178     9.7148     8.1635
8.2243     9.693      8.0266
8.124      9.6518     7.8511
8.0426     9.6186     7.7785
7.9824     9.6205     7.6263
7.8945     9.6043     7.4972
7.7712     9.6184     7.364
7.6966     9.5953     7.2198
7.596      9.6414     7.0688
7.5413     9.6551     6.8707
7.4962     9.5826     6.6562
7.4285     9.4956     6.4389
7.4035     9.5119     6.2587
7.3571     9.4906     6.0994
7.3413     9.4513     5.8869
7.2994     9.451      5.6672
7.2272     9.4913     5.4321
7.2116     9.506      5.2096
7.1485     9.584      5.0202
7.1136     9.6365     4.7798
7.0976     9.678      4.5719
7.0535     9.6402     4.3592
7.0172     9.5952     4.1893
7.0011     9.6068     4.0658
7.0676     9.6558     3.767
7.1394     9.6655     3.5716
7.2766     9.4374     3.4737





































































































































































10.023     9.396      9.4745     L-PM/MAX
9.9716     9.3193     9.3404
9.8794     9.1958     9.1396
9.8296     9.1147     9.0339
9.7638     8.9956     8.8844
9.7408     8.8869     8.7133
9.6618     8.7365     8.5462
