UWMA       ZA 1376    Phu103sf
18.2332    21.489     12.5669    IN
14.6937    17.6229    16.0035    BR
9.8848     12.2111    15.257     GL
9.9349     12.2198    14.4832    NA
7.0091     7.8868     8.6017     RH
5.204      5.3061     4.9187     NS
4.9267     4.8013     3.2473     PR
4.229      5.5523     3.3107     R_PR2
6.8021     8.8771     8.505      R_PMS
7.1472     14.3905    8.4909     R_ZMI
8.7665     13.6187    12.1099    R_ZMU
9.9327     12.8017    13.701     R_DA
8.7242     13.6398    14.4982    R_MTI
9.2051     14.3001    16.0082    R_MTS
7.9433     15.2317    13.3434    R_FMO
7.7432     16.304     13.5394    R_FMT
11.7633    20.9098    10.2658    R_PO
7.066      16.9039    9.7793     R_ZTS
5.889      4.4397     3.4025     L_PR2
8.0815     7.7662     8.5943     L_PMS
13.1209    9.2798     9.0611     L_ZMI
11.8458    11.0646    12.4187    L_ZMU
10.6922    12.1808    13.7003    L_DA
11.7448    10.9565    14.8236    L_MTI
12.1197    11.6006    16.0835    L_MTS
13.4817    10.5506    13.7896    L_FMO
14.6392    10.6812    14.0753    L_FMT
18.5999    15.0162    10.6788    L_PO
15.9542    10.0137    10.5793    L_ZTS
5.1828     4.1729     3.1689     O1
8.8258     15.2893    15.551     O2
18.3328    12.1839    10.4148    O3
19.0296    19.7545    11.8323    O4







































































































































































9.9039     12.1731    15.1399    GLRH
9.9037     12.1772    14.8792
9.908      12.2147    14.6121
9.9248     12.2396    14.4843
9.9939     12.2375    14.2456
10.016     12.206     14.0045
10.0178    12.2138    13.8075
10.0383    12.1635    13.6099
10.0379    12.0702    13.4181
10.0014    12.0007    13.2409
9.9849     11.9402    13.1078
9.9072     11.8604    12.9415
9.8494     11.7851    12.7812
9.7818     11.6968    12.6055
9.7346     11.6685    12.5285
9.7109     11.5944    12.433
9.6744     11.4717    12.3007
