FMNH       98095      Phu57stv
7.2653     7.2049     8.7319     R-PM/MAX
7.146      7.1144     8.5501
7.0723     7.0912     8.4157
6.9611     7.0005     8.2347
6.8575     6.9749     8.0553
6.7432     6.9104     7.8916
6.6665     6.8591     7.7569
6.5884     6.8097     7.6594
6.5205     6.7814     7.5581
6.4015     6.7034     7.3749
6.2948     6.6623     7.2209
6.188      6.5731     6.9214
6.1269     6.5562     6.7782
6.0655     6.4851     6.4486
6.028      6.4966     6.3061
5.976      6.4909     6.1006
5.902      6.5115     5.9106
5.8596     6.5509     5.7192
5.7911     6.5874     5.5502
5.7449     6.7125     5.365
5.6965     6.8122     5.2867
5.5966     6.9405     5.1617
5.5226     7.0271     4.9579
5.5153     7.0066     4.7807
5.5274     7.0496     4.4339
5.638      7.0069     4.2399
5.8665     6.8273     4.0669













































































































































































8.7265     6.202      8.9713     L-PM/MAX
8.6553     5.9947     8.6868
8.6227     5.8776     8.5309
8.6074     5.7734     8.3809
8.5995     5.6636     8.215
8.5976     5.5221     8.0657
8.5684     5.3937     7.8621
8.5346     5.3245     7.7827
8.5109     5.2303     7.6479
8.4718     5.0921     7.4652
8.4716     4.9382     7.2555
8.4299     4.8404     7.0284
8.3944     4.7439     6.7757
8.3821     4.6708     6.6405
8.3776     4.6119     6.472
8.3701     4.5568     6.3057
8.373      4.5221     6.1576
8.4055     4.4616     5.9066
8.476      4.4407     5.6851
8.6272     4.4861     5.5705
8.7582     4.3881     5.4393
8.8186     4.3382     5.211
8.8287     4.3166     5.0783
8.8283     4.2895     4.936
8.8623     4.2886     4.8737
8.8846     4.2972     4.7078
8.9035     4.2921     4.5833
8.9728     4.3555     4.4394
8.8844     4.4467     4.2551
8.804      4.5957     4.0598










































































































































































7.5414     10.4543    6.2299     ROSTRUM
7.4397     10.3536    6.4671
7.41       10.2094    6.6438
7.4527     9.9424     6.9626
7.4542     9.8333     7.0512
7.4612     9.7199     7.1831
7.4456     9.616      7.3017
7.4191     9.5093     7.4992
7.3643     9.4092     7.6078
7.2791     9.3404     7.7685
7.178      9.2794     7.9919
7.0582     9.2008     8.195
6.9086     9.1662     8.4188
6.7337     9.1023     8.6517
6.6339     9.014      8.8091
6.6101     8.8823     9.0489
