AMNH       169432     Phu1mam8
1.6992     26.5048    13.6909    IN
1.9227     21.3849    16.4087    BR
2.3955     14.9842    15.9066    GL
2.3545     14.8709    15.381     NA
2.4237     9.3585     9.3197     RH
2.5965     6.5761     6.0487     NS
2.6784     6.1913     4.4847     PR
1.5693     6.4891     4.4239     R_PR2
1.4759     10.2935    9.7393     R_PMS
-1.7814    14.4565    9.1335     R_ZMI
-0.0523    14.7475    13.1292    R_ZMU
1.8566     14.9805    14.3006    R_DA
-0.0159    15.059     15.6222    R_MTI
0.0939     15.9169    16.6278    R_MTS
-1.4991    15.6373    14.2612    R_FMO
-2.5396    16.2931    14.1966    R_FMT
-2.6437    22.3113    11.629     R_PO
-3.6028    16.5347    10.5851    R_ZTS
3.7255     6.522      4.5463     L_PR2
3.335      10.1759    9.7237     L_PMS
6.1936     15.1601    8.9069     L_ZMI
4.527      14.9877    13.0245    L_ZMU
2.8063     15.0659    14.2621    L_DA
4.7966     15.3539    15.4958    L_MTI
4.7296     16.3134    16.4643    L_MTS
5.833      15.9063    13.6306    L_FMO
6.8981     17.0782    14.0859    L_FMT
6.1661     22.7329    11.3074    L_PO
7.7023     17.025     10.4063    L_ZTS
3.4567     5.9894     4.5023     O1
5.8575     17.1916    15.8264    O2
-3.631     20.6132    11.0243    O3
-0.5806    25.0932    12.9465    O4







































































































































































2.3603     14.986     15.9293    GLRH
2.3566     14.9425    15.7352
2.3414     14.9198    15.6491
2.3372     14.8993    15.5202
2.3441     14.8265    15.1997
2.3478     14.7987    15.0162
2.3328     14.786     14.9134
2.3124     14.7739    14.7686
2.3295     14.7521    14.5777
2.3527     14.7345    14.4415
2.3286     14.6874    14.3418
2.3391     14.6478    14.1816
2.3208     14.539     14.0652
2.3326     14.4913    13.9777
2.3342     14.4363    13.886
2.3464     14.3592    13.751
2.3367     14.2767    13.641
2.3511     14.1744    13.5244
2.3353     14.0908    13.4438
2.3472     14.0127    13.3743
2.3412     13.8455    13.2396
2.3359     13.7492    13.1569
2.3359     13.6618    13.0988
2.3195     13.5664    13.045
2.3249     13.4552    12.9688
2.3173     13.3741    12.9126
2.3484     13.2783    12.8437
2.3461     13.1744    12.7688
2.3157     13.0297    12.6502
