TMP        STS 397    Ppb11



















































































































13.0486    15.1414    10.0637    RTEMFOS
12.946     14.9748    9.9735
12.9613    14.9026    9.7843
12.8992    14.8408    9.6444
12.8604    14.7803    9.489
12.8607    14.7465    9.3587
12.8389    14.6578    9.1808
12.8472    14.5977    9.0963
12.8264    14.5337    8.9973
12.7501    14.1322    8.3356
12.6958    14.0386    8.1804
12.6543    14.0447    8.0098
12.5547    14.0912    7.8241
12.4764    14.1838    7.6829
12.3772    14.2226    7.5516
12.3327    14.3351    7.4184
12.3177    14.5508    7.3112
12.2903    14.6808    7.2887
12.2741    14.8226    7.2751
12.2111    15.0077    7.2422
12.2033    15.1511    7.2492
12.1725    15.2342    7.2186
12.1639    15.2937    7.1962

















































































































































































9999       9999       9999       LTEMFOS







































































































































































































15.5908    12.1142    9.9589     OP
15.7166    13.659     10.2482    BA
9999       9999       9999       ST
16.1726    21.967     11.3439    IV
12.1443    14.0094    9.961      R_PG
11.2636    16.1938    9.33       R_ZTI
13.7758    18.2419    11.3845    R_M3D
13.7448    20.5559    11.4904    R_M12
9999       9999       9999       R_MP3
9999       9999       9999       R_PMI
19.2847    13.5453    10.153     L_PG
9999       9999       9999       L_ZTI
17.8811    17.8493    11.7549    L_M3D
18.2836    20.0582    11.6484    L_M12
17.7549    22.0637    11.5682    L_MP3
9999       9999       9999       L_PMI
17.2118    22.2084    11.2503    O1
19.206     18.2363    6.1291     O2
11.4097    16.8796    7.7452     O3
15.805     11.7272    6.2215     O4




















































































































































































12.7337    19.1411    10.1314    RZYGINF
12.5649    18.8924    10.0917
12.3955    18.7668    9.9776
12.1392    18.6812    9.9644
11.9891    18.526     9.958
11.9305    18.3144    10.0048
11.9172    18.1634    10.0159
11.8304    17.8508    10.0636
11.8077    17.6322    10.0366
11.7848    17.4001    10.0347
11.755     17.1282    10.0086
11.68      16.8672    9.9287
11.5194    16.6499    9.8112
