UWMA       MP221      Ppw1















































7.1437     30.5899    8.8261     L-PM/MAX
7.1291     30.7354    8.6571
7.1397     30.856     8.5679
7.121      30.9987    8.4618
7.1448     31.1253    8.3773
7.137      31.2952    8.2159
7.1045     31.4591    8.071
7.0922     31.6311    7.8539
7.0409     31.7693    7.7095
7.0251     31.9049    7.5335
6.9979     32.028     7.3614
6.9784     32.1151    7.2523
6.982      32.2666    7.0922
6.9611     32.3894    6.9219
6.9039     32.5562    6.7312
6.8781     32.7507    6.5624
6.8708     32.9381    6.4094
6.8394     33.0939    6.2587
6.9554     33.4651    5.9024
6.9167     33.6408    5.6913
6.9237     33.7307    5.5558
6.8374     33.8311    5.3973
6.817      33.9065    5.2661
6.7641     34.0005    5.131
6.7223     34.1021    4.9767
6.6276     34.1809    4.8741
6.6238     34.2777    4.7298
6.61       34.3622    4.5745
6.5763     34.3079    4.4625
6.6691     34.2079    4.1985










































































































































































10.5389    30.4816    4.2915     ROSTRUM
10.5564    30.4404    4.2835
10.455     30.4978    4.9441
10.3336    30.5402    5.1509
10.2282    30.5618    5.4208
10.0485    30.6294    5.8289
9.9511     30.6025    6.1207
9.9124     30.6281    6.3549
9.8841     30.6441    6.6631
9.8054     30.6364    6.9132
9.6946     30.6994    7.1476
9.5715     30.6556    7.3525
9.403      30.7248    7.468
9.1986     30.7688    7.6087
9.0443     30.7349    7.771
8.9099     30.7738    7.9164
8.7884     30.8173    8.025
8.6765     30.8096    8.1479
8.6237     30.8436    8.2342
8.4337     30.9127    8.4662
8.3723     30.9136    8.5784
8.2561     30.944     8.7299
8.1706     30.955     8.8308
7.9816     30.9638    8.9503
7.829      30.9257    9.0102
7.457      30.9456    8.8764
7.2478     31.0126    8.604
7.1235     30.9849    8.4444
6.9718     31.0155    8.1922
6.856      31.0725    8.003
6.7126     31.0968    7.8389
6.5279     31.1179    7.6439
6.3766     31.1364    7.4672
6.1551     31.1458    7.3188
5.9705     31.1502    7.1172
5.7795     31.1751    6.6989
5.715      31.1059    6.4085
5.6407     31.0558    5.8715
5.5452     31.0503    5.6381
5.4155     31.0699    5.3258
5.3663     31.053     5.1835
5.1966     31.0517    4.9687
5.0752     31.0182    4.7839
5.0423     31.0608    4.4821
5.0692     31.0652    4.2469
5.0915     31.0322    4.108
5.0884     30.9586    3.8872

























































































































































10.9657    26.3153    9.8797     SUPORB
10.8265    26.2748    10.3323
10.6761    26.2798    10.615
10.5665    26.3296    10.7323
