NMNH       381434     Php3stv
20.5305    18.874     14.5923    IN
16.5073    14.8904    16.9202    BR
12.574     11.4653    13.7718    GL
12.5438    11.5752    13.2242    NA
10.6596    9.7897     7.5563     RH
9.7209     9.0893     4.7151     NS
9.6816     8.9456     3.5977     PR
9.2067     9.9019     3.8299     R_PR2
11.9737    11.2768    10.1769    R_PMS
11.2159    15.3315    8.404      R_ZMI
11.9621    13.4081    11.2025    R_ZMU
12.5749    11.907     12.3871    R_DA
11.4927    12.9395    13.4954    R_MTI
12.2603    13.3469    14.7819    R_MTS
11.3902    14.7211    12.5645    R_FMO
11.3465    15.7276    12.8863    R_FMT
14.7821    19.5916    11.8853    R_PO
11.1137    16.8042    10.048     R_ZTS
10.4847    8.5621     3.7172     L_PR2
12.241     10.9138    9.9591     L_PMS
16.4932    10.0169    8.4162     L_ZMI
14.3021    10.8464    11.244     L_ZMU
13.0422    11.5869    12.5303    L_DA
14.3879    10.0938    13.7172    L_MTI
14.5485    11.0269    14.7309    L_MTS
15.798     10.0428    12.7916    L_FMO
16.5944    10.1158    13.1578    L_FMT
20.9428    13.4223    11.7862    L_PO
17.7952    9.8122     10.0032    L_ZTS
10.3985    8.3247     4.7094     O1
12.0461    14.9989    14.4357    O2
19.7754    10.6243    10.8687    O3
21.0594    17.7642    14.143     O4







































































































































































12.5007    11.5032    13.659     GLRH
12.5459    11.5172    13.4605
12.5802    11.4995    13.2852
12.5938    11.539     13.1062
12.6267    11.5442    12.8747
12.6413    11.5725    12.6522
12.6531    11.5622    12.4753
12.6308    11.575     12.298
12.664     11.5199    12.1678
12.6104    11.5137    12.0072
12.5962    11.4843    11.869
12.5529    11.4857    11.735
12.5265    11.4688    11.6022
12.4754    11.4778    11.4524
12.4524    11.4251    11.3179
12.4046    11.4008    11.1785
