MNHN       1969.448   Tg27stv
-0.314     17.8077    11.5777    IN
-0.3709    13.4848    14.9255    BR
-0.1753    7.6519     13.4688    GL
-0.1479    7.7342     13.1693    NA
-0.126     5.7352     9.167      RH
-0.0248    3.2957     7.3589     NS
0.0003     2.6566     5.7575     PR
-0.5877    2.7167     5.7387     R_PR2
-0.7139    5.9537     9.0586     R_PMS
-3.5109    8.093      8.1015     R_ZMI
-1.7398    7.9916     11.0248    R_ZMU
-0.463     7.9614     12.1956    R_DA
-1.9152    7.6916     13.1708    R_MTI
-1.8827    8.0154     13.6802    R_MTS
-2.986     8.6494     12.3057    R_FMO
-3.3567    9.1886     12.8974    R_FMT
-4.1222    14.641     10.1598    R_PO
-5.1151    9.9084     9.2858     R_ZTS
0.5688     2.6717     5.8109     L_PR2
0.5778     5.7043     8.9711     L_PMS
3.3542     8.2952     8.2492     L_ZMI
1.5604     7.9998     11.0161    L_ZMU
0.2192     7.9639     12.0827    L_DA
1.4407     7.8        13.2928    L_MTI
1.2743     7.9238     13.7525    L_MTS
2.642      8.7553     12.5723    L_FMO
2.9185     9.3123     13.1222    L_FMT
3.6299     14.7848    10.4731    L_PO
4.7496     10.079     9.576      L_ZTS
2.2676     3.792      4.1704     O1
-3.0759    9.1802     13.2713    O2
4.9641     12.3313    9.8455     O3
0.7644     17.5516    11.6928    O4







































































































































































-0.1751    7.6504     13.4279    GLRH
-0.1589    7.7634     13.2354
-0.2251    7.7225     12.9312
-0.2233    7.6926     12.717
-0.2068    7.6995     12.5148
-0.1292    7.7162     12.2477
-0.1363    7.7008     11.9345
-0.0822    7.6506     11.6713
-0.0829    7.5479     11.4393
-0.0649    7.49       11.2492
-0.1274    7.3985     11.0527
-0.1126    7.289      10.8641
-0.1335    7.2242     10.7413
-0.14      7.0278     10.4802
-0.1527    6.8869     10.2785
-0.1555    6.6576     10.0559
-0.1797    6.5113     9.8648
-0.1587    6.3541     9.7629
-0.1775    6.1927     9.628
-0.161     6.0353     9.4935
-0.1527    5.916      9.3889
-0.1412    5.8427     9.2978
-0.1318    5.7427     9.1843

















































































































































































-0.1322    5.752      9.1958     NOSE
-0.4005    5.7509     9.2087
-0.5919    5.6177     9.0357
-0.7492    5.5554     8.8183
-0.8139    5.3828     8.6267
-0.887     5.2176     8.4842
-0.9183    5.0083     8.3108
-0.9671    4.8005     8.197
-0.9664    4.5913     8.0759
-0.9787    4.3112     7.8736
-0.9774    4.0568     7.7268
-0.9088    3.8993     7.6499
-0.81      3.7561     7.6121
-0.6962    3.6221     7.58
-0.5554    3.4893     7.5421
-0.3999    3.4069     7.5209
-0.2496    3.2885     7.4515
-0.0824    3.308      7.3593
0.0121     3.314      7.4006
0.1998     3.2884     7.4784
0.4255     3.3929     7.5367
0.5416     3.6232     7.604
0.6327     3.8503     7.607
0.7714     3.9828     7.7494
0.7903     4.1661     7.8388
0.8668     4.442      8.0312
0.7954     4.6183     8.1467
0.7747     4.7459     8.2203
0.6835     4.9432     8.3367
0.7107     5.1095     8.4863
0.671      5.2464     8.5864
0.5988     5.4001     8.7485
0.5346     5.5041     8.879
0.4627     5.5407     8.9976
0.3558     5.6654     9.1161
0.2634     5.6701     9.171
0.1271     5.7422     9.2021
-0.0405    5.7542     9.2376
-0.1252    5.748      9.2039

































































































































































-0.0385    3.2795     7.3456     NASP-PR
0.0086     3.1204     7.1285
-0.0308    2.9563     6.9149
-0.0224    2.8514     6.7118
-0.0187    2.7172     6.4684
0.0062     2.676      6.2573
0.0163     2.6633     6.0916
0.0308     2.6564     5.9762
0.0179     2.6698     5.8239































































































































































































-0.7491    5.8505     9.0095     R-PM/MAX
-0.7929    5.6514     8.805
-0.8426    5.3729     8.6279
-0.9085    5.0754     8.4001
-0.954     4.8871     8.2476
-1.0389    4.7273     8.1029
-1.079     4.5564     7.9743
-1.2088    4.6652     7.8304
-1.2725    4.5755     7.6183
-1.3422    4.2844     7.3753
-1.438     4.0693     7.1863
-1.6079    3.8363     6.8422
-1.5821    3.6616     6.5669
-1.4767    3.579      6.3769
-1.333     3.523      6.1675
-1.2762    3.4283     5.9578
-1.2197    3.4428     5.8259























































































































































































0.5831     5.7062     8.9608     L-PM/MAX
0.6392     5.4627     8.7216
0.6972     5.2466     8.5602
0.7431     5.1169     8.4354
0.8197     4.8885     8.2581
0.8802     4.7556     8.1484
0.9273     4.5779     8.0043
1.0108     4.6812     7.9559
1.0889     4.7206     7.8371
1.1175     4.6026     7.7333
1.1914     4.4272     7.5493
1.2655     4.3095     7.3904
1.4029     4.2173     7.2226
1.4808     4.093      7.1094
1.576      3.9813     7.0066
