MNHN       1901-515   Php15stv
-0.7209    6.0195     10.0347
-0.6831    5.8926     9.9338
-0.6402    5.7516     9.8272
-0.5966    5.5608     9.7064
-0.5077    5.3097     9.5439
-0.3867    5.105      9.4378
-0.3503    4.9957     9.338
-0.2533    4.8126     9.1818
-0.1909    4.6222     9.0491
-0.0421    4.4125     8.9311
0.0059     4.1988     8.8447
0.0781     4.0022     8.6565
0.1716     3.8556     8.4472
0.293      3.6458     8.1918
0.3832     3.5365     7.9374
0.4736     3.4384     7.6892
0.5275     3.2834     7.2917
0.6041     3.2519     7.0574
0.6555     3.1491     6.827
0.6818     3.0621     6.6421
0.7388     2.9505     6.4658
0.8395     2.9079     6.2084
0.8608     2.8737     5.9862
0.8414     2.8888     5.7772
0.7244     2.9638     5.5523











































































































































































-3.7774    6.9711     6.3111     ROSTRUM
-3.7706    6.9196     6.5632
-3.7706    6.8292     6.8935
-3.6886    6.7779     7.1295
-3.5998    6.7501     7.254
-3.4537    6.7178     7.4402
-3.3227    6.6487     7.5433
-3.1506    6.5866     7.7495
-3.0788    6.4409     7.9674
-2.9781    6.3485     8.3061
-2.9429    6.3151     8.4806
-2.907     6.2503     8.6527
-2.8853    6.2263     8.8609
-2.8566    6.2175     9.0544
-2.8032    6.2205     9.2756
-2.7576    6.157      9.4523
-2.727     6.1668     9.6051
-2.6925    6.1081     9.7876
-2.5016    6.158      9.8691
-2.3251    6.1861     9.9437
-2.1456    6.1805     9.979
-2.0245    6.1832     10.0474
-1.8757    6.1768     10.1001
-1.7187    6.198      10.1982
-1.5559    6.1533     10.2442
-1.4229    6.1463     10.3102
-1.2653    6.0992     10.4046
-1.058     6.0827     10.4042
-0.9508    6.1012     10.3249
-0.8268    6.1875     10.2264
-0.7121    6.1915     10.1834
-0.5646    6.2078     10.1493
-0.339     6.234      10.0776
-0.1548    6.2751     10.0438
0.0421     6.2936     10.0033
0.2189     6.333      9.9914
0.3698     6.3191     9.9437
0.4202     6.4138     9.7997
0.5029     6.4469     9.6485
0.5452     6.4856     9.5088
0.5887     6.6403     9.2211
0.6185     6.6521     9.0005
0.6432     6.6694     8.8453
0.6596     6.6938     8.664
0.6944     6.7415     8.5238
0.7613     6.8046     8.303
0.8305     6.8189     8.138
0.9303     6.8725     7.991
1.0305     6.9005     7.8396
1.132      6.9225     7.7256
1.3037     6.9278     7.5427
1.4462     6.9868     7.4021
1.5619     7.0396     7.1696
1.6105     7.093      7.0001
1.6233     7.1364     6.7899
1.6122     7.185      6.6444
1.6105     7.2441     6.4932
1.6388     7.3112     6.3608
1.6321     7.35       6.2826
1.6097     7.3532     6.2099












































































































































-4.929     9.2917     12.1952    SUPORB
-4.8878    9.2205     12.4671
-4.7614    9.1768     12.8173
-4.4922    9.0269     13.1043
-4.3245    8.9152     13.2516
-4.0126    8.7719     13.4532
-3.791     8.6882     13.5633
-3.5121    8.5305     13.68
-3.2749    8.528      13.7889
-3.0239    8.5213     13.8604
-2.8394    8.5167     13.914
-2.6215    8.3353     13.9309
-2.2819    8.1539     13.9429
-2.1564    8.1449     13.9329
-1.9053    8.0165     13.9104
-1.7393    7.9485     13.8823
-1.5272    7.9825     13.8443
-1.3306    7.8017     13.7862
-1.1225    7.7599     13.7823
-0.8058    7.7532     13.8102
-0.631     7.88       13.8511
-0.3264    8.0746     13.9052
-0.112     8.1335     13.921
0.1505     8.2253     13.919
0.4251     8.305      13.8785
0.6165     8.3846     13.8401
0.7647     8.4149     13.811
0.9325     8.4675     13.7496
1.0962     8.4796     13.6999
1.2351     8.5643     13.6339
1.3486     8.644      13.5958
1.4926     8.7613     13.5302
1.6355     8.8632     13.4546
1.7551     8.9393     13.3922
1.834      9.0235     13.3427
1.9399     9.0743     13.2904
2.034      9.0916     13.2298
2.1338     9.1396     13.1556
2.1891     9.3733     12.9737
2.3331     9.2976     12.7941
2.3941     9.3784     12.6274
2.5083     9.319      12.3158






























































































































































-3.0556    7.543      10.6068    RORBIT
-3.2543    7.5894     10.5631
-3.4511    7.6617     10.5511
-3.7346    7.7713     10.594
-3.8839    7.856      10.6519
-3.9916    7.9163     10.6957
-4.0765    7.9848     10.7823
-4.1502    8.0694     10.869
-4.2496    8.1598     10.9894
-4.3094    8.2383     11.1093
-4.3715    8.3439     11.305
-4.4294    8.4327     11.4959
-4.4984    8.4869     11.6755
-4.4865    8.5501     11.8622
-4.48      8.5768     12.0217
-4.4605    8.5665     12.2063
-4.3839    8.4873     12.3846
-4.2639    8.4647     12.5201
