AMNH       81811      phu3ms5.xls
4.3122     10.2377    -9.4658    L-PM/MAX
4.2122     10.1876    -9.2872
4.0566     10.1157    -9.1198
3.9008     10.0606    -8.9173
3.7043     9.9952     -8.679
3.5098     9.8395     -8.4271
3.3106     9.7787     -8.1855
2.9669     9.6541     -7.9388
2.6503     9.5708     -7.5723
2.4928     9.5611     -7.29
2.4485     9.4975     -6.8101
2.363      9.4974     -6.5735
2.2927     9.5235     -6.4501
2.1658     9.4889     -6.0651
2.0653     9.4931     -5.829
1.9509     9.5062     -5.6053
1.8217     9.564      -5.2832
1.8316     9.6412     -4.9524
1.8078     9.7393     -4.5932
1.8317     9.7608     -4.3246
1.877      9.7507     -4.121
1.9418     9.7291     -4.0103


















































































































































































8.5814     9.4293     -5.7515    ROSTRUM
8.5856     9.4183     -5.7572
8.5277     9.2792     -5.9815
8.4824     9.2078     -6.1636
8.3918     9.1058     -6.4387
8.2662     9.0384     -6.6105
8.0846     9.0012     -6.7912
7.9617     9.0067     -6.9571
7.8065     8.9989     -7.1695
7.5987     8.935      -7.4443
7.5176     8.9124     -7.5525
7.4355     8.8684     -7.675
7.3394     8.7975     -7.8551
7.2601     8.7276     -8.0251
7.1899     8.6183     -8.1198
7.1438     8.5591     -8.2517
7.161      8.4798     -8.5019
7.1507     8.4016     -8.6556
7.214      8.308      -8.8768
7.132      8.1809     -9.1344
7.0172     8.1577     -9.2379
6.9983     8.2141     -9.374
6.7571     8.222      -9.5331
6.6087     8.2389     -9.5962
6.4063     8.4039     -9.7093
6.4066     8.4139     -9.6988
6.3903     8.4523     -9.7102
6.2044     8.5853     -9.6708
6.0032     8.8491     -9.5833
5.7561     9.0057     -9.5477
5.6165     9.1474     -9.576
5.3074     9.2315     -9.7747
4.9259     9.5535     -9.7985
4.6268     9.7986     -9.7697
4.357      10.0883    -9.673
4.3175     10.3147    -9.4736
4.0426     10.6188    -9.3914
3.7181     10.7807    -9.4727
3.4        11.0123    -9.5152
3.1126     11.3531    -9.3394
