NMNH       337249     Phu21stv
18.6293    18.6803    15.96      IN
15.2332    15.3284    17.7944    BR
11.3198    11.4674    15.1713    GL
11.4998    11.6959    14.6168    NA
9.746      9.9265     9.3678     RH
9.0276     9.092      6.1202     NS
8.9667     8.9869     5.057      PR
8.4449     9.7773     5.2145     R_PR2
10.5114    11.093     11.0393    R_PMS
10.4721    15.1773    9.9028     R_ZMI
10.6549    13.3503    12.7618    R_ZMU
11.5672    12.1515    13.9975    R_DA
10.2276    13.0393    15.1562    R_MTI
10.4911    13.3839    16.1753    R_MTS
9.9318     14.9499    14.3169    R_FMO
10.1037    15.7541    14.3443    R_FMT
13.7636    19.1092    13.3172    R_PO
10.603     16.7466    11.5058    R_ZTS
9.6964     8.4995     5.2857     L_PR2
10.8225    10.3362    10.6346    L_PMS
15.228     10.6405    10.0369    L_ZMI
13.3036    10.811     12.8208    L_ZMU
12.0505    11.7385    14.2773    L_DA
13.0932    10.1854    15.3128    L_MTI
13.0503    10.7893    16.2217    L_MTS
14.9351    10.1675    14.3049    L_FMO
15.7387    10.448     14.5579    L_FMT
19.1597    14.0909    13.2613    L_PO
17.0046    10.9582    11.6946    L_ZTS
9.9638     8.1907     5.3351     O1
10.7298    14.7546    15.8361    O2
18.1265    11.4419    12.2153    O3
18.9246    17.9866    15.4491    O4







































































































































































11.4494    11.6939    14.6545    GLRH
11.5171    11.7457    14.4525
11.5516    11.7851    14.282
11.5917    11.7661    14.12
11.6144    11.7554    13.9255
11.6072    11.7061    13.7074
11.5559    11.7046    13.5573
11.5448    11.6803    13.4695
11.5479    11.6313    13.344
11.4885    11.6136    13.194
11.4541    11.5614    13.0449
11.4092    11.5258    12.894
11.3551    11.4542    12.7121
11.2813    11.4274    12.5803
11.218     11.3877    12.4042
11.183     11.3622    12.2579
11.1193    11.2634    12.0895
11.0587    11.227     11.9718
10.988     11.1665    11.8402
10.9481    11.0963    11.7031
10.875     11.0042    11.5427
10.7845    10.9742    11.3994
10.7259    10.8823    11.2285
10.6649    10.8102    11.0821
10.5895    10.7462    10.9328
10.5138    10.6424    10.7697
10.4348    10.5536    10.5807
10.3185    10.4975    10.4092
10.2073    10.4089    10.2229
10.1187    10.3868    10.0847
10.0577    10.296     9.9877
10.0349    10.2112    9.909
10.013     10.1503    9.831
9.9356     10.0734    9.6751
9.8452     10.0221    9.5635
9.7523     9.9708     9.4245




































































































































































9.8121     9.8846     9.4215     NOSE
9.7054     10.0367    9.3833
9.6738     10.1104    9.3888
9.5845     10.2218    9.3857
9.5871     10.514     9.2048
9.3946     10.5319    9.0037
9.2927     10.5506    8.8112
9.1998     10.5385    8.5469
9.1492     10.522     8.38
9.0628     10.4876    8.2289
8.9039     10.4786    7.9629
8.81       10.4846    7.727
8.794      10.3726    7.4811
8.7124     10.3403    7.2576
8.6869     10.1867    7.0711
8.6648     10.0727    6.9296
8.6201     9.9393     6.7921
8.6208     9.8178     6.7335
8.6619     9.6264     6.6297
8.6519     9.4796     6.4536
8.7206     9.3512     6.3244
8.8806     9.2104     6.1773
9.0033     9.1585     6.1369
9.1281     9.0147     6.1625
9.3037     8.8581     6.3052
9.4157     8.7918     6.429
9.5167     8.7388     6.5722
9.7203     8.6533     6.7263
9.8438     8.6544     6.8185
9.9862     8.6571     6.9608
10.1204    8.6783     7.1132
10.1899    8.7239     7.2652
10.2696    8.7471     7.4652
10.3579    8.8654     7.7104
10.3949    8.9074     7.8351
10.4282    9.0063     8.0673
10.44      9.0637     8.2567
10.467     9.1051     8.4423
10.4784    9.1932     8.5908
10.4568    9.3412     8.7741
10.4744    9.4046     8.9365
10.4408    9.5159     9.087
10.4298    9.5942     9.1838
10.1798    9.6365     9.3131
9.971      9.6805     9.3187
9.8557     9.7929     9.3553
9.7722     9.9247     9.3797

























































































































































8.9995     9.0204     6.0878     NASP-PR
8.9335     8.9396     5.8766
8.8946     8.9428     5.6923
8.8778     8.9241     5.4926
8.9718     8.8957     5.2843
8.9686     8.9602     5.114




