UCMVZ      154146     Phh2stv
5.4851     7.1884     6.7258
5.299      7.0861     6.4732
5.2338     7.0579     6.2753
5.2237     7.044      5.932
5.297      6.9687     5.6908
5.3608     6.9133     5.5069













































































































































































9.165      7.6911     9.8952     L-PM/MAX
9.105      7.4721     9.7713
9.0059     7.2691     9.6284
8.9369     7.1429     9.5572
8.9007     6.9509     9.4918
8.7638     6.7717     9.3324
8.7089     6.6037     9.2093
8.6193     6.3154     9.0579
8.5597     6.0177     8.873
8.4747     5.7864     8.7307
8.4635     5.5052     8.4879
8.4742     5.3128     8.1517
8.4748     5.2389     7.9457
8.4223     5.1768     7.7567
8.3498     5.0631     7.4996
8.3014     4.9732     7.2415
8.2414     4.7795     7.049
8.165      4.6894     6.8868
8.1035     4.5652     6.6496
8.0662     4.4787     6.5126
8.0708     4.4107     6.3493
8.0265     4.372      6.1873
7.9721     4.3667     5.9067
7.8505     4.5066     5.6666
7.8087     4.6317     5.4371















































































































































































7.5587     10.3154    6.1574     ROSTRUM
7.5324     10.3007    6.4217
7.4444     10.1868    6.6958
7.5396     10.1775    6.9135
7.7241     9.9029     7.0137
7.9607     9.7884     7.1438
8.1025     9.6388     7.3575
8.1022     9.5647     7.5347
8.0358     9.5012     7.7728
7.9876     9.4751     8.027
7.9151     9.3703     8.3076
7.8843     9.2583     8.5585
7.8426     9.1819     8.7414
7.8401     9.1128     8.9125
7.8189     9.0882     9.0858
7.8136     9.0775     9.2909
7.7673     9.053      9.4474
7.7657     8.9623     9.7347
7.9019     8.8144     9.8887
8.0024     8.6346     9.9332
8.1546     8.5597     9.9027
8.3599     8.3397     9.7918
8.5114     8.2219     9.7962
8.7013     8.0493     9.8366
8.8456     7.9819     9.8963
8.9951     7.8492     9.9762
9.1823     7.6689     9.8822
9.301      7.5514     9.8102
9.4422     7.3986     9.821
9.6418     7.2782     9.8001
9.7461     7.1522     9.8168
9.8856     7.0283     9.8175
10.0328    6.9165     9.8089
10.1304    6.838      9.7661
10.235     6.7353     9.7256
10.374     6.6428     9.631
10.4437    6.7029     9.3857
10.4696    6.8569     9.1687
10.5315    6.9105     8.9476
10.6381    6.9309     8.6589
10.6719    6.9104     8.4446
10.7101    6.9131     8.2589
10.7566    6.946      8.07
10.7529    6.9871     7.9162
10.8078    7.0546     7.659
10.8708    7.1377     7.3978
10.9168    7.116      7.2728
11.0104    7.0862     7.1568
11.1317    6.9714     7.0385
11.2683    6.8359     6.926
11.4327    6.7206     6.8187
11.4877    6.7383     6.671
11.5268    6.7821     6.5003
11.5534    6.8354     6.318
11.5511    6.8806     6.0294

















































































































































9.356      13.4602    13.223     SUPORB
9.4536     13.3943    13.4905
9.5814     13.3407    13.6821
9.6501     13.2084    13.894
9.7278     13.0895    14.0771
9.7956     12.9113    14.2122
9.8468     12.7795    14.3037
9.8937     12.5904    14.3954
9.8856     12.3405    14.4916
9.9025     11.9775    14.5795
10.0642    11.76      14.6439
10.1405    11.5478    14.682
10.2401    11.2899    14.7359
10.4016    11.0702    14.7584
10.4988    10.8785    14.7611
10.617     10.738     14.7643
10.7598    10.5651    14.7627
10.8818    10.4595    14.7398
10.9358    10.3249    14.7065
11.0065    10.1145    14.6722
11.0345    9.8641     14.5971
11.0449    9.713      14.5591
11.1021    9.5754     14.5163
11.1417    9.4326     14.4945
11.2471    9.4189     14.5177
11.3952    9.3498     14.5472
11.5945    9.2609     14.5555
11.7151    9.2009     14.5647
11.9042    9.1731     14.5708
11.9924    9.0666     14.5804
12.1173    8.8969     14.5694
12.1975    8.7788     14.5557
12.3034    8.6767     14.5467
12.4379    8.6055     14.5237
12.6144    8.5082     14.4968
12.8242    8.3537     14.4408
13.008     8.2901     14.4048
13.1099    8.2188     14.3613
13.248     8.154      14.3061
13.4697    8.1222     14.2288
13.6466    8.0947     14.1659
13.8778    8.0466     14.0974
14.0038    8.0241     14.0462
14.111     8.0686     14.0018
14.2016    8.1072     13.9886
14.3723    8.0401     13.8811
14.5508    8.0017     13.7096
14.6309    7.8916     13.5622
14.6774    7.8078     13.3945
14.7886    7.7701     13.2046
14.8555    7.7327     13.0175





















































































































































9.7127     11.1305    11.5813    RORBIT
9.5656     11.3414    11.56
9.4771     11.4648    11.5671
9.4228     11.6398    11.5902
9.4152     11.8169    11.6579
9.3953     11.9674    11.7707
9.3766     12.0981    11.9072
9.3728     12.2234    12.0543
9.3661     12.2919    12.1637
9.3697     12.3509    12.2691
9.3924     12.3865    12.413
9.3928     12.4125    12.6037
9.3928     12.4518    12.7693
9.4014     12.3675    13.0078
9.37       12.2746    13.1684
9.4198     12.0653    13.3404
9.4441     11.8745    13.4722
9.4058     11.666     13.6055
9.5047     11.4104    13.6185
9.5358     11.2735    13.6413
9.6615     11.0865    13.5969
9.6957     10.9238    13.612
9.7804     10.7688    13.6298
10.0459    10.5213    13.7168
10.2139    10.37      13.8439
10.3275    10.2462    13.8863
10.3862    10.052     13.8862
10.4982    10.0065    13.7587
10.6159    9.9324     13.4402
10.7159    9.9417     13.2495
10.781     9.9051     13.06
10.8286    9.8513     12.913
10.8747    9.8779     12.7088







































































































































































12.4096    8.4097     11.337     LORBIT
12.6005    8.2632     11.3074
12.7597    8.092      11.2825
12.8454    8.0248     11.2885
13.0109    7.9156     11.3174
13.2093    7.8083     11.4009
13.3552    7.7486     11.5146
13.5089    7.723      11.7052
13.621     7.6785     11.8975
13.7066    7.731      11.9513
13.7274    7.7426     12.051
13.7678    7.7518     12.229
13.8421    7.7095     12.43
13.8296    7.6464     12.6322
13.6969    7.6149     12.843
13.6028    7.5718     13.0075
13.4374    7.5911     13.1483
13.2695    7.6194     13.2586
13.0926    7.6887     13.2794
12.9003    7.7613     13.3177
12.6551    7.8615     13.3515
12.5002    7.9427     13.3691
12.3234    8.0604     13.3815
12.1371    8.3258     13.345
12.0196    8.6302     13.5291
11.7597    8.8639     13.6658
11.5942    9.0699     13.5067
11.5308    9.1615     13.3799
11.4724    9.2435     13.2015
11.4236    9.3331     13.0228
11.4201    9.3662     12.8998
11.4242    9.4402     12.7624
11.423     9.4588     12.6862
11.4495    9.4749     12.5628






































































































































































9.3943     13.5079    13.215     RTEMFOS
9.3034     13.5118    13.0202
9.1907     13.5234    12.8113
9.0815     13.5617    12.4864
8.999      13.5599    12.2332
8.8887     13.5087    12.0389
8.903      13.4714    11.765
8.811      13.3817    11.5179
8.7461     13.3047    11.3667
8.7055     13.278     11.0994
8.6267     13.2236    10.9381
8.6013     13.1991    10.7794
8.572      13.2038    10.5435
8.5377     13.197     10.1736
8.3719     13.2206    9.9979
8.2825     13.3236    9.7963
8.2765     13.4257    9.7347
8.2849     13.6258    9.6156
8.3547     13.8973    9.5449
8.3804     14.1233    9.5528
8.4604     14.3615    9.6435
8.6367     14.5886    9.6938
8.7636     14.6716    9.8182
8.8369     14.7535    9.8549
















































































































































































14.8661    7.6671     12.8562    LTEMFOS
14.9742    7.6571     12.5948
15.0043    7.5866     12.4224
15.0638    7.537      12.2182
15.038     7.4312     11.9969
15.0134    7.3729     11.7656
14.9565    7.3583     11.575
14.9095    7.3065     11.3969
14.8336    7.2579     11.2417
14.7773    7.2411     11.0605
14.6935    7.2145     10.9108
14.6452    7.1681     10.6657
14.5667    7.1116     10.4509
14.5372    7.0765     10.2233
14.497     7.0689     10.0316
14.5286    7.0461     9.8074
14.4907    6.9911     9.6672
14.5089    6.9634     9.4915
14.6118    6.8761     9.2545
14.7539    6.888      9.0777
14.9735    6.8772     8.98
15.1424    6.9311     8.9509
15.307     7.0255     9.027
15.4274    7.122      8.9896
15.5387    7.2012     9.0156
15.7066    7.1946     9.0362
15.7712    7.2504     9.0816
15.87      7.3834     9.1729
16.013     7.4185     9.2











































































































































































6.8651     5.8872     12.8981    OP
8.3318     7.3563     12.9117    BA
12.3313    11.1698    11.9168    ST
16.8339    15.2641    11.3828    IV
5.8556     10.5537    12.3129    R_PG
6.5868     12.9535    11.2271    R_ZTI
11.5214    13.2546    12.96      R_M3D
13.2003    15.5423    12.4944    R_M12
15.422     16.8716    12.1112    R_MP3
16.7129    17.485     11.9449    R_PMI
11.7577    4.7174     12.7134    L_PG
14.1213    5.3375     11.8018    L_ZTI
14.3838    10.127     13.1344    L_M3D
16.7409    11.8231    12.7442    L_M12
18.3644    13.8612    12.2376    L_MP3
19.0871    15.0389    11.9024    L_PMI
18.8199    18.0251    11.1705    O1
9.752      14.8456    10.4766    O2
13.2551    7.3554     6.477      O3
6.1032     3.288      10.2151    O4




















































































































































































10.3009    14.4084    11.4157    RZYGINF
9.9734     14.4486    11.3399
9.7232     14.4803    11.3816
9.3976     14.4808    11.4116
9.1553     14.3808    11.4374
8.9095     14.3098    11.4454
8.8147     14.2061    11.4741
8.6092     14.1139    11.473
8.5398     14.0675    11.4847
8.3712     13.8831    11.5218
8.1513     13.6052    11.5781
7.9261     13.5189    11.5638
7.767      13.386     11.5121
7.4433     13.127     11.5047
7.2434     13.1172    11.4348
6.9381     13.0415    11.3352
6.7423     13.0187    11.2886
6.5039     12.9528    11.2138
6.4399     12.9572    11.1543





















































































































































































15.6208    9.1285     11.7018    LZYGINF
15.6615    8.9089     11.6676
15.7048    8.673      11.6251
15.799     8.5129     11.608
15.8295    8.3552     11.6351
15.8412    8.1937     11.6649
15.8199    8.0533     11.7081
15.7492    7.9128     11.7502
15.5879    7.7997     11.7802
15.4543    7.7193     11.8133
15.3357    7.5553     11.8838
15.2217    7.3626     11.9656
15.0433    7.0659     11.9881
14.8736    6.9344     12.025
14.7642    6.7359     12.0451
14.7368    6.5261     12.0214
14.7054    6.3275     11.9928
14.6181    6.1703     11.9191
14.5182    5.9764     11.8785
14.4182    5.8186     11.8694
14.3245    5.6868     11.8656
14.2556    5.5324     11.8473
14.1031    5.4161     11.856
14.0543    5.2928     11.838
















































































































































































11.5177    13.3374    12.9727    R-ALV
11.6087    13.5564    12.9727
11.6769    13.7554    12.9301
11.7714    13.9841    12.8521
11.8462    14.2022    12.785
11.9845    14.3072    12.8467
12.1035    14.439     12.8582
12.1914    14.6022    12.8166
12.2915    14.7403    12.787
12.4129    14.8356    12.7821
12.5488    15.0059    12.7258
12.6745    15.0997    12.6999
12.7709    15.2342    12.674
12.8883    15.3425    12.6619
13.0503    15.409     12.6409
13.1843    15.5183    12.5551
13.3317    15.5895    12.5522
13.5292    15.73      12.4882
13.7138    15.8457    12.4779
13.7466    15.9287    12.4146
14.0275    16.0472    12.3615
14.2863    16.1863    12.2564
14.4117    16.2733    12.205
14.5541    16.3806    12.1799
14.7393    16.4981    12.1436
14.8385    16.5777    12.1021
15.0176    16.6844    12.0942
15.2486    16.8493    12.0709
15.3582    16.8271    12.1105











































































































































































14.3737    10.2101    13.1356    L-ALV
14.6659    10.2349    13.1234
14.9027    10.3841    13.14
15.3037    10.5236    13.096
15.5337    10.6528    13.0174
15.6757    10.7851    12.9981
15.8399    10.9207    12.9731
16.0115    11.0479    12.9077
16.2154    11.2165    12.8851
16.3445    11.3141    12.8382
16.5272    11.4674    12.8313
16.6814    11.6738    12.7542
16.8266    11.8702    12.6761
17.0441    12.1151    12.5565
17.1785    12.2482    12.5768
17.2929    12.3606    12.605
17.3703    12.5981    12.5398
17.4734    12.7624    12.4335
17.6141    12.916     12.3778
17.7452    12.9989    12.3462
17.8963    13.2283    12.3013
18.0771    13.3856    12.2376
18.2576    13.5883    12.2047
18.37      13.8254    12.1991
