LSZT       R1         Phu188sf








































0.5103     4.6305     9.4532     L-PM/MAX
0.6299     4.3252     9.2294
0.6556     3.9402     8.9666
0.7857     3.8114     8.8677
0.8848     3.6231     8.7464
1.0163     3.3879     8.4769
1.0956     3.2574     8.2515
1.1377     3.14       7.9255
1.1277     3.0324     7.6011
1.2462     2.8125     7.1473
1.3491     2.6441     6.8025
1.5716     2.4611     6.3881
1.821      2.4657     6.0301
1.8536     2.2749     5.683
1.972      2.2609     5.4293
2.0618     2.3196     5.2211
1.9693     2.3401     5.0611
1.8754     2.4296     4.8801
1.7962     2.4994     4.724





















































































































































































-3.3066    6.5815     6.0745     ROSTRUM
-3.3151    6.4967     6.351
-3.2646    6.4153     6.5854
-3.1633    6.3509     6.8967
-3.062     6.2945     7.1406
-2.9851    6.0931     7.5233
-2.9452    6.0221     7.8135
-2.9616    5.9805     8.1248
-3.0062    5.8676     8.5133
-3.116     5.7551     8.8493
-3.2654    5.6629     9.0263
-3.3799    5.587      9.2305
-3.4145    5.54       9.424
-3.3573    5.4548     9.6832
-3.2766    5.3167     9.9285
-3.1365    5.2969     10.0379
-2.7621    5.3103     10.0219
-2.5347    5.2635     10.0096
-2.3126    5.2928     10.0551
-2.0231    5.2931     10.151
-1.7621    5.2171     10.186
-1.6172    5.192      10.2293
-1.4179    5.1895     10.3903
-1.2412    5.1008     10.4203
-0.9351    5.0552     10.4231
-0.7166    5.0941     10.4629
-0.4467    5.1038     10.44
-0.2741    5.1789     10.4262
-0.0957    5.211      10.3663
0.1184     5.2896     10.2855
0.2506     5.4059     10.2098
0.4136     5.4633     10.1003
0.6227     5.4895     10.1046
0.8916     5.4768     10.1227
1.1194     5.4584     10.1339
1.3627     5.4311     10.0165
1.5211     5.4724     10.2679
1.8563     5.4637     10.1305
2.0069     5.5053     10.0281
2.1282     5.6495     9.5396
2.0439     5.8586     9.2359
1.8646     5.9478     9.0537
1.7221     6.0071     8.8644
1.6882     6.1777     8.5905
1.7296     6.2275     8.3411
1.742      6.225      8.0548
1.7772     6.2079     7.7631
1.8758     6.3024     7.4665
1.994      6.3578     7.2615
2.1355     6.3706     7.008
2.2732     6.4635     6.8526
2.3395     6.4877     6.6941
2.4063     6.5637     6.4895
2.4303     6.6451     6.2947
2.44       6.6439     6.1423
2.4253     6.6605     5.9971
















































































































































-5.4689    11.1846    14.2175    SUPORB
-5.436     11.2462    14.4809
-5.3439    11.32      14.8219
-5.1788    11.2464    15.2741
