UWMA       ?T89 154   Ppx1stv
26.7064    4.0579     5.0236
26.74      4.0716     4.8567
26.6922    4.0953     4.7711
26.8019    4.1299     4.5337

























































































































































25.0225    -3.371     9.7962     SUPORB
24.9718    -3.2688    9.9896
24.9334    -3.1004    10.157
24.8753    -2.9627    10.2715
24.8819    -2.8129    10.379
24.9139    -2.5842    10.5541
24.9306    -2.4016    10.6749
25.0558    -2.1481    10.8222
25.0623    -1.9385    10.9085
25.0848    -1.6953    10.9816
25.0097    -1.426     11.0436
24.9193    -1.1516    11.057
24.95      -0.9137    11.0703
24.9226    -0.6953    11.0825
24.7916    -0.4249    11.0713
24.7197    -0.0929    11.055
24.7332    0.1957     11.024
24.6864    0.4381     11.0037
24.6517    0.6563     10.9738
24.6054    0.856      10.9953
24.4685    1.0401     11.0199
24.3327    1.2154     11.0427
24.2533    1.384      11.0617
24.1157    1.5836     11.0586
24.0108    1.8431     11.0595
23.8996    1.9514     11.0568
23.7924    2.1783     11.0229
23.6234    2.4042     10.9793
23.4637    2.6462     10.9286
23.2611    2.944      10.8322
23.071     3.2        10.6863
22.8609    3.3851     10.5196
22.7065    3.5077     10.3731
22.5906    3.6928     10.225
22.4461    3.7959     10.0665
22.3005    3.9452     9.8084
22.2657    4.0807     9.4755
22.4253    4.1744     9.3576
22.4142    4.2269     9.2326

































































































































































26.3086    -0.876     8.3987     RORBIT
26.3933    -1.1726    8.4691
26.3436    -1.4268    8.4736
26.243     -1.7087    8.6054
26.141     -1.8534    8.6684
25.9703    -2.0947    8.8664
25.8515    -2.2075    8.973
25.7397    -2.3221    9.1932
25.6249    -2.3684    9.4464
25.5811    -2.3281    9.6563
25.5191    -2.2615    9.91
25.5005    -2.0452    10.1161
25.4615    -1.9685    10.2767
25.4523    -1.8082    10.4097
25.4793    -1.5992    10.4905
25.416     -1.3163    10.6183
25.3722    -1.0673    10.6283
25.3315    -0.9144    10.6127
25.3116    -0.7314    10.6746
25.2284    -0.5371    10.7237
25.1437    -0.3586    10.7688
25.091     -0.1578    10.728
25.0258    0.1321     10.6998
25.0348    0.2743     10.6327
25.0665    0.3815     10.4679
25.1294    0.389      10.2143
25.2599    0.499      9.9205
25.3407    0.4991     9.7751












































































































































































24.9202    2.8715     8.3958     LORBIT
24.81      3.1176     8.4519
24.6747    3.2977     8.4645
24.5133    3.3868     8.4803
24.4259    3.508      8.4775
24.346     3.5934     8.478
24.193     3.6746     8.5077
23.9187    3.7235     8.5474
23.7544    3.6858     8.7691
23.5295    3.6736     8.96
23.3619    3.6413     9.204
23.2518    3.5704     9.4924
23.2604    3.5215     9.724
23.2973    3.439      9.9945
23.3759    3.3608     10.2598
23.5146    3.2036     10.3573
23.6055    3.0111     10.4313
23.7242    2.8657     10.4592
23.8538    2.6363     10.4457
24.013     2.4058     10.4088
24.182     2.1011     10.4546
24.2055    1.8867     10.5192
24.4071    1.5174     10.6312
24.6233    1.2917     10.5681
24.6835    1.2914     10.3279
24.7633    1.2919     10.0793
24.8045    1.3113     9.8923
24.9449    1.3703     9.7421












































































































































































9999       9999       9999       RTEMFOS







































































































































































































9999       9999       9999       LTEMFOS







































































































































































































30.3606    2.3307     9.7551     OP
28.5463    1.7602     9.2654     BA
24.0842    0.4435     8.3652     ST
19.8463    -0.8044    8.4024     IV
9999       9999       9999       R_PG
9999       9999       9999       R_ZTI
24.4858    -1.7129    8.9884     R_M3D
22.393     -2.7945    9.0882     R_M12
20.3031    -2.8522    8.8705     R_MP3
19.1265    -2.7903    8.8619     R_PMI
9999       9999       9999       L_PG
9999       9999       9999       L_ZTI
22.8468    2.2903     9.0813     L_M3D
20.7062    1.8951     9.2856     L_M12
19.0616    0.9255     9.0853     L_MP3
18.2313    0.4013     8.9758     L_PMI
17.6674    -0.2397    8.517      O1
22.4923    4.1658     7.5326     O2
27.0394    -1.5688    3.1626     O3
32.5918    4.2963     7.8838     O4




















































































































































































9999       9999       9999       RZYGINF







































































































































































































9999       9999       9999       LZYGINF







































































































































































































24.5085    -1.6522    9.0391     R-ALV
24.2463    -1.9763    9.0524
24.0568    -2.242     9.0959
23.5502    -2.4228    9.036
23.2843    -2.5511    9.0388
22.8894    -2.729     9.0601
22.5576    -2.787     9.1082
22.2624    -2.8098    9.1117
21.9883    -2.8509    9.028
21.6663    -2.849     8.951
21.3444    -2.8168    8.9184
20.9846    -2.8579    8.8517
20.7683    -2.8705    8.8205
20.503     -2.8651    8.7653
20.2395    -2.9091    8.7468
20.1055    -2.9525    8.6861
























































































































































































22.9936    2.175      9.061      L-ALV
22.5725    2.3482     9.1879
22.2904    2.3673     9.1804
22.0451    2.3522     9.1399
21.8033    2.2536     9.2092
21.5131    2.1645     9.2005
21.1618    2.1263     9.1438
20.8845    2.0359     9.1737
20.6213    1.9461     9.115
20.3296    1.7976     9.0231
20.1791    1.6791     9.1565
19.8783    1.5499     9.1093
19.6686    1.4267     9.0674
19.5584    1.3837     9.0803
19.2685    1.2511     9.0626
19.0478    1.1079     8.9184
