AMNH       169432     Phu1bjw
1.2658     27.2456    13.7485    IN
1.51       22.2422    16.9005    BR
1.477      15.7426    16.6995    GL
1.4479     15.6288    16.262     NA
0.5832     9.8243     10.4502    RH
0.3017     6.7588     7.2706     NS
0.1904     6.4761     5.7254     PR
-0.8656    6.7965     6.1312     R_PR2
-0.2431    10.869     10.9507    R_PMS
-3.3018    15.2779    10.3079    R_ZMI
-1.0849    15.5777    14.2554    R_ZMU
0.8745     15.7259    15.2248    R_DA
-1.1002    16.0984    16.6648    R_MTI
-1.2511    16.6771    17.5152    R_MTS
-2.3677    16.4526    15.258     R_FMO
-3.4062    17.3549    15.3561    R_FMT
-3.3925    23.2113    12.6427    R_PO
-4.7294    17.3607    12.0154    R_ZTS
1.3162     6.7289     5.9512     L_PR2
1.6283     10.7029    10.7801    L_PMS
4.6416     15.2995    9.4076     L_ZMI
3.3676     15.4968    13.6914    L_ZMU
1.8515     15.7488    15.0677    L_DA
3.7574     15.9184    16.1074    L_MTI
3.7878     16.5574    17.0304    L_MTS
4.9721     16.4968    14.4052    L_FMO
6.0167     17.4789    14.4816    L_FMT
5.2306     23.0599    11.4277    L_PO
6.3517     17.0725    10.6613    L_ZTS
0.8727     6.1255     6.2133     O1
4.9309     17.8103    14.8111    O2
-2.3546    17.6544    15.3915    O3
1.2262     27         13.3116    O4







































































































































































1.4499     15.6978    16.6233    GLRH
1.4719     15.6191    16.3228
1.4495     15.5324    15.9472
1.509      15.4873    15.5316
1.4468     15.3721    15.1635
1.2807     15.0872    14.7743
1.276      14.7914    14.4191
1.2242     14.4926    14.1701
1.1891     14.1116    13.9422
1.145      13.7592    13.7125
1.084      13.4268    13.503
1.0419     13.2415    13.3248
0.9584     12.9275    13.1292
0.9875     12.603     12.8825
0.9638     12.2714    12.6733
0.9379     11.9811    12.4999
0.8682     11.7735    12.3809
0.8072     11.4328    12.119
0.7661     11.1974    11.9547
0.7413     11.0114    11.8098
0.7407     10.8446    11.6557
0.6866     10.621     11.4575
0.6256     10.4481    11.2603
0.5988     10.2561    11.0619
0.5687     10.1043    10.8975
0.5778     9.9247     10.7107
0.5401     9.8917     10.5138













































































































































































0.573      9.8698     10.5347    NOSE
0.4161     9.9555     10.5534
0.2266     9.911      10.4432
0.0358     9.9092     10.3801
-0.1886    9.8406     10.2164
-0.1919    9.7512     10.0025
-0.401     9.5034     9.8369
-0.507     9.2978     9.5538
-0.6221    9.091      9.2875
-0.7374    8.8444     9.0564
-0.7329    8.6696     8.8397
-0.8314    8.4317     8.6263
-0.8462    8.1869     8.46
-0.796     7.9394     8.3158
-0.7274    7.7146     8.1913
-0.608     7.5369     8.1076
-0.4319    7.3706     8.0451
-0.3217    7.1944     7.9769
-0.1569    7.0533     7.8726
-0.0192    6.9326     7.7367
0.09       6.8096     7.5131
0.3015     6.8517     7.3916
0.5138     6.8568     7.4417
0.7715     6.9151     7.7251
1.0613     7.2128     7.8964
1.2769     7.3273     7.9124
1.5482     7.6453     7.9891
1.6357     7.8537     8.0872
1.6947     8.0346     8.2145
1.7485     8.3131     8.4762
1.79       8.52       8.6376
1.7688     8.7302     8.813
1.8071     8.924      9.0289
1.8218     9.0968     9.2006
1.7828     9.2873     9.4333
1.4924     9.448      9.533
1.4388     9.5998     9.7447
1.3316     9.8136     9.9814
1.2662     9.9029     10.2113
1.1562     9.9085     10.2675
0.9736     9.8428     10.4065
0.7541     9.8985     10.4839
0.6174     9.8009     10.5446





























































































































































0.286      6.7745     7.3261     NASP-PR
0.3058     6.6458     7.1743
0.3396     6.5763     7.0417
0.2912     6.4905     6.8577
0.2704     6.4214     6.5902
0.2223     6.4136     6.3112
0.1878     6.4251     5.8716

































































































































































































-0.2241    10.8748    10.9501    R-PM/MAX
-0.3116    10.6035    10.7207
-0.416     10.3988    10.5225
-0.4912    10.1673    10.3306
-0.5903    9.9417     10.1662
-0.6473    9.779      10.0192
-0.7789    9.5825     9.7963
-0.8799    9.3653     9.5419
-0.964     9.1578     9.2148
-1.043     9.0156     8.9596
-1.1529    8.8127     8.641
-1.2687    8.592      8.278
-1.3637    8.5063     8.0035
-1.4479    8.3451     7.7724
-1.5592    8.2312     7.5425
-1.7356    8.1773     7.2255
-1.662     8.1351     6.894
-1.4862    8.1597     6.5958






















































































































































































1.6396     10.6906    10.7656    L-PM/MAX
1.6768     10.5102    10.5189
1.731      10.3309    10.3243
1.7859     10.1203    10.121
1.8399     9.9541     9.9362
1.9399     9.7336     9.7247
1.9835     9.5237     9.5265
2.03       9.3878     9.3513
2.0468     9.2499     9.1843
2.063      9.0482     8.927
2.071      8.8603     8.6204
2.0787     8.7363     8.3659
2.1024     8.5548     8.0417
2.1017     8.4396     7.8185
2.1139     8.2559     7.5453
2.2542     8.1317     7.2758
2.3185     8.0643     7.0366
2.3516     8.1041     6.7164
2.1728     8.0852     6.4969





















































































































































































-2.4247    12.6765    7.1669     ROSTRUM
-2.4527    12.7037    7.4668
-2.401     12.7742    7.7575
-2.2786    12.6673    8.0721
-2.0978    12.6695    8.3296
-1.8986    12.6257    8.6508
-1.7767    12.5582    8.8778
-1.7272    12.4987    9.1593
-1.7824    12.4731    9.5887
-1.8763    12.4167    10.0351
-2.0411    12.254     10.6064
-1.993     12.0792    11.0903
-1.7792    11.9664    11.5133
-1.5276    11.9742    11.6045
-0.9804    11.9643    11.5045
-0.3776    11.891     11.5858
-0.038     11.7981    11.7302
0.36       11.6645    12.0383
0.8046     11.6056    12.2169
1.1604     11.6333    12.1865
1.4465     11.6539    11.9222
1.6702     11.7374    11.6
1.8915     11.8245    11.4307
2.1599     11.8236    11.2025
2.4182     11.8269    11.1536
2.6536     11.8507    11.1174
2.9483     11.7835    11.1004
3.3064     11.7834    10.9073
3.4786     11.8349    10.6236
3.4997     11.9504    10.1261
3.3855     11.9569    9.8165
3.1241     12.022     9.4788
2.9589     12.1054    9.0844
2.8134     12.1802    8.6449
2.7986     12.2459    8.265
2.9832     12.3898    7.8402
3.1974     12.5608    7.4603
3.2907     12.5894    7.0635
3.2907     12.6822    6.8323
3.232      12.69      6.6084
3.1128     12.7089    6.4662































































































































































-3.4018    17.3272    15.3625    SUPORB
-3.2071    17.4127    15.9097
-3.0031    17.2819    16.3476
-2.6753    17.1426    16.7766
-2.3284    17.056     17.087
-1.8926    16.8384    17.3433
-1.4385    16.6822    17.4535
-1.0288    16.7022    17.5365
-0.7026    16.6946    17.583
-0.3314    16.7771    17.6359
0.1256     16.6674    17.6467
0.3913     16.5842    17.6246
0.8355     16.5241    17.5556
1.226      16.479     17.4493
1.4297     16.4602    17.3661
1.7283     16.3707    17.2729
2.1301     16.4344    17.2775
2.4954     16.5154    17.2984
2.7702     16.5748    17.2839
3.0587     16.6414    17.2614
3.5545     16.7225    17.1627
3.9091     16.7794    17.0292
4.2656     16.8324    16.8821
4.6077     16.847     16.7024
4.9191     16.9595    16.528
5.189      17.0383    16.3731
5.4472     17.1094    16.1334
5.6221     17.2994    15.8779
5.7494     17.3483    15.6682
5.8856     17.3839    15.4088
5.9009     17.3301    15.1755
5.9402     17.4194    14.9048
6.0102     17.4535    14.5065







































































































































































-2.3507    16.503     15.3711    RORBIT
-2.4102    16.5796    15.6406
-2.3898    16.5467    15.9234
-2.265     16.4643    16.1868
-1.9874    16.3301    16.4557
-1.7024    16.1076    16.7357
-1.3797    16.1083    16.6958
-0.9712    15.9996    16.7019
-0.648     15.904     16.7041
-0.3442    15.8627    16.5981
0.0387     15.8883    16.6791
0.4075     15.9707    16.7591
0.7335     16.006     16.6024
0.8855     15.8865    16.2477
0.9553     15.7651    15.8871
0.977      15.7377    15.5868
0.8928     15.7307    15.2421




