NMNH       268897     Rpr10stv
-3.7016    15.0446    4.8579     IN
-3.7602    12.3602    7.8731     BR
-3.7357    6.0985     6.6232     GL
-3.777     6.0562     6.2109     NA
-3.7935    5.9365     5.3617     RH
-3.9505    4.5587     3.7739     NS
-3.9157    4.1702     3.3123     PR
-4.5189    4.2282     3.2491     R_PR2
-4.0061    6.02       5.7586     R_PMS
-6.95      6.7104     3.4129     R_ZMI
-6.0457    6.2261     4.7114     R_ZMU
-4.5463    6.4898     5.9158     R_DA
-5.7999    6.7967     7.0145     R_MTI
-5.5897    6.889      7.3466     R_MTS
-7.1635    7.0053     5.7906     R_FMO
-7.4892    7.678      6.2099     R_FMT
-7.1135    11.7916    3.6967     R_PO
-7.7767    8.2075     3.7224     R_ZTS
-3.272     4.2996     3.2599     L_PR2
-3.5104    6.0527     5.7051     L_PMS
-0.7918    6.593      3.295      L_ZMI
-1.6485    6.215      4.6007     L_ZMU
-3.0348    6.4731     5.7517     L_DA
-1.9073    6.727      6.852      L_MTI
-1.9324    6.7876     7.1762     L_MTS
-0.3459    6.9206     5.5144     L_FMO
-0.0174    7.443      5.8907     L_FMT
-0.577     11.6567    3.4024     L_PO
0.0779     8.1999     3.4192     L_ZTS
-3.6723    3.8445     3.0955     O1
-6.5294    8.1697     6.9547     O2
0.3175     10.2683    3.0604     O3
-4.3448    14.9878    5.196      O4







































































































































































-3.7693    6.1092     6.6497     GLRH
-3.774     6.0669     6.3312
-3.7954    6.0653     6.2264
-3.781     6.0432     6.0919
-3.7736    6.0204     5.959
-3.7671    5.9909     5.8383
-3.7541    5.9583     5.6856
-3.7814    5.9249     5.5364
-3.7827    5.9255     5.4405
-3.7824    5.9353     5.3527






























































































































































































-3.805     5.9738     5.2961     NOSE
-4.0437    6.0041     5.3173
-4.3424    6.0019     5.0746
-4.506     5.9225     4.8517
-4.5729    5.7939     4.6576
-4.5632    5.524      4.4047
-4.5608    5.3791     4.3255
-4.4122    4.948      4.1019
-4.2506    4.7459     4.0194
-4.062     4.5648     3.8676
-3.9395    4.5304     3.7959
-3.8023    4.6778     3.8926
-3.6333    4.7738     4.0141
-3.5523    4.9667     4.1139
-3.4519    5.1471     4.186
-3.325     5.3211     4.1964
-3.1913    5.4811     4.3065
-3.1138    5.6655     4.5086
-3.1029    5.7998     4.674
-3.1722    5.9083     4.8282
-3.3023    5.9789     4.9944
-3.3917    6.0485     5.1923
-3.469     6.0237     5.2871
-3.6724    5.9327     5.3326
-3.8071    5.9391     5.3501















































































































































































-3.9487    4.496      3.8034     NASP-PR
-3.9492    4.2811     3.7324
-3.9817    4.2206     3.6477
-3.919     4.1541     3.3594
-3.9431    4.1982     3.2351



































































































































































































-4.1749    6.0326     5.5762     R-PM/MAX
-4.3713    6.0876     5.4397
-4.5245    6.0906     5.285
-4.7108    6.0708     5.1277
-4.8196    6.0448     4.9493
-4.9124    5.9907     4.8403
-4.9462    5.9028     4.7159
-4.973     5.7488     4.5564
-4.9713    5.4601     4.2642
-4.9781    5.2674     4.1591
-4.9915    5.0748     4.0136
-4.9764    4.911      3.8811
-5.0053    4.785      3.7086
-5.0683    4.5413     3.2287
-4.9853    4.5164     3.2121

























































































































































































-3.4768    6.0487     5.7429     L-PM/MAX
-3.367     6.0688     5.5612
-3.0596    6.0716     5.2635
-2.986     6.0231     5.0797
-2.8787    5.9668     4.9073
-2.7949    5.8815     4.7443
-2.7928    5.7447     4.5472
-2.8297    5.5673     4.3834
-2.8566    5.4049     4.2476
-2.8455    5.2114     4.0971
-2.857     5.0065     3.9627
-2.8414    4.8442     3.7647
-2.7738    4.7055     3.5386
-2.8589    4.4848     3.1503
-2.8517    4.5        3.0959















































































































































































