LSZT       R11        Phu186sf
0.3869     21.0746    13.5617    IN
0.9975     16.2706    16.7307    BR
1.1588     9.7004     15.8891    GL
1.1286     9.6615     15.2571    NA
1.2886     4.4507     9.2287     RH
1.4763     1.6198     5.6044     NS
1.6262     1.2773     4.5218     PR
0.3968     1.7051     4.6388     R_PR2
0.6632     5.3385     9.9478     R_PMS
-2.5442    9.2314     9.4676     R_ZMI
-0.703     9.8483     13.1253    R_ZMU
0.6486     9.7727     14.3216    R_DA
-0.5576    9.7608     15.6911    R_MTI
-0.204     10.6338    16.6157    R_MTS
-2.3446    10.5286    14.1644    R_FMO
-2.9331    11.3361    14.4274    R_FMT
-3.6438    17.0736    11.3025    R_PO
-3.7649    11.017     10.6651    R_ZTS
2.6868     1.8943     4.6612     L_PR2
1.7921     5.7379     10.1165    L_PMS
4.8795     9.7253     9.4644     L_ZMI
3.1997     9.8204     12.8834    L_ZMU
1.7135     9.6423     13.9656    L_DA
2.9826     9.9784     15.6263    L_MTI
2.681      10.8215    16.5131    L_MTS
4.553      10.966     14.1953    L_FMO
4.9922     11.9251    14.505     L_FMT
5.2175     17.5387    11.5398    L_PO
5.7982     11.6166    10.7333    L_ZTS
4.11       4.0995     3.438      O1
-2.0947    11.7435    15.7105    O2
6.2582     13.8408    10.8267    O3
-0.4726    20.5144    13.3132    O4







































































































































































1.1622     9.6912     15.9596    GLRH
1.132      9.6631     15.7227
1.152      9.6633     15.4827
1.1464     9.6674     15.297
1.1478     9.6273     15.0999
1.1426     9.5537     14.826
1.1571     9.4402     14.4977
1.135      9.3053     14.1822
1.1361     9.2061     13.997
1.1195     9.092      13.8233
1.1171     8.955      13.6262
1.1461     8.7604     13.3737
1.1486     8.5859     13.1524
1.132      8.4082     12.9374
1.1507     8.1779     12.7052
1.1941     8.0059     12.5291
1.183      7.8218     12.3431
1.1617     7.6492     12.1771
1.1398     7.4429     12.0109
1.1522     7.2161     11.8113
1.1666     7.0231     11.6571
1.1497     6.8452     11.4882
1.195      6.6365     11.3421
1.1457     6.4513     11.2049
1.1775     6.2945     11.0649
1.1349     6.0381     10.8538
1.1354     5.8417     10.684
1.1476     5.626      10.4935
1.1668     5.4256     10.2999
1.1561     5.1948     10.0317
1.2197     5.036      9.8411
1.1909     4.8819     9.65
1.2602     4.6933     9.4774
1.2337     4.5561     9.3533
1.2659     4.4542     9.2204





































































































































































1.3007     4.4443     9.1712     NOSE
1.0205     4.4442     9.1688
0.7062     4.4715     9.0589
0.5594     4.4535     8.9152
0.4493     4.274      8.6852
0.3935     4.1395     8.5193
0.3196     3.9918     8.3601
0.2798     3.8259     8.1344
0.241      3.6256     7.8398
0.1527     3.3605     7.5594
0.144      3.1671     7.2964
0.1767     2.9675     7.0306
0.1951     2.807      6.8234
0.2792     2.6778     6.6072
0.4135     2.4804     6.3326
0.548      2.3048     6.2471
0.6299     2.0833     6.1299
0.8164     1.8442     6.0359
1.0643     1.6682     5.8983
1.2402     1.5362     5.7501
1.3862     1.5523     5.6751
1.4926     1.6254     5.5827
1.6508     1.6262     5.7283
1.8654     1.6404     5.8525
1.9648     1.7494     5.9494
2.1194     1.8851     6.0301
2.2633     2.006      6.1026
2.4545     2.2573     6.1953
2.5142     2.4705     6.3144
2.5206     2.6717     6.5023
2.6354     2.7951     6.7053
2.5603     3.0487     7.0133
2.5205     3.3008     7.3126
2.535      3.4411     7.544
2.4898     3.578      7.7355
2.467      3.7225     7.9186
2.3665     3.9164     8.0724
2.282      4.049      8.2963
2.2122     4.2064     8.4713
2.113      4.4368     8.6961
2.014      4.5443     8.8459
1.9326     4.6567     9.0181
1.7249     4.5591     9.1718
1.4801     4.5237     9.2514
1.2572     4.4496     9.1987



























































































































































1.4988     1.5346     5.5217     NASP-PR
1.5282     1.397      5.2939
1.5563     1.2959     4.9828
1.5811     1.271      4.7427
1.645      1.2692     4.6497
1.6324     1.2825     4.5531


































































































































































































0.6725     5.3706     9.9835     R-PM/MAX
0.5245     5.1239     9.6856
0.3943     4.8541     9.3419
0.3215     4.6147     9.0702
0.2531     4.4716     8.9169
0.1161     4.2414     8.6223
0.0402     4.0964     8.4478
-0.0721    3.8852     8.1673
-0.1207    3.6461     7.8748
-0.1541    3.5211     7.6878
-0.2071    3.3914     7.3617
-0.1924    3.2543     6.9791
-0.195     3.1321     6.6326
-0.3202    3.0711     6.3698
-0.3993    3.0397     6.0448
-0.4951    3.0262     5.8147
-0.5336    2.9627     5.4535
-0.6092    2.9342     5.1919
-0.642     2.9489     4.9849
-0.5811    3.006      4.7745




















































































































































































1.7843     5.7719     10.1651    L-PM/MAX
1.8291     5.6207     10.0029
1.9142     5.5002     9.8685
2.0275     5.2858     9.6229
2.1278     5.0782     9.4297
2.2425     4.8675     9.1927
2.3019     4.6731     9.0028
2.4066     4.4886     8.7836
2.4948     4.3476     8.6208
2.5812     4.1901     8.4237
2.6603     3.9748     8.1067
2.7121     3.8691     7.9606
2.7751     3.6692     7.6367
2.8385     3.4782     7.2755
2.8875     3.4093     6.9792
2.9277     3.302      6.7437
3.0821     3.3486     6.5289
3.1976     3.343      6.329
3.2466     3.329      6.0867
3.3085     3.3332     5.9449
3.3756     3.2841     5.7477
3.3721     3.308      5.6094
3.4156     3.2649     5.4543
3.4242     3.2609     5.2182
3.2047     3.2289     5.0406















































































































































































-1.5719    7.1392     6.2397     ROSTRUM
-1.5931    7.0518     6.5568
-1.5704    7.0017     6.7759
-1.3964    6.9579     6.9118
-1.1659    6.9401     7.0414
-0.9845    6.8771     7.2057
-0.8309    6.8429     7.4382
-0.7385    6.827      7.6408
-0.7098    6.7227     7.9839
-0.7723    6.7129     8.2436
-0.8995    6.5233     8.7119
-0.9759    6.5171     9.0404
-1.1235    6.3986     9.3319
-1.1535    6.3758     9.5335
-1.1382    6.2646     9.805
-1.1145    6.271      9.9564
-1.0617    6.2665     10.1597
-0.9456    6.2009     10.3137
-0.8498    6.2075     10.3993
-0.7054    6.2085     10.4888
-0.389     6.2631     10.5382
-0.1815    6.3444     10.5095
0.0431     6.3157     10.5746
0.2667     6.3017     10.6423
0.4352     6.2821     10.6925
0.6125     6.2592     10.7494
0.7245     6.2873     10.7638
0.8406     6.2701     10.8748
1.0312     6.2051     10.9806
1.1522     6.2222     10.9992
1.2742     6.2702     11.005
1.4173     6.3335     10.9405
1.6466     6.5263     10.7919
1.8449     6.6113     10.7439
2.038      6.651      10.6404
2.311      6.6126     10.5937
2.5787     6.6379     10.5549
2.7692     6.6247     10.6035
2.9534     6.6958     10.5537
3.0878     6.7203     10.4907
3.3146     6.6987     10.3479
3.3768     6.7079     10.1171
3.3449     6.7969     9.8635
3.2321     6.9823     9.5052
3.1201     6.9964     9.1896
3.0235     6.9765     8.782
2.9826     7.0016     8.5835
2.9609     7.0444     8.3257
2.9586     7.1184     8.1268
3.0422     7.1528     7.8914
3.1835     7.2259     7.6702
3.3007     7.2688     7.4972
3.4794     7.3065     7.3296
3.637      7.2726     7.1966
3.8323     7.2854     7.0185
3.9159     7.3497     6.9106
3.9623     7.4029     6.7656
3.9653     7.4631     6.6469
3.9847     7.5348     6.4546
3.9766     7.5384     6.3522












































































































































-2.9837    11.3046    14.2554    SUPORB
-2.8853    11.3806    14.5627
-2.7025    11.3189    15.0037
-2.6039    11.2967    15.2218
-2.3905    11.2074    15.4837
-2.2026    11.1123    15.6789
-2.0117    11.0812    15.8335
-1.6808    10.9287    16.0415
-1.4885    10.8773    16.1551
-1.2604    10.7514    16.2542
-0.9108    10.6216    16.4011
-0.5809    10.5908    16.5205
-0.3298    10.6011    16.5912
0.0297     10.6479    16.7019
0.349      10.6236    16.7495
0.6006     10.4321    16.675
0.8248     10.2135    16.5735
1.1657     10.0527    16.4435
1.5213     10.1793    16.5274
1.83       10.4556    16.6397
2.0859     10.6788    16.6947
2.3799     10.7706    16.6401
2.6574     10.8159    16.5475
2.9388     10.8185    16.4426
3.1475     10.8215    16.3516
3.3926     10.9531    16.2636
3.6488     11.1322    16.1398
3.9205     11.3014    15.9758
4.1516     11.4802    15.8194
4.3402     11.5625    15.6734
4.4281     11.5918    15.574
4.6563     11.6731    15.3051
4.7527     11.7874    15.1267
4.8421     11.8441    14.9011
4.9616     11.88      14.6444
5.018      11.942     14.4573
5.0508     11.9801    14.3292
5.0807     11.8947    14.1829


































































































































































-0.7545    9.8454     13.1367    RORBIT
-1.0697    9.8573     13.2093
-1.2959    9.909      13.2746
-1.5059    10.0186    13.3596
-1.6468    10.1076    13.4161
-1.8201    10.2474    13.517
-2.0002    10.3214    13.6383
-2.1614    10.4311    13.8414
-2.2907    10.5163    14.1002
-2.4217    10.5987    14.3066
-2.4175    10.6308    14.5823
-2.3495    10.5725    14.8196
-2.1535    10.459     15.1425
-1.914     10.3035    15.3956
-1.6154    10.1375    15.627
-1.2416    9.952      15.7535
-0.7706    9.8308     15.7171
-0.3735    9.7993     15.6308
-0.0841    9.8212     15.6671
0.3796     9.9633     15.6226
0.5277     9.9795     15.357
0.5913     9.9305     15.0434
0.6206     9.9277     14.8219
0.5972     9.923      14.5691
0.5857     9.8865     14.432
0.6304     9.8027     14.3337














































































































































































3.1523     9.8116     12.8896    LORBIT
3.4382     9.9826     13.0524
3.6137     10.1115    13.1428
3.7971     10.2304    13.228
3.9647     10.2785    13.2818
4.0721     10.4094    13.3865
4.1981     10.5519    13.5174
4.3287     10.6742    13.6516
4.4069     10.8047    13.8229
4.4867     10.897     14.0021
4.5882     10.9599    14.1774
4.5612     11.0542    14.4186
4.5733     11.0183    14.6573
4.5092     10.9341    14.871
4.4409     10.8083    15.1093
4.1315     10.7075    15.3468
3.9885     10.5053    15.5805
3.7137     10.3911    15.6036
3.4826     10.1638    15.7548
3.2514     10.1332    15.645
2.9875     10.0927    15.5619
2.7869     10.0202    15.5059
2.4874     9.899      15.6499
2.2052     9.9508     15.6819
1.8322     10.0294    15.4693
1.7264     10.0011    15.1211
1.7084     9.9693     14.8432
1.6807     9.9245     14.6276
1.6828     9.857      14.3408
1.6663     9.7719     14.1872
1.7052     9.6917     13.9817
1.7304     9.6729     13.9111








































































































































































-3.0162    11.2679    14.0821    RTEMFOS
-3.0435    11.2131    13.8922
-3.0426    11.0641    13.6256
-3.0809    10.9434    13.4087
-3.0716    10.8375    13.1966
-3.0743    10.7265    12.9584
-3.0768    10.6122    12.6959
-3.0786    10.5082    12.4017
-3.0704    10.3639    12.1294
-3.0766    10.2326    11.8692
-3.0736    10.1425    11.6187
-3.0845    10.0317    11.4628
-3.1084    9.9759     11.2179
-3.1555    9.9373     11.0847
-3.2688    9.9137     10.9264
-3.4562    10.0619    10.7178
-3.5572    10.2613    10.6345
-3.6316    10.4773    10.6203
-3.6932    10.7371    10.6291
-3.7293    10.8558    10.6558
-3.7337    11.037     10.6788



















































































































































































4.9704     11.9136    14.2684    LTEMFOS
5.0189     11.8668    13.9782
4.9827     11.7531    13.7639
5.021      11.6425    13.5915
5.0626     11.5345    13.358
5.1083     11.3971    13.0554
5.1162     11.2821    12.8264
5.1148     11.1739    12.5763
5.1291     11.0965    12.4084
5.1363     10.9894    12.1889
5.1499     10.8428    11.9364
5.1896     10.7354    11.7429
5.203      10.6609    11.5832
5.2425     10.5729    11.4199
5.292      10.5151    11.2462
5.3461     10.4775    11.1317
5.4527     10.4917    10.947
5.5162     10.5977    10.8568
5.6119     10.7783    10.7724
5.68       10.9747    10.7362
5.6929     11.125     10.7258
5.7269     11.2925    10.727
5.7212     11.4159    10.7273
5.7083     11.5503    10.7269



































