FMNH       27184      Tg13stv
15.2243    15.9301    14.9436    IN
11.9512    12.2581    17.0669    BR
8.428      8.4843     14.131     GL
8.5583     8.6647     13.5154    NA
8.0481     7.8631     9.4496     RH
6.5833     6.1421     7.4775     NS
6.3376     5.6668     5.5647     PR
6.0201     6.1894     5.6122     R_PR2
7.4954     8.0302     9.3975     R_PMS
7.2107     12.1399    9.3046     R_ZMI
7.9936     10.2142    11.9252    R_ZMU
8.6032     9.133      13.1938    R_DA
7.2486     9.6748     13.8672    R_MTI
7.4051     10.0132    14.5801    R_MTS
7.2091     11.255     13.4958    R_FMO
7.2986     11.963     13.9193    R_FMT
10.8097    16.59      12.9309    R_PO
7.1116     14.0498    11.0209    R_ZTS
6.8814     5.484      5.6228     L_PR2
8.2506     7.3497     9.4368     L_PMS
12.6648    7.5706     9.4752     L_ZMI
10.3853    8.0691     11.9022    L_ZMU
9.1405     8.7279     13.0474    L_DA
9.7633     7.4629     13.8231    L_MTI
9.9193     7.562      14.5461    L_MTS
11.376     7.4655     13.5928    L_FMO
12.0355    7.6904     13.953     L_FMT
16.37      11.683     12.7949    L_PO
14.3401    7.7276     11.2014    L_ZTS
6.5871     5.3498     5.2383     O1
7.7338     11.1707    14.7526    O2
15.8488    9.0204     11.7427    O3
16.2322    14.4712    14.4316    O4







































































































































































8.4273     8.4884     14.0859    GLRH
8.487      8.5901     13.9567
8.5385     8.6028     13.7879
8.5424     8.6544     13.6294
8.6116     8.644      13.3991
8.6452     8.7345     13.1531
8.7055     8.8139     12.9558
8.7434     8.8467     12.7856
8.8064     8.8958     12.5583
8.8381     8.9178     12.382
8.8857     8.9029     12.0941
8.8824     8.9008     11.8786
8.8663     8.8872     11.7002
8.8659     8.8269     11.515
8.8563     8.7774     11.3689
8.797      8.7152     11.1653
8.7603     8.6491     10.9967
8.6992     8.5872     10.8525
8.6514     8.547      10.7444
8.6112     8.4564     10.5973
8.5332     8.4086     10.4686
8.4361     8.3458     10.2931
8.3591     8.275      10.1523
8.3044     8.1973     10.0225
8.2629     8.1315     9.9105
8.216      8.0907     9.8223
8.1604     8.0178     9.7237
8.1032     7.9283     9.5972
8.0512     7.8774     9.4749











































































































































































8.0504     7.8651     9.4401     NOSE
7.9075     7.9879     9.4697
7.7241     8.0094     9.4235
7.5291     7.964      9.3575
7.4059     7.9415     9.2894
7.355      7.9152     9.29
7.2522     7.8178     9.0767
7.0847     7.7223     8.9541
6.9963     7.6799     8.8481
6.8977     7.5883     8.7748
6.781      7.5206     8.6556
6.6519     7.4422     8.5684
6.5027     7.3385     8.4269
6.3588     7.179      8.1941
6.2682     7.0554     8.0677
6.2601     6.9722     7.9903
6.2008     6.8038     7.8787
6.2124     6.6995     7.8426
6.2422     6.5659     7.7862
6.2566     6.4508     7.73
6.3247     6.3223     7.7107
6.3575     6.2081     7.6841
6.4246     6.1198     7.6396
6.4262     6.0927     7.5229
6.4666     6.0897     7.4165
6.5199     6.0522     7.4274
6.579      5.9873     7.4937
6.6325     5.9034     7.676
6.7531     5.8978     7.7082
6.859      5.8835     7.71
6.9674     5.8277     7.757
7.063      5.7771     7.7953
7.1688     5.7611     7.8868
7.344      5.8013     7.9736
7.4744     5.8845     8.0697
7.5783     6.0155     8.206
7.6942     6.139      8.3988
7.775      6.2931     8.5417
7.8136     6.3942     8.6184
7.8975     6.4958     8.7228
7.9199     6.6238     8.7892
7.9669     6.7017     8.857
8.0235     6.7786     8.8987
8.0623     6.8678     8.9741
8.101      6.9768     9.0916
8.1267     7.0815     9.1399
8.1967     7.2098     9.234
8.2129     7.2886     9.2964
8.209      7.3382     9.3663
8.237      7.4731     9.3883
8.2358     7.5815     9.4295
8.1779     7.6879     9.4779
8.1138     7.7858     9.4459
8.0324     7.8204     9.4072


















































































































































6.4683     5.9362     7.3549     NASP-PR
6.3919     5.8475     7.2064
6.3298     5.751      7.0343
6.2839     5.7235     6.8675
6.2614     5.6678     6.7314
6.226      5.6421     6.5629
6.2289     5.6321     6.398
6.2166     5.6218     6.3024
6.2363     5.6038     6.1864
6.2613     5.6136     6.0839
6.2552     5.6283     5.9057
6.2718     5.6201     5.7938
6.2671     5.675      5.672
6.3273     5.6962     5.5562


























































































































































































7.5006     8.0323     9.4205     R-PM/MAX
7.4533     7.9482     9.3287
7.2858     7.8539     9.2081
7.2563     7.7959     9.0844
7.1551     7.7183     9.01
7.0489     7.6736     8.8932
6.9553     7.597      8.7876
6.8959     7.5362     8.729
6.7728     7.4981     8.6644
6.6868     7.4464     8.5923
6.5926     7.3714     8.5011
6.529      7.3318     8.4413
6.4295     7.3371     8.3937
6.2594     7.3089     8.2132
6.1259     7.3225     8.0604
6.0383     7.3909     7.9332
5.9223     7.4172     7.7373
5.8742     7.4364     7.5283
5.8048     7.4056     7.321
5.7942     7.4043     7.0389
5.7857     7.3804     6.8916
5.7672     7.3609     6.7243
5.8397     7.3143     6.456
5.971      7.1735     6.4046
6.0929     7.1681     6.2336















































































































































































8.1979     7.2495     9.3654     L-PM/MAX
8.1329     7.1472     9.2333
8.1182     7.0549     9.1544
8.0851     6.9707     9.0935
8.0613     6.9043     8.9971
8.0332     6.8136     8.917
7.9584     6.7022     8.8487
7.9116     6.5715     8.7569
7.8672     6.4178     8.6779
7.7936     6.271      8.5553
7.7731     6.1586     8.4929
7.7509     6.0591     8.4009
7.7531     5.9769     8.3374
7.7903     5.8492     8.303
7.8036     5.7656     8.1853
7.8217     5.6912     8.1414
7.879      5.6378     8.089
7.8953     5.6318     7.9939
7.9146     5.5501     7.8371
7.9447     5.4684     7.6405
8.0074     5.3869     7.477
8.0174     5.3643     7.2606
8.0352     5.3271     7.1407
8.0466     5.2901     6.9476
8.0464     5.2857     6.7571
8.0745     5.3164     6.6026
8.0802     5.3167     6.491
8.0636     5.3534     6.4127












































































































































































7.1917     10.2073    6.5875     ROSTRUM
7.1478     10.1551    6.7357
7.1372     10.1188    6.9649
7.1109     10.0463    7.1569
7.1542     9.9483     7.3052
7.3089     9.862      7.4459
7.3721     9.7439     7.5231
7.4108     9.6174     7.6378
7.4781     9.4726     7.844
7.5146     9.4303     7.9525
7.5532     9.3566     8.1111
7.5652     9.244      8.3467
7.5448     9.2069     8.4894
7.5216     9.1712     8.674
7.4683     9.126      8.8851
7.376      9.1187     9.124
7.2677     9.1267     9.3697
7.1978     9.1039     9.5068
7.1501     9.0453     9.7579
7.169      8.8621     9.9085
7.2362     8.8008     9.9417
7.371      8.638      10.0086
7.5918     8.5108     9.9538
7.6967     8.471      9.873
7.7953     8.437      9.7752
7.8827     8.3486     9.8
8.0136     8.1962     9.7743
8.132      8.0896     9.7756
8.3398     7.9412     9.8056
8.4505     7.8218     9.8164
8.5679     7.7502     9.8038
8.6825     7.5934     9.9382
8.8208     7.4386     9.9591
8.9895     7.2984     9.9379
9.1228     7.2414     9.8399
9.1837     7.1102     9.5652
9.2684     7.1664     9.3844
9.2847     7.2512     9.2734
9.3018     7.2904     9.1314
9.346      7.3786     8.8787
9.3677     7.4169     8.7941
9.4092     7.4267     8.6401
9.5759     7.4679     8.459
9.6931     7.4805     8.2998
9.7827     7.4864     8.1154
9.8705     7.4952     7.9964
10.007     7.4776     7.8395
10.1372    7.4394     7.6998
10.2599    7.376      7.6169
10.4402    7.3117     7.546
10.6087    7.2358     7.469
10.6739    7.1977     7.2989
10.718     7.2146     7.1386
10.7795    7.2278     6.937
10.815     7.2454     6.7674
10.8127    7.2528     6.6518
















































































































































7.2271     11.9461    13.9475    SUPORB
7.2575     11.8087    14.1609
7.2967     11.7347    14.2672
7.2376     11.549     14.476
7.2568     11.3856    14.5244
7.238      11.1564    14.5453
7.2315     10.9715    14.5683
7.1611     10.8082    14.5781
7.2419     10.6111    14.5981
7.219      10.4739    14.5917
7.257      10.253     14.5934
7.3136     10.1034    14.5952
7.3859     9.9494     14.5782
7.4929     9.7809     14.5482
7.6176     9.6557     14.5286
7.7646     9.5544     14.5114
7.8264     9.3663     14.4807
7.9164     9.228      14.4528
8.0544     9.0225     14.4041
8.1984     8.8981     14.3731
8.3351     8.7458     14.3477
8.46       8.6163     14.3394
8.583      8.5112     14.37
8.7663     8.3137     14.379
8.9179     8.2728     14.3903
9.1159     8.1729     14.4307
9.3112     7.9804     14.454
9.4672     7.9082     14.4958
9.707      7.7197     14.534
9.8931     7.6043     14.5646
10.0141    7.5171     14.5758
10.1713    7.422      14.5723
10.3369    7.368      14.5844
10.6388    7.3506     14.5814
10.8749    7.3656     14.5679
11.0331    7.43       14.5805
11.1487    7.5419     14.5596
11.2852    7.5695     14.5521
11.4032    7.6151     14.547
11.5047    7.6511     14.569
11.6008    7.7162     14.5583
11.7381    7.6956     14.4147
11.8798    7.7428     14.198
11.9966    7.7596     14.1091
12.0471    7.7127     13.9571



























































































































































7.9204     10.228     11.8866    RORBIT
7.7766     10.4336    11.902
7.6232     10.6236    11.9179
7.5547     10.7594    11.992
7.4864     10.9057    12.1367
7.4124     11.0669    12.3398
7.3714     11.172     12.4849
7.3337     11.2602    12.6771
7.3462     11.3117    12.841
7.2665     11.375     13.009
7.318      11.3454    13.203
7.2882     11.3435    13.3481
7.2519     11.2999    13.5219
7.115      11.1865    13.7068
7.0179     10.98      13.852
6.8976     10.7464    13.941
6.8926     10.5072    13.9827
6.9189     10.2876    13.9542
6.9728     10.0969    13.9566
7.0466     9.9513     13.9185
7.1109     9.8291     13.8996
7.164      9.7292     13.8982
7.2387     9.5948     13.9064
7.48       9.4749     13.8987
7.5614     9.3434     13.9265
7.6846     9.2627     13.9743
7.7503     9.1758     13.9975
7.9307     9.0483     13.946
8.0721     8.9895     13.8711
8.2478     8.9559     13.7439
8.3484     9.013      13.5807
8.4487     9.1249     13.4356
8.513      9.0977     13.3265
8.5763     9.1475     13.2262
8.5947     9.2409     13.1414





































































































































































10.3618    8.1206     11.9112    LORBIT
10.5349    8.0023     11.8957
10.7508    7.8819     11.9527
10.8696    7.8677     12.0248
11.0014    7.8087     12.138
11.0997    7.7852     12.2253
11.175     7.7522     12.3067
11.2467    7.7533     12.453
11.306     7.7011     12.6054
11.3906    7.6746     12.8
11.4622    7.6205     12.9637
11.431     7.6311     13.1804
11.4406    7.577      13.3134
11.3675    7.5802     13.4993
11.3172    7.4964     13.6451
11.1909    7.3972     13.7587
10.9735    7.3398     13.8644
10.8302    7.2792     13.9174
10.7365    7.1974     13.968
10.5968    7.2157     13.9531
10.4288    7.2681     13.9423
10.2818    7.2832     13.9295
10.111     7.3506     13.9054
9.9486     7.4405     13.8693
9.8727     7.5026     13.832
9.6906     7.5501     13.7988
9.5373     7.6491     13.8731
9.4073     7.7659     13.911
9.2438     7.9353     13.9551
9.0727     8.2432     13.8221
8.9728     8.3913     13.6935
8.9848     8.5338     13.5147
9.0065     8.6183     13.3728
9.0221     8.6968     13.2195
9.0439     8.7203     13.1632
9.1014     8.7592     13.0903




































































































































































7.284      11.9735    13.913     RTEMFOS
7.2321     12.0428    13.7902
7.1765     12.1241    13.6075
7.1231     12.1695    13.3618
7.0609     12.1757    13.2297
7.0423     12.2124    13.087
7.0306     12.2295    12.9879
