AMNH       80895      Phu14stv
15.2194    15.8717    -15.2633   IN
11.9847    12.3221    -17.4484   BR
7.6321     7.5801     -15.9587   GL
7.6213     7.573      -15.441    NA
5.0012     4.2821     -9.3786    RH
3.3475     2.77       -5.4168    NS
3.2418     2.7582     -4.1131    PR
4.2499     2.1956     -4.3165    R_PR2
6.2125     4.7997     -10.1602   R_PMS
10.723     5.8613     -9.4433    R_ZMI
9.5917     6.4387     -13.1195   R_ZMU
8.365      7.5171     -14.4245   R_DA
9.4323     6.3938     -15.6374   R_MTI
9.5125     7.4729     -16.8378   R_MTS
11.3541    6.1713     -14.3988   R_FMO
12.466     6.2749     -14.7072   R_FMT
16.3263    10.3611    -12.5996   R_PO
9999       9999       9999       R_ZTS
2.549      3.6714     -4.3991    L_PR2
5.217      5.5753     -10.2187   L_PMS
5.1735     10.5313    -9.8934    L_ZMI
6.4036     9.3802     -13.2907   L_ZMU
7.4712     8.2788     -14.4327   L_DA
6.2565     9.1033     -15.7539   L_MTI
7.3006     9.5808     -16.9764   L_MTS
5.8442     11.0939    -14.5143   L_FMO
5.8316     12.0979    -14.7763   L_FMT
9.4866     16.4096    -12.6415   L_PO
5.1912     13.1586    -11.2245   L_ZTS
2.4432     3.0914     -3.9095    O1
4.407      11.7965    -10.8905   O2
11.7168    6.7953     -15.968    O3
16.7032    14.1646    -14.2947   O4







































































































































































7.6222     7.5695     -15.9056   GLRH
7.6284     7.5556     -15.7722
7.6141     7.5441     -15.641
7.6309     7.5503     -15.4416
7.679      7.609      -15.2732
7.6797     7.6667     -15.1193
7.7243     7.672      -14.9847
7.7014     7.6788     -14.8422
7.6582     7.6886     -14.6668
7.6809     7.6082     -14.4431
7.6495     7.544      -14.2416
7.621      7.5272     -14.1277
7.6025     7.499      -14.0315
7.5651     7.4352     -13.8807
7.4961     7.3464     -13.7111
7.4333     7.2821     -13.5849
7.3597     7.1561     -13.3871
7.2932     7.0852     -13.2457
7.2101     6.9865     -13.0788
7.1653     6.9188     -12.986
7.0874     6.8258     -12.8475
6.9996     6.7271     -12.718
6.9512     6.6341     -12.6143
6.8866     6.5803     -12.5215
6.8139     6.5315     -12.4356
6.7746     6.4711     -12.3445
6.7014     6.3812     -12.2235
6.6179     6.2786     -12.0966
6.5641     6.1773     -11.9792
6.4852     6.0909     -11.8558
6.4191     6.04       -11.7696
6.321      5.91       -11.6298
6.2318     5.8143     -11.5109
6.1888     5.7392     -11.4224
6.1049     5.6622     -11.2998
6.0419     5.5507     -11.1675
5.9473     5.4308     -11.007
5.8446     5.3118     -10.8486
5.8372     5.2011     -10.7591
5.7486     5.089      -10.6123
5.6639     5.0146     -10.5059
5.5729     4.9092     -10.3542
5.471      4.7994     -10.1925
5.4171     4.7012     -10.0571
5.3894     4.6088     -9.9521
5.253      4.5372     -9.7873
5.1859     4.4268     -9.6502
5.0981     4.35       -9.5332
5.0341     4.2502     -9.3719























































































































































5.0344     4.2365     -9.353     NOSE
5.2235     4.1411     -9.3743
5.2962     3.9955     -9.169
5.4241     3.9321     -9.0653
5.5421     3.8671     -9.0179
5.5258     3.6993     -8.8546
5.5078     3.6014     -8.7531
5.4697     3.4993     -8.5908
5.3801     3.3762     -8.409
5.3214     3.2541     -8.1496
5.2564     2.9925     -7.8954
5.1803     2.89       -7.7088
5.1153     2.7664     -7.5417
5.0388     2.6607     -7.358
5.0088     2.5271     -7.2345
4.9246     2.4656     -7.0882
4.8096     2.4276     -6.9479
4.7468     2.3737     -6.8162
4.6451     2.3475     -6.7
4.5241     2.2853     -6.5355
4.3991     2.3004     -6.3663
4.2905     2.2758     -6.2645
4.1262     2.2335     -6.1114
3.9998     2.2206     -6.0146
3.8489     2.2233     -5.9168
3.7301     2.2632     -5.7958
3.5579     2.2936     -5.6489
3.4422     2.3873     -5.5266
3.3889     2.521      -5.3559
3.3622     2.7428     -5.3675
3.1393     2.8168     -5.4936
2.9587     2.8174     -5.6198
2.8732     2.9474     -5.8341
2.8268     3.0347     -5.9726
2.8628     3.1807     -6.1027
2.8582     3.2843     -6.1819
2.8904     3.4636     -6.3728
2.925      3.6083     -6.5248
2.926      3.7276     -6.656
2.9952     3.8162     -6.8185
2.9772     3.8946     -6.9605
3.0235     3.9808     -7.1164
3.0794     4.0385     -7.2496
3.1328     4.071      -7.3599
3.2108     4.1591     -7.5034
3.342      4.2159     -7.6713
3.4498     4.2982     -7.8483
3.5033     4.4555     -8.0696
3.6797     4.4879     -8.215
3.8789     4.5251     -8.401
4.0532     4.6194     -8.6538
4.1715     4.6673     -8.7993
4.2942     4.6998     -8.9759
4.368      4.7252     -9.0772
4.4992     4.5706     -9.1739
4.646      4.5551     -9.283
4.7616     4.5467     -9.3651
4.9124     4.4279     -9.3991
5.0074     4.2582     -9.3559













































































































































3.3533     2.7593     -5.3674    NASP-PR
3.268      2.6733     -5.2088
3.2165     2.6638     -5.0998
3.177      2.6492     -4.904
3.1857     2.6482     -4.6992
3.1928     2.6499     -4.5694
3.2083     2.6577     -4.4197
3.1952     2.6863     -4.3284
3.2321     2.7341     -4.176































































































































































































6.2097     4.8261     -10.1938   R-PM/MAX
6.1822     4.6913     -10.0586
6.1519     4.5913     -9.927
6.0841     4.44       -9.7718
6.0421     4.284      -9.6044
5.9655     4.106      -9.4232
5.932      3.9686     -9.2571
5.8899     3.79       -9.0673
5.8301     3.6834     -8.957
5.7691     3.4819     -8.762
5.7239     3.3536     -8.5999
5.6784     3.2679     -8.4608
5.656      3.1602     -8.3329
5.6398     3.0422     -8.1794
5.5862     2.927      -7.9906
5.569      2.8427     -7.8261
5.5808     2.7311     -7.6154
5.5586     2.6629     -7.4432
5.5248     2.617      -7.2966
5.4837     2.558      -7.1737
5.4914     2.5313     -7.0167
5.483      2.4553     -6.832
5.5204     2.4381     -6.6155
5.5104     2.4125     -6.4508
5.571      2.3393     -6.2551
5.6868     2.2619     -6.1082
5.7044     2.1844     -5.9341
5.7165     2.1568     -5.8038
5.6945     2.1526     -5.5902
5.6892     2.151      -5.4326
5.7201     2.2331     -5.2822
5.7838     2.2719     -5.1556
5.7662     2.3288     -5.0046
5.7515     2.4723     -4.8868






































































































































































5.2367     5.623      -10.2474   L-PM/MAX
5.1637     5.5748     -10.1435
5.0347     5.4968     -10.0099
4.9074     5.4162     -9.8835
4.7845     5.3802     -9.7651
4.686      5.3113     -9.6429
4.5532     5.2366     -9.5037
4.405      5.1641     -9.3356
4.2884     5.1252     -9.1843
4.1745     5.0445     -9.0388
4.0123     4.9797     -8.9192
3.8813     4.917      -8.7578
3.7351     4.8694     -8.5908
3.5956     4.8251     -8.4042
3.5178     4.8059     -8.2848
3.4328     4.7821     -8.1293
3.3266     4.7027     -7.9221
3.2422     4.6758     -7.7707
3.1818     4.6657     -7.6216
3.1122     4.6204     -7.5018
3.0032     4.6042     -7.2697
2.8974     4.5887     -7.0614
2.9166     4.5673     -6.9793
2.8599     4.6046     -6.844
2.7865     4.714      -6.6322
2.7242     4.8181     -6.4159
2.634      4.9747     -6.1084
2.5814     4.9963     -5.9357
2.5447     5.0034     -5.6539
2.6733     4.8757     -5.4347
2.7155     4.9841     -5.2278
2.7656     5.1088     -4.9816








































































































































































9.0455     5.1568     -6.4887    ROSTRUM
9.008      5.0701     -6.6095
8.9558     4.9801     -6.7469
8.9131     4.9342     -6.9134
8.8486     4.8657     -7.0585
8.7895     4.8031     -7.203
8.6577     4.7544     -7.3882
8.5569     4.7677     -7.5644
8.4533     4.7966     -7.6869
8.2926     4.7942     -7.8886
8.1474     4.7589     -8.095
8.0766     4.7205     -8.2946
7.9879     4.6254     -8.5473
7.9021     4.5416     -8.7464
7.8956     4.5085     -8.9111
7.927      4.4344     -9.0089
7.9857     4.3547     -9.1985
8.0474     4.2446     -9.2858
8.0491     4.1452     -9.3616
8.1171     4.0206     -9.583
7.9894     3.9468     -9.7653
7.7301     3.9567     -10.1089
7.6634     3.9774     -10.1878
7.4316     4.0228     -10.2804
7.3056     4.2063     -10.2955
7.1067     4.3454     -10.3168
6.9573     4.4783     -10.3205
6.839      4.6362     -10.2618
6.6402     4.7806     -10.3083
6.5035     4.838      -10.2889
6.3562     4.9429     -10.3519
6.1744     4.9151     -10.3504
5.9493     4.9616     -10.5612
5.7727     5.0299     -10.5816
5.7015     5.0767     -10.5856
5.511      5.2586     -10.5844
5.4414     5.4051     -10.5645
5.3514     5.5665     -10.4418
5.2769     5.7446     -10.4038
5.1371     5.8471     -10.3505
4.9951     6.0023     -10.3134
4.7869     6.1268     -10.3211
4.6167     6.2492     -10.4101
4.4842     6.4037     -10.4459
4.3569     6.4911     -10.475
4.348      6.5844     -10.4465
4.2652     6.8042     -10.3058
4.134      6.9608     -10.2575
4.0697     7.077      -10.1443
4.129      7.1635     -10.0589
4.2513     7.2304     -9.8772
4.2958     7.2659     -9.8016
4.3894     7.2441     -9.5915
4.6364     7.2231     -9.4493
4.7528     7.2223     -9.3138
4.8907     7.2716     -9.0312
4.9487     7.3744     -8.8213
4.9567     7.4316     -8.6066
4.9842     7.4684     -8.377
5.0302     7.5941     -8.2136
5.0236     7.6925     -8.0338
4.977      7.8359     -7.8211
4.9103     7.9509     -7.654
4.8886     8.143      -7.4646
4.8819     8.2454     -7.2194
4.9095     8.298      -7.0519
4.9421     8.3616     -6.8799
4.9917     8.433      -6.7255
5.0314     8.4584     -6.5762



































































































































12.4961    6.2652     -14.7054   SUPORB
12.4077    6.2905     -14.989
12.3456    6.2919     -15.1061
12.2835    6.2865     -15.2726
12.2558    6.3299     -15.3876
12.0925    6.3365     -15.6124
11.9184    6.3427     -15.7385
11.72      6.313      -15.8384
11.3824    6.4052     -16.0781
11.1905    6.3944     -16.1432
10.9914    6.4055     -16.2048
10.7594    6.4782     -16.3149
10.6115    6.5709     -16.3994
10.512     6.747      -16.4787
10.4062    6.8673     -16.5545
10.3163    7.0244     -16.6538
10.2334    7.1892     -16.7453
10.0865    7.3313     -16.8144
9.9421     7.4493     -16.8687
9.7281     7.4766     -16.8893
9.4694     7.5709     -16.9091
9.2776     7.5434     -16.885
9.0622     7.5272     -16.8473
8.8983     7.5324     -16.8058
8.6835     7.5374     -16.7461
8.4121     7.4829     -16.6141
8.1815     7.4934     -16.5036
8.0275     7.5943     -16.4609
7.8815     7.7154     -16.4665
7.8063     7.8096     -16.4735
7.6984     7.897      -16.4749
7.6123     8.0507     -16.5613
7.6114     8.2973     -16.6432
7.6658     8.4087     -16.737
7.5727     8.6381     -16.8317
7.5812     8.7593     -16.8645
7.6181     8.9769     -16.9161
7.66       9.156      -16.9579
7.5194     9.3942     -16.993
7.3575     9.51       -16.9696
7.2422     9.6623     -16.9656
7.0372     9.6533     -16.8922
6.9266     9.8485     -16.8684
6.6688     9.8372     -16.741
6.496      9.8513     -16.65
6.2983     10.0347    -16.562
6.2904     10.2196    -16.5419
6.2369     10.4146    -16.5002
6.2692     10.6049    -16.4662
6.2374     10.8402    -16.4003
6.243      11.0072    -16.3476
6.2072     11.0741    -16.3198
6.2193     11.1839    -16.304
6.0611     11.4188    -16.1101
5.9895     11.6442    -15.8394
5.9656     11.7962    -15.6966
5.9687     11.8696    -15.5864
5.9301     11.9123    -15.4259
5.9222     12.0543    -15.2001
5.9026     12.0586    -15.049
5.8355     12.0673    -14.8583
5.7965     12.0867    -14.681
5.7789     12.1535    -14.564









































































































































9.4308     6.6925     -13.1703   RORBIT
9.5405     6.597      -13.1769
9.6932     6.476      -13.1876
9.771      6.3973     -13.1936
9.9896     6.2982     -13.2381
10.1428    6.2281     -13.2728
10.3771    6.1542     -13.3561
10.5642    6.1038     -13.4347
10.7502    6.0985     -13.557
10.8901    6.1271     -13.6951
11.0039    6.1251     -13.7882
11.1119    6.1683     -13.928
11.2678    6.1364     -14.0469
11.3097    6.1852     -14.2431
11.3281    6.1925     -14.425
11.356     6.1424     -14.5342
11.3153    6.1175     -14.709
11.2623    6.1365     -14.7966
11.1615    6.0841     -14.9691
10.9632    6.0341     -15.1846
10.7513    6.0211     -15.3419
10.5976    6.0002     -15.461
10.2936    5.9926     -15.637
10.1194    6.0206     -15.6704
9.9261     6.0604     -15.6657
9.7919     6.0999     -15.6804
9.6574     6.1601     -15.6728
9.4648     6.2094     -15.7172
9.3912     6.3123     -15.6624
9.273      6.4351     -15.6338
9.2119     6.5603     -15.5979
9.0763     6.6706     -15.6254
8.9512     6.7236     -15.766
8.8741     6.7806     -15.8098
8.7744     6.8395     -15.8124
8.5764     6.9013     -15.89
8.546      7.0127     -15.8294
8.448      7.1421     -15.7976
8.454      7.2442     -15.6641
8.4472     7.3159     -15.4963
8.4728     7.3737     -15.3809
8.4552     7.414      -15.2558
8.4299     7.4383     -15.1307
8.4524     7.498      -14.9743
8.3784     7.5085     -14.8202
8.3551     7.541      -14.7148
8.4112     7.5691     -14.6494
8.3316     7.5366     -14.5261
8.3406     7.5339     -14.4364























































































































































6.3933     9.3638     -13.2666   LORBIT
6.2612     9.5161     -13.2807
6.0961     9.7102     -13.3025
5.9841     9.8581     -13.3436
5.9257     10.0215    -13.385
5.8609     10.1827    -13.4574
5.8232     10.3595    -13.5515
5.7963     10.5218    -13.6574
5.7693     10.6838    -13.7851
5.7818     10.8547    -13.9453
5.7909     10.9794    -14.1446
5.785      11.0559    -14.2918
5.811      11.1159    -14.5532
5.8072     11.094     -14.737
5.8063     11.0331    -14.944
5.7296     10.9235    -15.1118
5.6731     10.7983    -15.3274
5.6764     10.6339    -15.4593
5.6619     10.5172    -15.5601
5.7224     10.3595    -15.6214
5.7334     10.1442    -15.7469
5.7519     9.9985     -15.8064
5.8347     9.8011     -15.7963
5.9046     9.5574     -15.8256
6.0025     9.4565     -15.7818
6.0781     9.3624     -15.7519
6.1669     9.2581     -15.7557
6.2639     9.1657     -15.7484
6.3865     9.0381     -15.708
6.4659     8.8972     -15.7269
6.6205     8.8013     -15.7691
6.6851     8.7162     -15.8087
6.9567     8.5713     -15.7876
7.046      8.515      -15.7913
7.1167     8.4175     -15.8019
7.1947     8.3554     -15.6995
7.1897     8.2316     -15.5481
7.2528     8.1971     -15.3936
7.2884     8.22       -15.2403
7.3658     8.1819     -15.0585
7.4271     8.2011     -14.8961
7.4636     8.2237     -14.769
7.4701     8.2092     -14.6591
7.4527     8.3005     -14.4535




























































































































































9999       9999       9999       RTEMFOS







































































































































































































5.8143     11.9798    -14.7966   LTEMFOS
5.7591     11.9982    -14.6322
5.6852     12.0109    -14.4466
5.6528     12.0264    -14.3311
5.5857     12.0181    -14.1401
5.5276     11.9481    -13.9584
5.4913     11.9008    -13.7684
5.4602     11.8489    -13.6215
5.4287     11.809     -13.4625
5.414      11.7631    -13.369
5.3932     11.7077    -13.2495
5.3395     11.68      -13.0935
5.3005     11.5909    -12.9471
