KNM        WT 17435   Too23stv






































































































































































9999       9999       9999       OP
9999       9999       9999       BA
13.4898    14.7482    8.5824     ST
15.737     18.5541    7.5364     IV
6.7039     12.261     9.284      R_PG
6.1877     15.2979    8.0943     R_ZTI
11.3058    16.7804    10.1124    R_M3D
12.6229    19.6299    9.0362     R_M12
14.5543    20.9242    7.3403     R_MP3
9999       9999       9999       R_PMI
9999       9999       9999       L_PG
9999       9999       9999       L_ZTI
15.7277    14.2198    10.0316    L_M3D
17.6712    16.6145    9.1611     L_M12
18.2496    19.1508    7.9503     L_MP3
9999       9999       9999       L_PMI
17.8669    19.1979    6.9452     O1
13.6376    12.5157    3.647      O2
5.5557     14.3522    7.0871     O3
6.5645     8.9107     8.6292     O4




















































































































































































10.0868    18.4233    7.6126     RZYGINF
9.8516     18.372     7.5121
9.7067     18.2998    7.4725
9.5496     18.2071    7.4424
9.3215     18.1393    7.3533
9.0092     18.0842    7.246
8.7321     18.1999    7.2087
8.5039     18.4011    7.2426
8.3393     18.5373    7.2557
8.2058     18.506     7.2633
7.9998     18.3075    7.3135
7.8195     18.1678    7.353
7.6205     18.0057    7.3748
7.4935     17.7742    7.4322
7.3482     17.5171    7.5082
7.2269     17.3782    7.5884
7.0857     17.2344    7.6613
6.9898     17.0086    7.7746
6.9038     16.7927    7.8681
6.7645     16.6059    7.8849
6.7036     16.4667    7.9127
6.6332     16.3243    7.9641
6.5313     16.0849    7.9931
6.4344     15.8577    8.03
6.2869     15.6887    8.0287
6.2324     15.5739    8.0078
6.1602     15.4075    8.0362
6.1032     15.2913    8.0586












































































































































































9999       9999       9999       LZYGINF







































































































































































































11.2556    16.9141    10.0514    R-ALV
11.2335    17.259     9.8374
11.2744    17.4233    9.738
11.3753    17.6409    9.6421
11.4685    17.8986    9.5704
