NMNH       268888     Rpr2stv
-0.0518    13.1922    5.1742     IN
-0.217     10.388     8.032      BR
-0.2056    4.6191     5.9097     GL
-0.2405    4.5819     5.2864     NA
-0.2574    4.571      4.6879     RH
-0.3393    3.5005     3.0357     NS
-0.4573    3.237      2.5737     PR
-1.0096    3.3645     2.5857     R_PR2
-0.4437    4.65       5.1627     R_PMS
-3.2282    5.5915     2.828      R_ZMI
-2.397     4.9322     4.0605     R_ZMU
-0.8938    4.961      5.2692     R_DA
-2.1654    5.2097     6.3738     R_MTI
-2.1181    5.3553     6.6553     R_MTS
-3.419     5.4717     5.224      R_FMO
-3.6794    6.0091     5.6244     R_FMT
-3.3376    10.2666    3.6892     R_PO
-4.021     6.6743     3.5439     R_ZTS
0.1431     3.3357     2.507      L_PR2
-0.2199    4.5968     5.2725     L_PMS
2.5512     5.3689     2.8828     L_ZMI
1.7422     4.8775     4.0189     L_ZMU
0.4207     5.0239     5.2994     L_DA
1.6882     5.1107     6.3713     L_MTI
1.6373     5.2667     6.6211     L_MTS
2.872      5.3916     5.189      L_FMO
3.13       5.9168     5.6716     L_FMT
3.0996     10.1615    3.7984     L_PO
3.5746     6.5859     3.4554     L_ZTS
-0.0785    2.9404     2.1681     O1
2.5041     6.3612     6.137      O2
-4.3048    8.6512     3.395      O3
-1.3592    13.0875    5.6308     O4







































































































































































-0.2358    4.6232     5.9194     GLRH
-0.2603    4.5935     5.7047
-0.2497    4.6101     5.52
-0.2483    4.5853     5.34
-0.2511    4.5734     5.1532
-0.2572    4.5621     5.0319
-0.2425    4.5426     4.8866
-0.2577    4.5384     4.7989
-0.269     4.5565     4.7058































































































































































































-0.2576    4.5682     4.6709     NOSE
-0.5589    4.6559     4.663
-0.7238    4.6854     4.4425
-0.8154    4.6625     4.2443
-0.8515    4.6239     4.1007
-0.9323    4.4968     3.8849
-0.9516    4.3052     3.6662
-0.836     4.1366     3.4994
-0.7411    3.9048     3.3624
-0.6113    3.7759     3.2732
-0.4813    3.6239     3.1345
-0.3647    3.542      3.056
-0.1747    3.6747     3.145
-0.0724    3.7452     3.2191
0.0352     3.8613     3.2886
0.1467     3.9772     3.3825
0.3054     4.0718     3.4623
0.4047     4.2073     3.5906
0.4637     4.368      3.7512
0.5093     4.4665     3.9082
0.4537     4.5726     4.1709
0.3177     4.6432     4.341
0.203      4.6689     4.5157
0.1512     4.606      4.674
0.0047     4.5848     4.6947
-0.2455    4.5883     4.6869














































































































































































-0.3361    3.5332     3.0536     NASP-PR
-0.3908    3.3312     2.9547
-0.3923    3.2356     2.7984
-0.3831    3.223      2.7205
-0.3751    3.2237     2.6696
-0.428     3.2453     2.554


































































































































































































-0.4356    4.6423     5.1819     R-PM/MAX
-0.5971    4.6796     5.0413
-0.7519    4.7073     4.8624
-0.8953    4.7222     4.6913
-1.005     4.7199     4.5185
-1.1057    4.6977     4.3127
-1.1921    4.6941     4.1441
-1.2605    4.6055     3.9419
-1.2396    4.4745     3.7224
-1.2618    4.3339     3.5594
-1.2657    4.2233     3.4334
-1.2776    4.0987     3.2605
-1.303     3.9563     3.1246
-1.3099    3.8484     3.0107
-1.339     3.7522     2.8482
-1.3915    3.7207     2.6914
-1.3724    3.683      2.5956
-1.3592    3.6571     2.4789






















































































































































































-0.0491    4.5774     5.2355     L-PM/MAX
0.124      4.6375     5.1556
0.2507     4.653      5.016
0.3646     4.6782     4.8855
0.4482     4.6793     4.7514
0.5367     4.695      4.5702
0.6146     4.6776     4.4013
0.7025     4.648      4.2232
0.8009     4.5852     4.0045
0.7954     4.4908     3.8075
0.7616     4.3579     3.6212
0.7556     4.2404     3.3509
0.7243     4.0693     3.1905
0.6976     3.9185     3.0411
0.7009     3.8152     2.869
0.731      3.7542     2.7216
0.7501     3.674      2.5698
0.7237     3.6592     2.497
0.6882     3.6462     2.4081










































































