AMNH       169432     Phu1Tosi6
16.7899    18.9302    18.0844    IN
13.086     14.6794    19.8172    BR
9.35       9.8083     18.1156    GL
9.2406     9.8469     17.5301    NA
6.5989     6.6183     10.5009    RH
5.3704     4.9824     6.7099     NS
5.4386     4.8759     4.9998     PR
4.7263     5.8311     5.0489     R_PR2
6.4092     7.934      11.0432    R_PMS
6.8882     13.3523    11.1012    R_ZMI
7.9099     11.5798    15.245     R_ZMU
9.1095     10.4019    16.4884    R_DA
7.7069     11.4502    17.7726    R_MTI
8.2424     11.8913    18.9362    R_MTS
7.1716     13.1193    16.489     R_FMO
6.7651     14.3674    16.5621    R_FMT
11.0492    19.071     15.3416    R_PO
6.6879     15.5352    13.0954    R_ZTS
6.4367     4.4456     5.127      L_PR2
7.861      6.6308     11.0361    L_PMS
13.2559    8.3743     11.1822    L_ZMI
11.3426    8.7437     15.2612    L_ZMU
9.9983     9.8323     16.4756    L_DA
11.4557    8.5525     17.7535    L_MTI
11.7275    9.115      18.8839    L_MTS
12.9973    8.4209     16.5358    L_FMO
14.3415    8.5212     16.5728    L_FMT
17.9903    13.6886    15.2211    L_PO
15.2622    8.4069     13.0874    L_ZTS
4.6743     5.2432     4.9249     O1
9.3654     5.8744     9.5249     O2
7.8757     13.4646    17.8623    O3
17.5112    17.4036    16.8277    O4







































































































































































9.2843     9.8267     18.0027    GLRH
9.2816     9.8236     17.8425
9.2752     9.8487     17.7243
9.2632     9.8316     17.5376
9.2567     9.82       17.3935
9.2894     9.8195     17.2489
9.3148     9.8214     17.0955
9.3188     9.8356     16.9222
9.3594     9.8341     16.7614
9.3485     9.8418     16.5591
9.3383     9.8144     16.3467
9.3424     9.7679     16.2207
9.2673     9.7217     16.0155
9.2167     9.6531     15.8178
9.1751     9.6045     15.6631
9.2085     9.5392     15.5985
9.0235     9.4089     15.2978
8.8963     9.261      15.0804
8.7527     9.0669     14.8178
8.6805     8.9737     14.7266
8.6233     8.8611     14.597
8.5014     8.8286     14.4651
8.4443     8.7114     14.3238
8.3891     8.63       14.1733
8.3243     8.5731     14.0548
8.2218     8.4374     13.8911
8.1688     8.3663     13.7511
8.0471     8.2407     13.5334
7.9703     8.1681     13.4207
7.8375     8.0529     13.2161
7.761      7.9657     13.0901
7.6571     7.8149     12.9335
7.5754     7.7282     12.7899
7.4961     7.6239     12.6417
7.4248     7.5031     12.4989
7.3262     7.4631     12.3565
7.2335     7.3728     12.197
7.1792     7.2924     12.0741
7.1144     7.2423     11.9362
7.0835     7.1967     11.841
7.0555     7.1152     11.7017
6.9541     7.0286     11.5262
6.9028     6.9842     11.4017
6.8188     6.9434     11.2545
6.7837     6.8861     11.1237
6.7298     6.8424     10.9931
6.6838     6.7744     10.8426
6.6467     6.7151     10.7204
6.6068     6.6792     10.6295
6.5977     6.6551     10.5038






















































































































































6.5781     6.6455     10.433     NOSE
6.4871     6.8578     10.4045
6.285      7.0315     10.3295
6.1583     7.1815     10.2316
5.9966     7.2719     10.0669
5.9007     7.2494     9.824
5.7955     7.2061     9.6173
5.7002     7.1746     9.5283
5.602      7.1399     9.3222
5.4898     7.0973     9.0878
5.423      7.0544     8.8827
5.2836     6.964      8.5971
5.2656     6.899      8.4701
5.1899     6.8446     8.239
5.1651     6.7438     8.0539
5.0792     6.5771     7.8539
4.9968     6.4471     7.6956
4.9456     6.2519     7.5335
4.9085     6.0589     7.422
4.8887     5.9181     7.3563
4.9222     5.6588     7.2663
5.0405     5.4492     7.1365
5.0668     5.2741     7.0166
5.1316     5.161      6.8665
5.2613     5.0787     6.6958
5.3349     4.99       6.6628
5.4532     4.9008     6.6974
5.5216     4.7464     6.9037
5.5848     4.6623     7.0293
5.752      4.6479     7.1939
5.8919     4.67       7.2778
6.0872     4.6507     7.3916
6.2778     4.6922     7.4544
6.5348     4.7523     7.6262
6.7003     4.7669     7.7137
6.8652     4.8833     7.9201
6.9937     4.947      8.1915
7.1025     5.057      8.4269
7.2025     5.1661     8.6626
7.2673     5.3223     8.8798
7.3263     5.4263     9.0904
7.3682     5.5586     9.2758
7.3769     5.6574     9.4856
7.4328     5.9461     9.7455
7.3206     6.1014     9.9985
7.2983     6.2247     10.0918
7.1075     6.3481     10.3294
6.9712     6.4064     10.3812
6.927      6.4287     10.4075
6.8229     6.5126     10.4685
6.7089     6.5492     10.5583
6.6255     6.5973     10.5101




















































































































































5.3719     4.9762     6.6905     NASP-PR
5.3185     4.9018     6.5583
5.3141     4.8467     6.4369
5.2759     4.8185     6.3266
5.2877     4.7582     6.2184
5.2609     4.7704     6.0173
5.2805     4.7445     5.8802
5.3016     4.765      5.7671
5.288      4.7784     5.6325
5.3259     4.7949     5.5101
5.3362     4.806      5.3356
5.3536     4.8158     5.1966
5.4154     4.8759     5.0117



























































































































































































6.3886     7.9199     11.0002    R-PM/MAX
6.2321     7.799      10.7741
6.1412     7.7448     10.6186
6.0451     7.7199     10.414
5.9598     7.6443     10.2463
5.7761     7.5467     10.0323
5.6506     7.4677     9.8065
5.5184     7.4209     9.5877
5.4213     7.3882     9.39
5.3451     7.3391     9.14
5.2951     7.3113     8.911
5.2522     7.2978     8.7624
5.1747     7.2647     8.513
5.0467     7.2323     8.0998
4.9427     7.207      7.7976
4.8669     7.1927     7.4352
4.758      7.1838     7.128
4.647      7.1407     6.8337
4.592      7.2162     6.5962
4.6299     7.2953     6.3385
4.7424     7.3193     6.118



















































































































































































7.8314     6.6082     11.0223    L-PM/MAX
7.8298     6.5658     10.8752
7.8278     6.4835     10.7324
7.8073     6.3879     10.5937
7.7889     6.2814     10.451
7.7788     6.1865     10.317
7.7612     6.0847     10.162
7.7492     5.9946     10.0568
7.7376     5.8569     9.8772
7.7249     5.7168     9.7092
7.7234     5.6247     9.5345
7.7105     5.5608     9.4194
7.6831     5.4648     9.2362
7.6502     5.366      8.9998
7.6269     5.2937     8.81
7.6224     5.2254     8.576
7.5905     5.1738     8.3734
7.611      5.1034     8.1411
7.5907     5.0099     7.8533
7.5698     4.9504     7.6253
7.5601     4.865      7.4279
7.6        4.761      7.2232
7.665      4.6867     7.0364
7.7241     4.6244     6.8577
7.7786     4.6283     6.6332
7.7903     4.7581     6.3911














































































































































































6.9199     11.2136    7.5061     ROSTRUM
6.7649     11.2438    7.6653
6.7097     11.2101    7.8083
6.655      11.1042    7.9528
6.6683     11.1158    8.0961
6.6447     11.0527    8.2713
6.6433     10.9816    8.4179
6.6485     10.8682    8.5744
6.6705     10.7531    8.7216
6.7156     10.6419    8.889
6.7288     10.4755    9.1189
6.7127     10.428     9.2901
