FSM        16653      Phq9stv
-0.2939    21.0147    12.9271    IN
0.0032     16.5614    15.7515    BR
0.2023     10.4485    14.7479    GL
0.2175     10.415     14.4044    NA
0.404      5.9504     9.6814     RH
0.3666     3.5823     6.5846     NS
0.4543     3.0915     5.1967     PR
-0.5304    3.1799     5.6281     R_PR2
-0.3049    6.8473     10.1881    R_PMS
-3.6984    10.2226    9.2831     R_ZMI
-1.5595    10.427     12.2081    R_ZMU
-0.0911    10.522     13.3815    R_DA
-1.7723    10.5285    14.5725    R_MTI
-1.517     11.1908    15.3633    R_MTS
-3.0617    11.0683    13.2924    R_FMO
-3.8545    11.7441    13.6792    R_FMT
-4.354     17.1369    11.4294    R_PO
-5.2295    11.9052    10.6209    R_ZTS
1.371      3.3775     5.6291     L_PR2
1.1233     6.7318     10.1484    L_PMS
4.0945     10.4445    9.4296     L_ZMI
2.2492     10.7289    12.25      L_ZMU
0.7641     10.5964    13.1648    L_DA
2.122      10.6835    14.5697    L_MTI
2.1436     11.3601    15.375     L_MTS
3.6795     11.4609    13.4887    L_FMO
4.4322     12.0699    13.4976    L_FMT
3.8962     17.5465    11.3178    L_PO
5.5014     12.3816    10.6542    L_ZTS
0.9304     2.8289     5.2942     O1
-3.2167    11.9515    14.4456    O2
5.8867     14.1181    10.5474    O3
-0.9595    20.7464    12.8812    O4







































































































































































0.2591     10.428     14.7121    GLRH
0.2569     10.4262    14.5401
0.2886     10.3854    14.3499
0.2913     10.3421    14.0952
0.3182     10.274     13.7212
0.3338     10.2254    13.4738
0.2814     10.1877    13.2754
0.3179     10.0997    13.057
0.3169     9.9664     12.7767
0.3032     9.8733     12.5926
0.3478     9.761      12.3936
0.3686     9.6232     12.2499
0.3474     9.4398     12.0283
0.3566     9.1843     11.8271
0.3492     9.0135     11.665
0.3715     8.8165     11.5173
0.3897     8.6118     11.4128
0.362      8.2386     11.1817
0.3362     7.8934     11.0096
0.3667     7.6794     10.8984
0.3299     7.4243     10.787
0.2787     7.1342     10.6413
0.3056     6.7545     10.4481
0.3342     6.5888     10.3633
0.3664     6.3967     10.2233
0.392      6.2673     10.1034
0.362      6.1681     10.0044
0.3995     5.9899     9.8365
0.4077     5.9343     9.7262











































































































































































0.3736     5.9315     9.7348     NOSE
0.0537     5.819      9.7189
-0.1272    5.6869     9.5506
-0.3262    5.6028     9.4263
-0.4216    5.45       9.2175
-0.5158    5.2475     9.0506
-0.5808    5.0819     8.825
-0.6233    4.8608     8.6062
-0.6941    4.6032     8.3334
-0.6815    4.3939     8.0614
-0.6357    4.1617     7.7395
-0.6014    4.0099     7.5223
-0.5112    3.8406     7.3531
-0.4066    3.7423     7.2679
-0.2879    3.6911     7.1711
-0.1009    3.5641     7.0388
0.0489     3.5479     6.9339
0.1787     3.5356     6.7612
0.3226     3.5072     6.5897
0.4506     3.558      6.6276
0.6091     3.5532     6.7014
0.7524     3.5699     6.9268
0.8043     3.682      7.0899
0.9954     3.7706     7.2307
1.1159     3.9422     7.362
1.2033     4.091      7.5255
