UCMVZ      117249     Phu41stv
18.628     17.2457    12.7188    IN
15.8876    14.0544    15.5443    BR
11.9185    9.7871     13.3018    GL
11.9304    9.7808     13.1278    NA
9.8248     7.7038     8.8503     RH
8.6897     6.5483     5.9931     NS
8.5311     6.3844     5.3416     PR
7.9385     7.2719     5.4325     R_PR2
10.5166    9.0482     10.0668    R_PMS
9.7149     12.8284    8.6248     R_ZMI
10.9141    11.5525    11.1069    R_ZMU
11.7814    10.2582    12.1871    R_DA
10.93      10.9822    13.594     R_MTI
11.8839    11.3837    14.6817    R_MTS
10.3053    12.604     12.5507    R_FMO
10.2884    13.4162    12.4527    R_FMT
13.3765    17.2399    10.8698    R_PO
9.9716     14.1984    10.003     R_ZTS
9.4812     5.9446     5.344      L_PR2
11.2852    8.4002     9.9376     L_PMS
14.8959    8.2758     8.3984     L_ZMI
13.7969    8.9576     11.0122    L_ZMU
12.4255    9.7921     12.1418    L_DA
13.4162    8.8689     13.429     L_MTI
13.6789    9.7209     14.5392    L_MTS
14.9655    8.5012     12.2344    L_FMO
15.7254    8.7554     12.4698    L_FMT
19.0663    12.2795    10.6293    L_PO
16.472     8.816      9.4074     L_ZTS
9.6657     5.9735     5.9293     O1
9.2519     13.2593    9.5151     O2
15.1296    9.5458     14.0139    O3
19.6757    15.7       11.9262    O4







































































































































































11.9147    9.7466     13.3011    GLRH
11.9037    9.7563     13.1167
11.8817    9.7664     12.9441
11.9142    9.7286     12.7827
11.8845    9.7077     12.6325
11.8775    9.6834     12.4665
11.8369    9.6419     12.299
11.7731    9.6414     12.1531
11.7551    9.5838     12.0329
11.7125    9.5394     11.8933
11.6448    9.4807     11.7722
11.5782    9.412      11.6328
11.533     9.3776     11.5297
11.4743    9.3271     11.4351
11.4115    9.2587     11.3108
11.3906    9.2107     11.1998
11.2869    9.1648     11.0742
11.2226    9.1149     10.981
11.1928    9.009      10.8834
11.1113    8.9633     10.7599
11.0476    8.8952     10.6521
10.9712    8.7814     10.5031
10.9018    8.6926     10.3887
10.8119    8.6025     10.2649
10.7253    8.5569     10.1568
10.6252    8.4898     10.0305
10.5705    8.4066     9.9243
10.5072    8.3178     9.7986
10.4121    8.2104     9.6658
10.3222    8.1121     9.5135
10.2686    8.0431     9.4461
10.2039    7.9748     9.3648
10.1226    7.9156     9.2498
10.0455    7.8405     9.1724
9.9909     7.7795     9.0656
9.9133     7.7354     8.9653
9.8551     7.6586     8.9032



































































































































































9.8519     7.6048     8.8663     NOSE
9.7394     7.7552     8.8332
9.5398     7.8663     8.7048
9.466      7.9778     8.5596
9.3358     8.058      8.4708
9.2064     8.0629     8.3105
9.0908     8.0276     8.124
8.9299     8.0038     7.9104
8.8477     8.0043     7.7248
8.761      7.9188     7.6069
8.6738     7.838      7.4629
8.6145     7.756      7.3403
8.5384     7.6234     7.2169
8.4808     7.4821     7.1286
8.4389     7.3364     7.0478
8.337      7.1962     6.9281
8.3174     7.1085     6.8401
8.26       6.9558     6.6823
8.2848     6.8926     6.5609
8.3263     6.7924     6.4049
8.3736     6.6988     6.2973
8.4592     6.6112     6.1459
8.5444     6.5634     6.0527
8.662      6.5204     5.9735
8.7415     6.3663     6.0956
8.8658     6.2255     6.3096
8.9999     6.3348     6.4574
9.1074     6.2735     6.6233
9.199      6.2394     6.7438
9.2957     6.2945     6.8616
9.4294     6.2628     6.9663
9.565      6.2395     7.0038
9.6965     6.3326     7.0742
9.8669     6.3577     7.1515
9.9621     6.3718     7.2308
10.0269    6.3817     7.3275
10.1196    6.4527     7.4527
10.1697    6.5414     7.5739
10.2113    6.6429     7.6715
10.2904    6.6953     7.7995
10.31      6.863      7.9795
10.3003    6.961      8.1019
10.3058    7.0831     8.2696
10.319     7.1267     8.3852
10.3116    7.3013     8.4907
10.2918    7.3267     8.6276
10.0942    7.4142     8.7024
10.02      7.5343     8.8388
9.9276     7.6175     8.8856
9.8458     7.6468     8.8422






















































































































































8.6579     6.5262     5.9728     NASP-PR
8.5851     6.4541     5.8349
8.55       6.425      5.6731
8.5538     6.4163     5.5981
8.5754     6.3737     5.3677



































































































































































































10.4971    9.0715     10.058     R-PM/MAX
10.3917    8.9797     9.926
10.2798    8.8823     9.8055
10.1973    8.8411     9.698
10.0867    8.8075     9.5513
9.9988     8.7453     9.4892
9.8713     8.717      9.3734
9.818      8.6534     9.2927
9.6885     8.5856     9.1312
9.6004     8.5277     8.9886
9.5165     8.4808     8.8597
9.3938     8.4992     8.6877
9.261      8.4634     8.5386
9.1374     8.402      8.4164
9.0212     8.3682     8.2809
8.9271     8.3248     8.1468
8.826      8.2634     7.9644
8.7112     8.2119     7.8132
8.642      8.1898     7.6792
8.56       8.1904     7.4252
8.4954     8.1916     7.2695
8.4585     8.1808     7.1318
8.4314     8.2285     7.0207
8.3916     8.2905     6.9137
8.3094     8.3207     6.7624
8.2481     8.3944     6.6181
8.201      8.4266     6.4658
8.1381     8.3832     6.3215
8.0769     8.381      6.0883
8.0533     8.347      5.9487
8.0794     8.3239     5.7408
8.1759     8.293      5.547
8.274      8.2266     5.4511







































































































































































11.2802    8.3853     9.9071     L-PM/MAX
11.2232    8.2441     9.7767
11.1484    8.1297     9.648
11.0743    8.0138     9.4915
10.9825    7.8814     9.3636
10.9541    7.7908     9.2594
10.899     7.7013     9.1677
10.8787    7.5975     9.0645
10.8439    7.5271     8.9045
10.7882    7.4047     8.791
10.777     7.3627     8.7001
10.7627    7.2887     8.5982
10.7472    7.2095     8.5143
10.6967    7.1017     8.4023
10.6686    7.0081     8.2562
10.6483    6.9448     8.1753
10.6052    6.8223     8.0418
10.5854    6.751      7.9299
10.5487    6.6654     7.7451
10.5098    6.5923     7.5418
10.5057    6.5481     7.3951
10.4926    6.4734     7.1994
10.515     6.4195     7.0142
10.5131    6.3744     6.8599
10.5705    6.3062     6.6942
10.6052    6.2515     6.5597
10.61      6.1984     6.3715
10.6177    6.1586     6.212
10.5822    6.1413     6.0609
10.5663    6.0835     5.8388
10.5414    6.098      5.7179
10.5246    6.1908     5.5951








































































































































































9.6813     11.0827    6.5042     ROSTRUM
9.6538     10.9972    6.8287
9.6014     10.8575    7.1206
9.6891     10.7485    7.2471
9.7928     10.7211    7.3587
9.8886     10.5139    7.5388
9.9013     10.3675    7.7358
9.8762     10.2736    7.9986
9.8352     10.1799    8.2093
9.7973     10.102     8.4257
9.7462     10.1278    8.5843
9.6488     10.1373    8.8248
9.6501     10.0948    9.032
9.7291     9.9265     9.2782
9.7868     9.7738     9.3492
9.9189     9.5749     9.413
10.0044    9.3869     9.5615
10.1627    9.2236     9.6541
10.2648    9.0385     9.7675
10.3639    8.9534     9.8943
10.4453    8.7556     10.0398
10.5766    8.5223     10.0659
10.7721    8.3453     9.9237
11.0198    8.2506     9.8069
11.2023    8.1793     9.6502
11.3991    8.0416     9.4668
11.5879    7.9387     9.3531
11.8947    7.741      9.1945
12.1261    7.6527     8.9926
12.2105    7.7034     8.6045
12.1922    7.7909     8.2182
12.2546    7.7927     7.9013
12.3979    7.85       7.7278
12.5065    7.888      7.5768
12.6468    7.8937     7.4103
12.8122    7.8939     7.3167
12.9679    7.874      7.2309
13.1694    7.9375     6.9513
13.29      8.0137     6.8626
13.3875    8.0315     6.7251
































































































































































10.4791    13.3453    12.7365    SUPORB
10.4159    13.2281    13.1736
10.4662    12.9369    13.6001
10.5763    12.7161    13.8137
10.7013    12.4898    13.9925
10.811     12.3252    14.1104
10.8888    12.1558    14.1826
11.0561    12.0245    14.2911
11.1885    11.8153    14.3822
11.3212    11.6967    14.449
11.525     11.6361    14.5736
11.7716    11.5159    14.6818
11.9409    11.4741    14.7413
12.0605    11.2584    14.7234
12.1054    11.0772    14.6736
12.1414    10.7678    14.5449
12.1095    10.5533    14.4549
12.0646    10.3883    14.327
11.9943    10.1433    14.1863
12.0861    9.9754     14.1162
12.2105    9.8576     14.104
12.4088    9.8106     14.2066
12.5831    9.8792     14.3074
12.7497    9.8833     14.4172
12.88      9.9111     14.492
13.0377    9.9747     14.5605
13.2285    9.9728     14.6159
13.4419    9.9533     14.6244
13.7346    9.8473     14.6062
13.8656    9.6576     14.5243
14.0049    9.3936     14.3768
14.082     9.2431     14.253
14.1698    9.1031     14.1579
14.2612    8.9889     14.063
14.509     8.8547     13.9103
14.671     8.8581     13.8539
14.977     8.8902     13.7286
15.2354    8.8772     13.5715
15.3973    8.8005     13.397
15.5679    8.7452     13.0925
15.6557    8.7262     12.864
15.7697    8.7692     12.5352
15.7676    8.7153     12.2643





























































































































































10.7676    11.5118    11.0944    RORBIT
10.6796    11.6426    11.1664
10.559     11.7899    11.2585
10.5209    11.9451    11.3736
10.4201    12.0774    11.5146
10.4047    12.2242    11.667
10.3593    12.3483    11.8123
10.3452    12.4609    12.0361
10.3202    12.5643    12.2959
10.3248    12.5826    12.5247
10.3491    12.5957    12.6885
10.3441    12.5045    12.9495
10.2931    12.3487    13.2028
10.3641    12.1029    13.4173
10.4199    11.9007    13.5198
10.5127    11.6975    13.5761
10.5815    11.5489    13.5755
10.6939    11.2586    13.6758
10.8307    11.0996    13.6149
10.9876    10.9556    13.595
11.2495    10.8299    13.5487
11.4132    10.7322    13.5329
11.568     10.5487    13.5617
11.7007    10.33      13.4048
11.769     10.2958    13.2136
11.8084    10.2602    13.0347
11.8441    10.2422    12.7729
11.8562    10.2059    12.6055
11.8496    10.2391    12.4431
11.7929    10.2142    12.209










































































































































































13.8103    8.8854     11.0186    LORBIT
14.0048    8.7949     11.0875
14.198     8.7327     11.2067
14.353     8.6684     11.3571
14.4855    8.6464     11.4587
14.7023    8.5395     11.6824
14.8214    8.6023     11.9041
14.9036    8.5392     12.1454
14.9282    8.5874     12.3532
14.9482    8.5923     12.5935
14.8478    8.4695     12.9187
14.7264    8.4549     13.1259
14.5326    8.5958     13.1889
14.3272    8.5327     13.3115
14.1592    8.5187     13.4255
13.965     8.5463     13.4855
13.8322    8.6234     13.4658
13.5716    8.709      13.4834
13.4359    8.8489     13.4268
13.2639    9.0106     13.427
13.0359    9.2622     13.4476
12.7564    9.4455     13.491
12.5732    9.5412     13.4098
12.4562    9.6404     13.2218
12.4127    9.7572     12.8333
12.4115    9.793      12.6702
12.4106    9.8181     12.5232
12.3794    9.8194     12.388
12.4049    9.8124     12.2697
12.4565    9.8105     12.1974










































































































































































10.2682    13.3845    12.3819    RTEMFOS
10.2329    13.4075    12.1351
10.1826    13.3832    11.9546
10.1167    13.3819    11.8398
10.0862    13.3503    11.7157
10.0557    13.3361    11.623
10.031     13.3281    11.4719
9.9764     13.3246    11.3425
9.903      13.2658    11.204
9.8732     13.2457    11.0581
9.8211     13.2121    10.8859
9.7866     13.1995    10.6583
9.7134     13.1872    10.558
9.6903     13.2219    10.3872
9.632      13.2709    10.2018
9.6058     13.4673    9.9995
9.6369     13.6371    9.9327
9.7087     13.8037    9.9174
9.7647     13.9705    9.9295
9.861      14.0845    9.9594
9.9682     14.2437    10.0172



















































































































































































15.7336    8.7781     12.5721    LTEMFOS
15.7641    8.7326     12.3577
15.7947    8.6819     12.1645
15.7704    8.624      12.0043
15.7661    8.5937     11.8404
15.7387    8.5545     11.695
15.7407    8.5592     11.5122
15.7096    8.4875     11.3212
15.6902    8.4754     11.1489
15.6756    8.4577     10.9331
15.6554    8.4353     10.782
15.6225    8.3728     10.5707
15.6003    8.3249     10.3972
15.6123    8.2795     10.242
15.6287    8.2647     10.0802
15.6709    8.2624     9.8717
15.7519    8.2812     9.6645
15.9426    8.2996     9.3717
16.0878    8.4013     9.2427
16.1924    8.5643     9.2638
16.3179    8.6636     9.2759
16.3873    8.7491     9.3515
16.459     8.8158     9.3881

















































































































































































10.2801    6.6561     12.3951    OP
11.683     8.2836     12.3582    BA
14.3597    11.6421    12.0172    ST
17.4746    15.5774    12.0674    IV
8.8135     10.6573    11.8236    R_PG
9.2407     12.9654    11.0754    R_ZTI
12.8555    12.8659    12.4758    R_M3D
14.208     15.2582    12.8607    R_M12
15.9875    16.9372    12.8207    R_MP3
16.8949    17.353     12.7868    R_PMI
14.6618    5.92       12.0078    L_PG
16.6733    6.8259     11.312     L_ZTI
15.8791    10.4235    12.5235    L_M3D
17.9132    12.3188    12.7059    L_M12
19.0372    14.7108    12.8518    L_MP3
19.2805    15.5195    12.8116    L_PMI
19.3473    16.2809    12.0462    O1
11.3835    14.7784    10.4411    O2
15.2516    8.5966     6.3352     O3
10.508     3.9583     10.6988    O4




















































































































































































12.0188    14.4141    11.2988    RZYGINF
11.7643    14.2886    11.1868
11.5536    14.1897    11.1038
11.4197    14.184     11.0852
11.203     14.2835    11.1415
11.0474    14.1675    11.2314
10.8462    14.0087    11.3165
10.6054    13.786     11.3808
10.4823    13.6991    11.3979
10.3203    13.5878    11.4122
10.173     13.4724    11.3918
10.03      13.4819    11.3492
9.8407     13.4593    11.2866
9.6594     13.3259    11.229
9.4784     13.1971    11.1873
9.3464     13.1146    11.1443
9.2018     12.9847    11.0901
9.114      12.9308    11.0193






















































































































































































9999       9999       9999       LZYGINF







































































































































































































12.8302    12.9639    12.531     R-ALV
12.8398    13.2415    12.506
12.8955    13.4596    12.5918
12.9532    13.6644    12.5988
13.0374    13.8772    12.665
13.1899    14.1051    12.728
13.2959    14.2307    12.7612
13.4225    14.4028    12.8211
13.5675    14.6007    12.8072
13.651     14.7427    12.8093
13.7639    14.8879    12.8312
14.001     15.0939    12.8711
14.2138    15.2061    12.8927
14.3304    15.3113    12.8961
14.4863    15.4168    12.9026
14.6184    15.5371    12.9145
14.7329    15.6581    12.9272
14.847     15.7647    12.8866
15.0496    15.865     12.8358
15.2099    15.9938    12.786
15.3219    16.1269    12.8061
15.4427    16.2555    12.7855
15.5457    16.3783    12.8022
15.6168    16.4957    12.8209
15.6945    16.6341    12.8654
15.7829    16.7235    12.8875
15.9068    16.8132    12.8997
16.0915    16.9394    12.8873












































































































































































15.9688    10.4794    12.4711    L-ALV
16.2162    10.5235    12.4385
16.5581    10.6667    12.3879
16.7106    10.7592    12.4519
16.9207    10.9416    12.4573
17.0602    11.0947    12.5063
17.139     11.1717    12.5409
17.199     11.2553    12.6006
17.3636    11.4211    12.5841
17.5538    11.6464    12.5691
17.7628    11.8394    12.6425
17.8938    12.1022    12.5484
17.9914    12.3353    12.6269
18.0874    12.5605    12.6245
18.1835    12.7661    12.6859
18.3701    12.9957    12.6672
18.3952    13.2439    12.6635
18.4122    13.3782    12.7077
18.4506    13.5737    12.7088
18.6199    13.9362    12.7082
18.8165    14.0853    12.7277
19.0238    14.2681    12.7389
19.141     14.5547    12.771
19.1758    14.6629    12.7562
