KNM        WT 18659   Too24stv
9999       9999       9999       IN
9999       9999       9999       BR
11.1505    13.7947    10.2509    GL
10.8692    13.4827    9.3294     NA
7.6686     9.7102     6.2795     RH
9999       9999       9999       NS
9999       9999       9999       PR
9999       9999       9999       R_PR2
8.2199     11.0635    6.608      R_PMS
7.5384     14.7816    3.7625     R_ZMI
9.1946     14.007     7.4176     R_ZMU
10.5638    13.846     8.3567     R_DA
9999       9999       9999       R_MTI
9999       9999       9999       R_MTS
9999       9999       9999       R_FMO
9999       9999       9999       R_FMT
9999       9999       9999       R_PO
9999       9999       9999       R_ZTS
9999       9999       9999       L_PR2
9.2487     10.2776    6.6966     L_PMS
13.4772    10.1925    4.1623     L_ZMI
11.8486    11.8535    7.9112     L_ZMU
11.5153    13.2352    8.5948     L_DA
9999       9999       9999       L_MTI
13.1663    13.0355    10.9917    L_MTS
9999       9999       9999       L_FMO
9999       9999       9999       L_FMT
9999       9999       9999       L_PO
9999       9999       9999       L_ZTS
8.098      7.5309     4.392      O1
7.3883     15.1427    4.7614     O2
14.783     13.0324    10.4699    O3
12.2616    17.3577    7.8127     O4







































































































































































11.1392    13.7774    10.2314    GLRH
11.0517    13.6634    9.9695
11.0172    13.5929    9.7201
10.9612    13.5462    9.5161
10.868     13.4678    9.339
10.8438    13.4114    9.0681
10.8007    13.2856    8.7882
10.7058    13.1844    8.5829
10.6243    13.0861    8.3983
10.541     12.9193    8.2121
10.4765    12.8037    8.0752
10.3845    12.6522    7.989
10.3143    12.5437    7.9084
10.2295    12.4239    7.7801
10.0835    12.2778    7.7077
9.9237     12.135     7.5723
9.7853     11.9197    7.4422
9.6483     11.7588    7.3219
9.508      11.616     7.2263
9.4002     11.4524    7.11
9.2805     11.3377    7.0458
9.0348     11.2536    6.9285
8.8923     11.0645    6.8047
8.761      10.8947    6.7443
8.6336     10.7271    6.692
8.4913     10.5463    6.6427
8.3568     10.3716    6.6508
8.1997     10.1849    6.6076
8.0962     10.0449    6.5756
7.9934     9.9065     6.5123
7.8513     9.7328     6.4284
7.7081     9.595      6.3327








































































































































































9999       9999       9999       NOSE







































































































































































































9999       9999       9999       NASP-PR







































































































































































































