AMNH       238034     Tg7stv
1.3898     3.9614     2.7983
1.353      3.9756     2.6396
1.37       3.9918     2.4969
1.5328     3.9403     2.3321














































































































































































4.1281     4.1415     5.4352     L-PM/MAX
4.1        4.0355     5.3089
4.0373     3.9478     5.2153
4.0002     3.8476     5.0985
3.9618     3.7406     4.982
3.9192     3.6354     4.8508
3.8934     3.5438     4.7392
3.8455     3.4732     4.6523
3.7914     3.4029     4.5518
3.7613     3.3222     4.4772
3.7374     3.2518     4.4067
3.6874     3.1653     4.3166
3.7164     3.1251     4.2617
3.8225     3.1263     4.2283
3.9035     3.119      4.1739
3.8963     3.0828     4.0763
3.8888     3.0242     3.9489
3.8679     2.9392     3.8321
3.8299     2.8947     3.741
3.829      2.814      3.6588
3.8342     2.7425     3.5265
3.8587     2.6381     3.3597
3.8652     2.5866     3.2422
3.8898     2.5367     3.1631
3.913      2.479      3.0533
3.8979     2.4066     2.961
3.8785     2.3071     2.8275
3.8733     2.2657     2.7238
3.8155     2.2057     2.5792
3.8303     2.2538     2.4394
3.7772     2.3825     2.2832









































































































































































2.6734     6.625      2.7262     ROSTRUM
2.6389     6.607      2.8435
2.6211     6.597      2.9881
2.6214     6.5885     3.1257
2.6634     6.5874     3.2197
2.7217     6.5072     3.356
2.7575     6.4306     3.4452
2.8253     6.3905     3.5306
2.9051     6.34       3.634
2.9728     6.3187     3.7308
3.0161     6.2504     3.8809
3.1052     6.2437     3.9722
3.1466     6.2082     4.1193
3.1476     6.1807     4.2594
3.1323     6.1419     4.4137
3.1219     6.1445     4.5171
3.121      6.0976     4.6984
3.1286     6.078      4.8781
3.1359     6.0051     5.0878
3.1552     5.9581     5.2367
3.1778     5.9228     5.3702
3.2042     5.9021     5.4922
3.2365     5.8046     5.6056
3.2972     5.755      5.7091
3.3657     5.6517     5.7952
3.449      5.586      5.9124
3.5483     5.5714     6.0348
3.6207     5.5223     6.1579
3.6872     5.4714     6.2518
3.7625     5.3999     6.332
3.8492     5.316      6.425
3.9348     5.2002     6.5306
4.0325     5.0927     6.5438
4.1101     5.0399     6.5931
4.1842     5.0482     6.5999
4.3078     4.9754     6.5515
4.3804     4.9022     6.4875
4.4817     4.859      6.415
4.5914     4.7993     6.2856
4.7118     4.724      6.1687
4.7655     4.6975     6.1018
4.8406     4.6415     5.9935
4.9269     4.6228     5.9346
5.0097     4.6061     5.8173
5.1201     4.5477     5.7511
5.2119     4.5508     5.6558
5.3055     4.5305     5.499
5.3526     4.531      5.3608
5.366      4.5186     5.2419
5.4131     4.5235     5.1533
5.4812     4.5189     4.9233
5.5155     4.5498     4.7017
5.5176     4.5415     4.5422
5.5461     4.5441     4.4202
5.5552     4.5492     4.2469
5.5785     4.5505     4.1297
5.6383     4.5419     3.9463
5.7256     4.4782     3.8362
5.8026     4.4504     3.7647
5.9009     4.402      3.6782
5.9669     4.3431     3.5815
6.0344     4.2848     3.4555
6.1231     4.2447     3.3506
6.1713     4.2341     3.2193
6.1547     4.2117     3.0732
6.1721     4.2362     2.9186
6.1551     4.2584     2.8189





































































































































3.097      8.9435     9.1818     SUPORB
3.1024     8.8676     9.3654
3.0576     8.7532     9.535
3.0151     8.6724     9.7086
3.0135     8.5715     9.8679
3.077      8.4939     9.9779
3.0761     8.3937     10.0589
3.1566     8.3322     10.1532
3.2069     8.226      10.2397
3.2535     8.1417     10.3245
3.1974     8.0184     10.3582
3.1487     7.8555     10.3765
3.1648     7.7483     10.3814
3.1421     7.6009     10.4156
3.1094     7.3651     10.4389
3.0804     7.2472     10.4608
3.0811     7.0961     10.4742
3.0958     6.9872     10.4721
3.1248     6.7916     10.474
3.1454     6.6143     10.4744
3.1747     6.5078     10.463
3.1994     6.3953     10.4462
3.2736     6.2131     10.4249
3.35       6.017      10.3868
3.4484     5.8717     10.3749
3.5528     5.6815     10.3419
3.6412     5.5365     10.2897
3.6971     5.4542     10.2597
3.7784     5.3496     10.2466
3.8498     5.2489     10.2224
3.9366     5.1927     10.2026
4.0136     5.1091     10.184
4.1098     5.0165     10.1748
4.3262     4.8426     10.1499
4.4307     4.8052     10.1719
4.5468     4.7858     10.1896
4.694      4.7062     10.2136
4.8184     4.6635     10.2525
4.9914     4.6637     10.271
5.1784     4.6089     10.2927
5.398      4.5172     10.3116
5.5527     4.4755     10.3235
5.7573     4.3984     10.351
5.9204     4.351      10.3753
6.0635     4.3107     10.36
6.2226     4.3163     10.3683
6.4305     4.3616     10.351
6.5848     4.3899     10.3512
6.7727     4.4788     10.3458
6.9554     4.5583     10.3239
7.1423     4.6752     10.2915
7.2876     4.7423     10.3016
7.5549     4.7909     10.1124
7.6753     4.8551     9.9734
7.7901     4.819      9.8244
7.8364     4.8104     9.7347
7.9118     4.8083     9.6439
7.9918     4.7674     9.4846
8.0528     4.7821     9.3258
8.1421     4.8124     9.1677
8.1799     4.9074     9.0267











































































































































3.2908     7.1365     7.5396     RORBIT
3.1679     7.2717     7.5916
3.0895     7.3912     7.6494
3.0249     7.5077     7.736
2.917      7.6797     7.8202
2.8863     7.8629     7.9574
2.8678     7.9575     8.0868
2.8542     8.0817     8.2281
2.8448     8.1638     8.3812
2.8749     8.1705     8.529
2.8811     8.1969     8.6286
2.8889     8.1649     8.7524
2.8409     8.167      8.8941
2.7821     8.1723     9.0287
2.7203     8.1288     9.1135
2.6266     7.8805     9.2464
2.6096     7.7081     9.2955
2.5816     7.5634     9.3252
2.5926     7.4195     9.3318
2.567      7.2009     9.3674
2.6271     6.9869     9.3684
2.6449     6.8862     9.3607
2.682      6.7778     9.3394
2.7367     6.6454     9.3295
2.8062     6.5453     9.3142
2.8718     6.3893     9.2838
3.0126     6.2835     9.2487
3.2336     6.0927     9.3181
3.4393     5.9593     9.3623
3.4982     5.8726     9.3574
3.6147     5.7433     9.344
3.7257     5.6816     9.3455
3.8428     5.6824     9.2922
3.9343     5.6994     9.2417
4.0591     5.8032     9.0911
4.1008     5.8479     8.9441
4.1817     5.8428     8.7468



































































































































































6.3386     4.6527     7.5566     LORBIT
6.5228     4.5555     7.6033
6.7159     4.5069     7.6575
6.8926     4.4627     7.7282
7.0562     4.4769     7.844
7.1758     4.4435     7.9371
7.2937     4.4866     8.0942
7.3729     4.4859     8.2247
7.4699     4.4779     8.4078
7.4722     4.4915     8.5802
7.4665     4.5018     8.7871
7.4578     4.4599     8.9316
7.3813     4.3309     9.0422
7.2355     4.2325     9.1466
7.117      4.146      9.2069
7.0326     4.0626     9.2469
6.9284     4.0135     9.2896
6.7656     4.0064     9.2785
6.6291     3.9611     9.2904
6.4698     3.9474     9.311
6.3279     3.9758     9.3318
6.1812     3.9502     9.3284
6.0358     3.9952     9.3075
5.9167     4.0349     9.2782
5.7717     4.0623     9.2453
5.6207     4.1165     9.2202
5.3391     4.2547     9.2766
5.1618     4.3971     9.3321
4.9883     4.5768     9.3532
4.8289     4.7586     9.3246
4.804      5.0235     9.2203
4.7319     5.0753     9.1569
