AMNH       81811      phu3ms6.xls
17.1163    20.7046    -16.8754   IN
12.4567    16.9015    -19.1682   BR
7.1748     12.7053    -16.6919   GL
7.2742     12.7729    -16.0573   NA
4.1604     9.8637     -8.82      RH
2.0599     7.9734     -4.4601    NS
1.9918     7.9565     -3.119     PR
2.9631     7.4819     -3.1767    R_PR2
5.3086     9.7339     -9.5244    R_PMS
10.5833    9.8611     -10.0308   R_ZMI
9.1343     11.388     -13.8783   R_ZMU
7.9593     12.7001    -14.8197   R_DA
8.9694     11.2669    -16.5027   R_MTI
9.6158     11.9341    -17.7341   R_MTS
10.7783    10.6697    -15.4102   R_FMO
12.0094    10.3856    -15.3192   R_FMT
17.3973    14.8959    -13.8682   R_PO
13.3894    10.0769    -11.9273   R_ZTS
1.5974     8.932      -3.111     L_PR2
4.3546     11.1812    -9.7353    L_PMS
5.1519     16.5718    -9.8019    L_ZMI
6.1233     15.1623    -13.95     L_ZMU
7.3346     13.4641    -15.0462   L_DA
6.0355     14.6936    -16.4821   L_MTI
6.8771     15.0955    -17.7654   L_MTS
5.9739     16.6274    -15.1299   L_FMO
5.8995     17.8392    -15.1306   L_FMT
11.2994    22.0593    -13.8075   L_PO
5.9004     19.2074    -11.7752   L_ZTS
1.4017     8.3134     -2.757     O1
5.2378     17.1303    -12.5091   O2
9.0928     21.8125    -12.2995   O3
14.0964    21.1942    -16.7323   O4







































































































































































7.2067     12.6557    -16.5186   GLRH
7.2405     12.6566    -16.3407
7.2654     12.7463    -16.1577
7.3344     12.7399    -15.9805
7.3741     12.8113    -15.7785
7.4503     12.8114    -15.5732
7.4668     12.849     -15.4198
7.4719     12.8772    -15.3063
7.4716     12.8791    -15.0646
7.4596     12.8739    -14.8931
7.4278     12.853     -14.7193
7.3849     12.83      -14.5632
7.3462     12.7637    -14.3362
7.3049     12.7121    -14.1955
7.2384     12.6741    -14.0696
7.1838     12.6142    -13.8801
7.1424     12.5446    -13.7281
7.06       12.4938    -13.5958
6.982      12.4058    -13.3655
6.8964     12.3126    -13.2013
6.8161     12.2469    -13.0469
6.7084     12.1733    -12.9148
6.6284     12.0967    -12.7337
6.5276     11.9915    -12.5709
6.4717     11.9566    -12.4267
6.3803     11.8379    -12.2783
6.2426     11.7329    -12.1296
6.1392     11.6769    -11.9762
6.0284     11.5806    -11.8418
5.9437     11.4974    -11.717
5.8237     11.3819    -11.539
5.703      11.2556    -11.3846
5.5835     11.1262    -11.2294
5.4796     11.0245    -11.0649
5.3388     10.9462    -10.8973
5.2025     10.8795    -10.734
5.1174     10.7801    -10.6015
