TMP        KA 194     Phg2stv
13.3793    10.8996    7.0523
13.4       10.9342    7.3235
13.4767    10.9202    7.6198
13.6033    10.9243    7.7949
13.776     10.963     7.9466
13.9464    10.9706    8.0121
14.149     10.9381    8.0981
14.2602    11.0066    8.2281
14.4035    11.0089    8.2988
14.4744    11.0829    8.3823
14.538     11.1556    8.4793
14.6933    11.1687    8.596
14.7882    11.166     8.6011
14.9272    11.2464    8.595
15.1049    11.2778    8.4362
15.2438    11.2615    8.3366
15.4316    11.2745    8.2475
15.5889    11.2432    8.149
15.759     11.2229    8.0211
15.9351    11.1871    7.9424
16.0972    11.2156    7.7815
16.2286    11.2424    7.6686
16.2881    11.2444    7.4789
16.3275    11.3228    7.3027
16.345     11.3627    7.0288
16.3072    11.3803    6.7893
16.2848    11.4162    6.4682
16.2886    11.4465    6.3733
16.3342    11.4186    6.1742
16.4655    11.3944    6.0747
16.5945    11.3997    6.0296
16.7533    11.4265    6.062
16.9242    11.4175    6.0577
17.0174    11.4074    5.9983
17.0046    11.3786    5.7829
16.974     11.3699    5.5898
16.9248    11.3224    5.3527
























































































































































9999       9999       9999       SUPORB







































































































































































































9999       9999       9999       RORBIT







































































































































































































9999       9999       9999       LORBIT







































































































































































































9999       9999       9999       RTEMFOS







































































































































































































18.0967    14.3099    9.1516     LTEMFOS
18.119     14.165     8.952
18.0853    14.1022    8.7481
18.0834    13.9743    8.6104
18.06      13.8695    8.4362
18.0288    13.7761    8.2825
17.994     13.6392    8.1049
17.9702    13.5388    7.9899
17.9742    13.4845    7.8061
17.9782    13.455     7.6327
17.9891    13.4051    7.4362
18.0829    13.4509    7.2998
18.1421    13.4858    7.196
18.2307    13.5919    6.9962
18.3152    13.7651    6.8914
18.4127    13.9175    6.7953
18.4945    14.1139    6.7444
18.5533    14.2935    6.7128
18.5511    14.4464    6.7325
18.5462    14.5552    6.7504




















































































































































































9999       9999       9999       OP
14.1677    11.9251    10.3422    BA
14.3483    15.5879    8.9858     ST
14.2326    20.0187    8.4333     IV
10.9877    11.7384    9.6174     R_PG
9.8103     13.307     8.6511     R_ZTI
12.1975    15.7996    9.593      R_M3D
11.978     18.0591    9.3373     R_M12
12.4664    20.0409    9.0692     R_MP3
12.9816    20.5763    8.7468     R_PMI
17.208     11.5859    9.8984     L_PG
18.5618    13.2757    9.2949     L_ZTI
16.3655    15.9153    9.7106     L_M3D
16.3725    17.9414    9.3359     L_M12
15.9649    19.9684    9.0307     L_MP3
15.474     20.5483    8.9638     L_PMI
14.8051    21.0447    7.9137     O1
11.9173    13.8258    4.8202     O2
18.7039    12.8543    8.7295     O3
13.0537    7.8047     8.4121     O4




















































































































































































