AMNH       103366     scc11cs.xls
14.2484    13.5694    -6.035     IN
12.3119    11.3607    -8.7217    BR
9.1021     8.5331     -8.0658    GL
9.1031     8.3868     -7.8954    NA
8.4109     7.7937     -6.288     RH
7.7041     7.2732     -4.9214    NS
7.351      6.9053     -4.4787    PR
7.7092     6.7074     -4.4305    R_PR2
8.7778     8.0307     -6.8795    R_PMS
10.8796    6.8706     -4.7686    R_ZMI
9.933      7.6033     -6.0239    R_ZMU
9.3439     8.2945     -7.2355    R_DA
10.5651    7.9158     -8.0888    R_MTI
10.737     7.9117     -8.3906    R_MTS
11.4001    7.0972     -7.12      R_FMO
11.962     7.1326     -6.927     R_FMT
13.8058    9.7322     -5.0757    R_PO
12.2937    7.087      -5.2071    R_ZTS
7.0753     7.1925     -4.457     L_PR2
8.6174     8.1343     -6.923     L_PMS
7.505      10.433     -4.865     L_ZMI
8.2886     9.3403     -6.0991    L_ZMU
8.7977     8.688      -7.1534    L_DA
8.6381     9.938      -8.1259    L_MTI
8.7742     10.0505    -8.4929    L_MTS
7.9103     10.7863    -7.0964    L_FMO
7.8385     11.2395    -7.1084    L_FMT
10.5264    12.9764    -4.9895    L_PO
7.97       11.742     -5.3328    L_ZTS
7.3753     8.6254     -4.9788    O1
7.5732     10.4907    -5.7404    O2
10.44      13.4724    -6.1527    O3
14.5837    12.7938    -6.8912    O4







































































































































































9.1327     8.4738     -8.1308    GLRH
9.0979     8.4648     -7.9625
9.0385     8.4137     -7.8178
8.9524     8.3316     -7.5999
8.856      8.2601     -7.3964
8.7764     8.1873     -7.1685
8.7131     8.137      -6.9551
8.6178     8.0425     -6.7208
8.5516     7.9776     -6.5734
8.4945     7.9221     -6.4689
8.4353     7.9091     -6.3107





























































































































































































8.3983     7.8679     -6.3062    NOSE
8.5139     7.8141     -6.2869
8.5927     7.6464     -6.1761
8.6122     7.4921     -5.8647
8.5981     7.3349     -5.6589
8.4411     7.1515     -5.4462
8.2018     7.1682     -5.328
8.0205     7.1902     -5.2461
7.8479     7.1641     -5.1401
7.6915     7.1491     -4.9814
7.6132     7.1694     -4.9206
7.5932     7.3538     -5.0572
7.6209     7.5408     -5.229
7.6564     7.7454     -5.2964
7.7414     7.9798     -5.4208
7.8782     8.1513     -5.6119
7.9904     8.1836     -5.7759
8.0741     8.1595     -5.9445
8.1786     8.1324     -6.0934
8.2701     8.075      -6.2575
8.3508     7.9979     -6.354
8.4262     7.9218     -6.2695


















































































































































































7.6998     7.2783     -4.9182    NASP-PR
7.546      7.1448     -4.8734
7.4237     7.0415     -4.7642
