BPI        M3133      Ppb3stv
5.3347     18.087     5.7753     IN
5.3638     21.6861    9.9734     BR
6.1524     27.5413    9.6247     GL
6.1756     27.5319    9.6095     NA
6.5528     30.702     6.9357     RH
9999       9999       9999       NS
9999       9999       9999       PR
9999       9999       9999       R_PR2
9999       9999       9999       R_PMS
9999       9999       9999       R_ZMI
8.0968     27.6351    7.2805     R_ZMU
6.829      27.6417    8.2802     R_DA
7.5731     26.7032    9.6903     R_MTI
7.5522     26.1319    10.0936    R_MTS
8.8871     26.4651    8.2955     R_FMO
9.3914     25.5658    8.1643     R_FMT
9.1627     21.3517    5.471      R_PO
9999       9999       9999       R_ZTS
9999       9999       9999       L_PR2
6.1334     29.4125    7.5113     L_PMS
2.7733     27.8498    4.6441     L_ZMI
4.4913     28.0052    7.1844     L_ZMU
5.6614     27.7625    8.2726     L_DA
4.488      27.0527    9.5511     L_MTI
4.6495     26.6617    9.9968     L_MTS
3.3667     26.8202    8.7162     L_FMO
2.9812     26.0162    8.6837     L_FMT
2.121      21.9084    5.0958     L_PO
1.8463     26.1353    5.4701     L_ZTS
6.4821     31.7719    4.6499     O1
3.5382     25.6104    9.2234     O2
10.3991    22.886     5.3801     O3
5.9243     18.0002    5.4849     O4







































































































































































9999       9999       9999       GLRH







































































































































































































9999       9999       9999       NOSE



















































































































