NME        L345-3     Tb6stv
7.469      6.5722     12.3264
7.5449     6.4552     12.4199
7.6455     6.312      12.4682
7.7627     6.1861     12.5373
7.9056     5.9141     12.7162
7.9495     5.6946     12.7684
8.3549     5.4239     12.7725
8.6152     5.1954     12.7544
8.8959     5.1076     12.6588
9.0994     4.9785     12.6038
9.2672     4.9459     12.5187
9.5018     4.8973     12.4185
9.6863     4.8652     12.3288
9.9257     4.8177     12.1933
10.1116    4.8019     12.1003
10.3264    4.8494     12.0227
10.4444    4.6844     11.846
10.5896    4.6431     11.5879
10.5933    4.649      11.3331




















































































































































5.2771     8.4712     8.5048     RORBIT
5.0575     8.691      8.414
4.9382     8.9336     8.3078
4.9498     9.1452     8.2661
5.0119     9.3433     8.3283
4.9818     9.5814     8.3015
5.0742     9.8261     8.4032
5.1398     10.0591    8.4774
5.2398     10.2728    8.6467
5.2585     10.5275    8.8233
5.3        10.637     8.9774
5.3168     10.753     9.0318
5.3395     10.8162    9.3069
5.2833     10.7529    9.5124
5.2768     10.6507    9.6987
5.2364     10.6187    9.8349
5.2746     10.5178    10.1024
5.1169     10.3388    10.283
5.239      10.0697    10.4183
5.1672     9.8891     10.5068
5.2434     9.6937     10.5488
5.4157     9.4359     10.535
5.5714     9.2839     10.5442
5.5271     9.0159     10.8354
5.6633     8.6598     10.9864
5.7878     8.4081     10.9603
5.8754     8.2391     10.9334
5.9623     7.9133     10.7953
6.0084     7.831      10.5979
6.0072     7.724      10.4193
6.2729     7.6847     10.0391









































































































































































7.5706     4.7506     9.5237     LORBIT
7.7155     4.6245     9.6457
7.9477     4.4712     9.7017
8.2543     4.3635     9.7976
8.5025     4.3033     9.9466
8.6655     4.2607     10.0898
8.8507     4.2157     10.2068
9.0833     4.2077     10.4463
9.2246     4.2488     10.6148
9.3432     4.2896     10.8356
9.4849     4.3239     11.0379
9.5327     4.2971     11.1205
9.3695     4.3193     11.3867
9.287      4.4237     11.576
9.075      4.5455     11.7458
8.9278     4.595      11.8843
8.7912     4.7269     11.9469
8.6601     4.8503     11.97
8.5266     4.8787     12.0089
8.2662     4.9758     12.0822
8.1241     5.0872     12.0483
7.8626     5.2263     12.0411
7.5209     5.8021     11.9437
7.4028     6.036      11.9242
7.2547     6.226      11.8132
7.1542     6.2888     11.769
7.064      6.4375     11.5542
6.9966     6.5337     11.3119
6.9994     6.5043     11.0818
6.9349     6.4453     10.8649
6.8642     6.5501     10.4521









































































































































































9999       9999       9999       RTEMFOS







































































































































































































10.586     4.698      11.4198    LTEMFOS
10.5071    4.397      11.1136
10.2814    4.1051     10.7936
10.1036    4.0415     10.5857
9.8898     3.9494     10.4721
9.7569     3.9254     10.3448
9.6788     3.8932     10.1662
9.5673     3.8789     10.0563
9.2551     3.4382     9.6017
8.9665     2.9146     9.455
8.9393     2.7492     9.4052
8.9302     2.5624     9.361
9.0825     2.3461     9.2368
9.1017     2.1629     9.2253
9.3257     2.0648     9.209
9.5812     1.9635     9.2091
9.8124     1.9609     9.246
10.0877    1.9514     9.2944
10.3883    2.0882     9.3324
10.5212    2.2123     9.3276
10.687     2.3152     9.3536
10.7302    2.4784     9.3059


















































































































































































9999       9999       9999       OP
9999       9999       9999       BA
9999       9999       9999       ST
9999       9999       9999       IV
9999       9999       9999       R_PG
9999       9999       9999       R_ZTI
5.0867     9.8724     12.5667    R_M3D
7.3837     11.7222    12.5341    R_M12
9999       9999       9999       R_MP3
9999       9999       9999       R_PMI
9999       9999       9999       L_PG
8.6209     0.3981     8.2301     L_ZTI
8.8474     5.5289     12.9846    L_M3D
11.0325    7.3289     13.3361    L_M12
9999       9999       9999       L_MP3
9999       9999       9999       L_PMI
8.5176     12.0083    12.154     O1
9.2615     5.5302     12.0378    O2
3.4202     12.6717    9.4424     O3
5.902      -0.7093    6.8764     O4




















































































































































































9999       9999       9999       RZYGINF







































































































































































































10.753     4.5996     10.1725    LZYGINF
10.8142    4.3472     9.8333
10.9576    3.9604     9.5738
10.9358    3.2745     9.4439
10.8355    2.9131     9.3112
10.7888    2.5969     9.2176
10.9844    2.3949     9.177
10.9721    1.8453     8.9659
10.927     1.5872     8.9931
10.7958    1.3068     8.9784
10.2612    1.1577     8.933
9.9095     1.0959     8.8517
9.622      0.8247     8.7818
9.2018     0.5361     8.4818
9.0457     0.4612     8.3906
8.9719     0.4361     8.3445
8.7615     0.4021     8.2983























































































































































































9999       9999       9999       R-ALV







































































































































































































9999       9999       9999       L-ALV
