UWMA       TP4        Pi5stv

















































































































































26.5375    -5.6795    6.9059     ROSTRUM
26.3149    -5.7639    7.1335
26.0464    -5.7935    7.3039
25.7929    -5.7585    7.4853
25.565     -5.7741    7.6603
25.3691    -5.7551    7.8767
25.1768    -5.7251    8.1277
24.9735    -5.6979    8.3001
24.8211    -5.6852    8.4199
24.6955    -5.6515    8.5743
24.5091    -5.5856    8.7377
24.3626    -5.5318    8.8498
24.2601    -5.4912    8.923
24.1704    -5.3702    9.0587
24.059     -5.2552    9.1638
23.9995    -5.1902    9.251
23.8905    -5.0804    9.3922
23.8067    -4.9362    9.5084
23.6998    -4.8422    9.5386
23.6456    -4.7519    9.5453
23.6496    -4.7351    9.5366
23.6309    -4.5144    9.5715
23.6205    -4.3502    9.5595
23.6373    -4.0542    9.4876
23.7094    -3.8745    9.4225
23.7107    -3.6372    9.3892
23.7894    -3.3843    9.2952
23.8467    -3.1874    9.19
23.9308    -2.9198    9.0655
24.0106    -2.7019    8.9761
24.1056    -2.528     8.7681
24.1906    -2.4193    8.6346
24.3214    -2.2345    8.4503
24.4488    -2.0521    8.2939
24.549     -1.9164    8.1836
24.6061    -1.7714    8.0715
24.6737    -1.6628    7.9398
24.7923    -1.5837    7.8314
24.9229    -1.5314    7.7048
24.9895    -1.4949    7.6127
25.0913    -1.472     7.5404
25.2097    -1.4235    7.4188






























































































































































9999       9999       9999       SUPORB







































































































































































































9999       9999       9999       RORBIT







































































































































































































9999       9999       9999       LORBIT

















































































































































































