MNHN       A-3904     Phu168sf
-2.8737    1.9796     4.2172













































































































































































0.1033     6.1299     10.0958    L-PM/MAX
0.2135     5.8801     10.0061
0.2278     5.6933     9.9428
0.292      5.4598     9.8869
0.3891     5.0922     9.7421
0.4323     4.8487     9.6601
0.4673     4.6323     9.5556
0.5023     4.414      9.4382
0.567      4.2645     9.3583
0.6669     4.1349     9.3185
0.7646     3.9227     9.145
0.8019     3.7179     9.0608
0.9272     3.5093     8.9251
1.0618     3.3019     8.858
1.1188     3.0859     8.6637
1.2002     2.9912     8.4565
1.2836     2.7579     8.0705
1.3519     2.5461     7.6355
1.3972     2.5085     7.4433
1.4402     2.493      7.2457
1.5052     2.3985     6.8663
1.5722     2.4325     6.6245
1.5877     2.305      6.4053
1.6351     2.2668     6.2408
1.708      2.157      5.9951
1.7124     2.0225     5.7929
1.7435     1.993      5.5897
1.8595     1.9899     5.2795
1.899      1.8806     5.1003
1.8938     1.7707     4.9683
1.6971     1.6644     4.7356









































































































































































-3.2146    7.0043     5.5003     ROSTRUM
-3.1883    6.9993     5.7814
-3.1108    6.9026     6.089
-2.9991    6.9297     6.2679
-2.8698    6.8763     6.4966
-2.7475    6.8561     6.7426
-2.701     6.8082     7.0135
-2.7442    6.7072     7.2495
-2.8054    6.639      7.564
-2.8566    6.6231     7.7281
-2.9151    6.605      7.9032
-2.9702    6.4748     8.1513
-3.0514    6.4518     8.4381
-3.1157    6.3932     8.7747
-3.22      6.3166     9.0088
-3.3513    6.2421     9.1847
-3.4568    6.1333     9.3942
-3.5147    6.1275     9.58
-3.5195    6.0474     9.7483
-3.4923    6.1518     9.9819
-3.405     6.1102     10.1215
-3.2029    6.1321     10.196
-3.0032    6.1541     10.265
-2.7942    6.1503     10.3287
-2.598     6.132      10.3108
-2.4121    6.0987     10.2657
-2.1663    6.1076     10.2436
-2.0331    6.1121     10.2173
-1.9231    6.145      10.1652
-1.685     6.1376     10.1625
-1.4937    6.1256     10.1414
-1.3699    6.1657     10.1223
-1.1468    6.0776     10.3007
-0.8205    6.0129     10.4228
-0.5859    5.9743     10.4328
-0.4201    5.9762     10.4028
-0.246     5.995      10.339
-0.0735    6.0244     10.17
0.1595     6.0664     10.1031
0.3859     6.1147     10.1587
0.6358     6.139      10.3211
0.916      6.0999     10.3996
1.1486     6.0955     10.4199
1.3306     6.0721     10.4222
1.5807     6.0666     10.4812
1.7129     6.0863     10.4028
1.9042     6.066      10.4346
2.142      6.0303     10.3208
2.2946     6.1656     10.0631
2.2701     6.1908     9.8115
2.1881     6.2303     9.6022
2.0267     6.3063     9.3686
1.9479     6.382      9.1667
1.9485     6.4008     8.8991
1.935      6.4201     8.6469
1.9436     6.4496     8.4082
1.9765     6.5008     8.1696
2.0038     6.5427     7.9393
1.9882     6.5471     7.7496
1.9778     6.5912     7.5528
1.9857     6.5788     7.1794
2.0343     6.6379     6.9157
2.1571     6.6415     6.6507
2.3095     6.5999     6.3609
2.3954     6.653      6.2705
2.4316     6.6428     6.2045
2.511      6.6484     6.032
2.5297     6.6803     5.8169
2.5311     6.7347     5.5272
2.5434     6.731      5.4799
2.5336     6.7633     5.4003

































































































































-5.2953    11.4655    14.1124    SUPORB
-5.1972    11.4202    14.2856
-5.0849    11.3396    14.4241
-4.978     11.1113    14.692
-4.8291    10.9226    14.9317
-4.6914    10.7571    15.0974
-4.4905    10.5842    15.2685
-4.3262    10.4731    15.4006
-4.1112    10.3659    15.5699
-3.9158    10.3013    15.6816
-3.7274    10.1741    15.7281
-3.5595    10.0416    15.7702
-3.0544    10.0723    15.9867
-2.7509    10.0752    16.0783
-2.4251    9.961      16.1307
-2.2414    9.7355     16.083
-2.1103    9.4282     16.0266
-1.7758    9.3997     15.991
-1.5187    9.3355     15.9706
-1.2126    9.27       15.9109
-1.0649    9.1802     15.8253
-0.8841    9.0926     15.7147
-0.78      8.9384     15.5999
-0.5383    8.7761     15.5141
-0.3725    8.7764     15.6281
-0.1721    8.9922     15.8864
0.367      9.3624     16.2201
0.6445     9.4559     16.2836
0.9095     9.5811     16.3536
1.1912     9.7619     16.3548
1.515      9.9599     16.3653
2.1525     10.0918    16.2473
2.447      10.1977    16.1676
2.7584     10.3024    16.0978
3.023      10.3865    15.9903
3.2191     10.4908    15.8832
3.3954     10.585     15.7549
3.5403     10.6445    15.6511
3.6988     10.7605    15.4878
3.8481     10.8355    15.315
3.9849     10.971     15.1322
4.0807     11.0052    15.0136
4.2612     11.2209    14.6796



