NMNH       290065     See6stv
































































-3.0187    9.6365     2.7812     ROSTRUM
-3.015     9.6203     3.0282
-2.9165    9.6053     3.3337
-2.7777    9.6044     3.5235
-2.6605    9.5882     3.709
-2.5753    9.5701     3.8903
-2.5031    9.5963     4.0878
-2.4447    9.5703     4.3129
-2.3895    9.5858     4.479
-2.2879    9.5641     4.6539
-2.1762    9.5165     4.8442
-2.0925    9.5177     5.0997
-1.9127    9.5044     5.3655
-1.7591    9.4352     5.5084
-1.6339    9.4017     5.6996
-1.5344    9.4129     5.8834
-1.3998    9.402      6.1248
-1.2665    9.3757     6.3607
-1.1889    9.424      6.6428
-1.0375    9.3946     6.8245
-0.8366    9.3829     6.9739
-0.7351    9.356      7.0094
-0.5141    9.3476     6.9777
-0.2523    9.304      6.8012
-0.1123    9.3394     6.6278
0.019      9.3683     6.2838
0.1528     9.3307     6.0149
0.3141     9.3144     5.766
0.4629     9.3362     5.555
0.6345     9.29       5.3069
0.7477     9.3142     5.1878
0.9267     9.2168     4.6352
0.9827     9.2182     4.4255
1.0427     9.2423     4.192
1.1291     9.2581     3.9913
1.2684     9.3259     3.7723
1.4094     9.2964     3.5451
1.5514     9.3214     3.416
1.7239     9.3757     2.9385
1.7271     9.3734     2.8035
1.7201     9.3466     2.6228































































































































































-4.4592    12.0757    7.2611     SUPORB
-4.3326    12.0882    7.4714
-4.2255    12.0637    7.6266
-4.0464    12.0681    7.8107
-3.8162    11.9503    7.9132
-3.5229    11.7689    8.082
-3.2935    11.6225    8.1958
-3.0349    11.461     8.3001
-2.7038    11.2741    8.4038
-2.4546    11.1311    8.4253
-2.1592    11.0278    8.4584
-1.9565    10.9447    8.4434
-1.7044    10.8554    8.4507
-1.4609    10.763     8.4461
-1.241     10.6671    8.4044
-1.0089    10.6083    8.3698
-0.7564    10.4485    8.2867
-0.5771    10.4356    8.2183
-0.423     10.4489    8.2236
-0.2246    10.4821    8.291
0.0813     10.6421    8.3641
0.3474     10.6807    8.392
0.6032     10.8688    8.4171
0.852      10.934     8.4176
1.0591     11.0008    8.4359
1.2458     11.0884    8.4141
1.5135     11.1967    8.3638
1.7146     11.2329    8.306
1.9452     11.3882    8.2396
2.1481     11.4912    8.1494
2.3471     11.5732    8.0566
2.546      11.7155    7.9364
2.7591     11.8434    7.8274
2.8814     11.9284    7.7671
3.0343     11.9914    7.7313
3.1712     12.0587    7.5974
3.4457     12.0265    7.178



































































































































































