AMNH       81811      phu3ms1.xls
21.9475    20.8812    -16.9661   IN
17.3999    16.9301    -19.1495   BR
12.2466    12.5787    -16.4786   GL
12.36      12.5658    -16.1464   NA
9.5173     9.5174     -8.714     RH
7.5692     7.5648     -4.458     NS
7.59       7.4712     -2.9354    PR
8.5036     7.0324     -3.1082    R_PR2
10.7141    9.5145     -9.5232    R_PMS
15.9521    9.7889     -9.9744    R_ZMI
14.4523    11.3416    -13.9086   R_ZMU
13.1007    12.5674    -14.7624   R_DA
14.1476    11.3417    -16.409    R_MTI
14.69      11.8377    -17.748    R_MTS
15.9647    10.7068    -15.395    R_FMO
17.1955    10.4159    -15.3744   R_FMT
22.4874    15.0758    -13.9283   R_PO
18.8102    10.1585    -12.0275   R_ZTS
7.0497     8.4293     -3.0323    L_PR2
9.7874     10.9347    -9.8158    L_PMS
10.2443    16.2035    -9.7323    L_ZMI
11.2897    14.8879    -13.8255   L_ZMU
12.4382    13.2964    -14.9866   L_DA
11.1052    14.6778    -16.2822   L_MTI
11.8728    14.9571    -17.6659   L_MTS
11.0498    16.3842    -14.9936   L_FMO
10.8359    17.6288    -14.983    L_FMT
16.2659    21.9753    -13.6401   L_PO
10.893     18.8863    -11.6399   L_ZTS
6.7881     7.8871     -3.0961    O1
9.8763     17.338     -11.2031   O2
15.9016    21.1362    -15.6155   O3
20.6139    21.2567    -15.5286   O4







































































































































































12.2441    12.499     -16.4285   GLRH
12.2395    12.5249    -16.2723
12.3077    12.6186    -16.0353
12.3547    12.6829    -15.7866
12.426     12.7121    -15.5574
12.4722    12.7785    -15.2679
12.5113    12.7586    -15.0499
12.5055    12.7179    -14.7039
12.4618    12.6719    -14.4802
12.3729    12.5988    -14.1798
12.2644    12.4763    -13.8657
12.2127    12.4139    -13.6777
12.1067    12.2832    -13.366
12.0288    12.1975    -13.204
11.903     12.038     -12.9347
11.7902    11.9464    -12.7389
11.6489    11.8086    -12.5062
11.5638    11.7193    -12.2946
11.4349    11.6338    -12.1475
11.2819    11.4929    -11.9169
11.1822    11.3523    -11.7443
11.0694    11.1527    -11.506
10.9499    11.0216    -11.343
10.865     10.9263    -11.2142
10.7649    10.7921    -11.0486
10.6433    10.6118    -10.8167
10.5545    10.552     -10.6754
10.3066    10.4423    -10.4096
10.1832    10.2567    -10.1432
10.0379    10.1271    -9.9592
9.9134     9.9379     -9.7672
9.7734     9.8283     -9.5224
9.6194     9.733      -9.2844
9.6153     9.6006     -9.1706
9.5578     9.541      -9.0494
9.449      9.4915     -8.8264
9.3914     9.5625     -8.6605



































































































































































9.4241     9.458      -8.7514    NOSE
9.559      9.2407     -8.6595
9.542      9.0768     -8.5334
9.704      8.9395     -8.4103
9.8219     8.8111     -8.2696
9.7907     8.6205     -8.0855
9.7423     8.4212     -7.8812
9.7178     8.1786     -7.5937
9.6669     8.0499     -7.2979
9.6039     7.9814     -7.0629
9.5177     7.9829     -6.9268
9.4202     7.8606     -6.7935
9.3669     7.7845     -6.5666
9.2522     7.6417     -6.2978
9.0467     7.4856     -5.9876
8.8795     7.3975     -5.8472
8.7426     7.3899     -5.7157
8.6181     7.3593     -5.5788
8.4364     7.3303     -5.4362
8.2976     7.3485     -5.359
8.1478     7.3632     -5.2312
7.9875     7.3675     -5.0709
7.8646     7.3894     -4.985
7.7649     7.4402     -4.8676
7.6392     7.4611     -4.7528
7.5545     7.4888     -4.6146
7.504      7.5476     -4.4324
7.3509     7.6816     -4.5085
7.2324     7.8162     -4.7017
7.1886     7.9707     -4.8844
7.1462     8.1995     -5.0763
7.1484     8.2825     -5.1432
7.1685     8.4885     -5.25
7.1685     8.6734     -5.3547
7.1178     9.054      -5.5326
7.0937     9.2273     -5.7109
7.1314     9.4265     -6.0172
7.2466     9.4875     -6.1716
7.3768     9.6089     -6.3396
7.3899     9.7222     -6.5309
7.552      9.8354     -6.8238
7.6623     9.955      -7.1506
7.9511     10.1174    -7.5799
8.0355     10.1212    -7.7262
8.1677     10.103     -7.8504
8.5105     10.0038    -8.142
8.6662     9.9172     -8.2046
8.7949     9.898      -8.3097
8.988      9.7229     -8.5466
9.1297     9.7161     -8.6758
9.2078     9.6913     -8.7032
9.3355     9.582      -8.7193
9.3988     9.4947     -8.84
9.4169     9.4793     -8.851


















































































































































7.4619     7.5322     -4.3587    NASP-PR
7.3939     7.5324     -4.3137
7.3907     7.4525     -4.1523
7.3605     7.4312     -3.9642
7.353      7.4157     -3.8165
7.3875     7.4671     -3.6394
7.3884     7.4155     -3.476
7.361      7.4318     -3.3896
7.3845     7.4384     -3.2935
7.4698     7.4007     -3.1398
7.5025     7.4215     -3.0494
7.504      7.4652     -2.9678




























































































































































































10.6955    9.5353     -9.5736    R-PM/MAX
10.5724    9.3408     -9.3573
10.4809    9.2083     -9.1576
10.2868    8.8224     -8.7185
10.2005    8.6293     -8.6215
10.1291    8.3665     -8.5026
10.105     8.1512     -8.2307
10.0914    7.8793     -7.6705
10.0769    7.7766     -7.4272
10.0987    7.6904     -7.0922
10.0639    7.6266     -6.8147
10.1207    7.4793     -6.5576
10.1737    7.3662     -6.1293
10.2116    7.2863     -5.9706
10.3224    7.0631     -5.6215
10.3613    6.9998     -5.409
10.3391    6.9595     -5.0935
10.3933    6.9507     -4.8458
10.4383    6.9558     -4.56
10.4965    6.9674     -4.3643
10.5318    7.036      -4.2141
10.6098    7.1069     -4.1136
10.5939    7.1462     -4.057

















































































































































































9.7614     11.0055    -9.8567    L-PM/MAX
9.5417     10.8356    -9.6047
9.4255     10.776     -9.4607
9.2151     10.6828    -9.2099
8.9827     10.6308    -8.9422
8.805      10.592     -8.7152
8.5764     10.5107    -8.4301
8.3484     10.4463    -8.2664
8.1774     10.4203    -8.1203
8.0203     10.4028    -8.0062
7.7997     10.3545    -7.7146
7.6999     10.3211    -7.4577
7.61       10.3745    -7.1998
7.5502     10.2872    -6.8354
7.4599     10.2964    -6.6226
7.3752     10.2767    -6.3834
7.2798     10.3654    -6.126
7.2182     10.2922    -5.9108
7.104      10.2821    -5.7434
6.9899     10.1916    -5.5717
6.915      10.2351    -5.3217
6.8941     10.2338    -5.1896
6.8969     10.2536    -4.9264
6.9081     10.2874    -4.7217
6.9244     10.2924    -4.5561
6.9344     10.2988    -4.4698
6.9465     10.3273    -4.3996
6.9633     10.3508    -4.2968
6.989      10.3424    -4.1843











































































































































































13.7035    9.5856     -5.9366    ROSTRUM
13.6153    9.4583     -6.1104
13.5874    9.4158     -6.2232
13.5314    9.3676     -6.3778
13.4722    9.3134     -6.5346
13.3933    9.2965     -6.6281
13.2946    9.287      -6.837
13.1821    9.2776     -6.9221
13.057     9.2566     -7.0382
12.9615    9.2568     -7.1503
12.9006    9.2372     -7.2725
12.61      9.18       -7.5427
12.5015    9.1524     -7.7217
12.4489    9.1377     -7.8672
12.3354    9.0247     -8.1138
12.2681    8.9578     -8.2713
12.2133    8.8795     -8.4819
12.1824    8.7398     -8.6631
12.1944    8.5412     -9.0234
12.1196    8.4901     -9.2544
12.0409    8.4859     -9.3077
11.9666    8.5        -9.3778
11.8241    8.5085     -9.5597
11.6439    8.579      -9.6851
11.4991    8.6787     -9.7382
11.3154    8.8268     -9.7899
11.2138    8.9583     -9.7697
11.0994    9.1655     -9.6979
11.0425    9.2569     -9.7069
10.9349    9.3321     -9.7115
10.855     9.4594     -9.6162
10.7168    9.5996     -9.6412
10.6527    9.6334     -9.7251
10.5201    9.6761     -9.8163
10.1903    9.9098     -9.8972
10.0267    10.1328    -9.9568
9.8796     10.3094    -9.9229
9.7386     10.4225    -9.9518
9.6232     10.6154    -9.8727
9.5537     10.8815    -9.6558
9.3463     11.1963    -9.5612
9.2904     11.2638    -9.5258
9.1213     11.3374    -9.5726
8.8559     11.583     -9.6565
8.5829     11.9296    -9.6566
8.5167     12.0784    -9.5172
8.429      12.2663    -9.3743
8.4457     12.4058    -9.1763
8.3926     12.4037    -9.1777
8.496      12.4985    -8.9486
8.5614     12.5133    -8.8498
8.7513     12.5132    -8.6189
8.851      12.509     -8.5079
8.9973     12.4583    -8.2778
9.1567     12.6235    -8.0664
9.207      12.6764    -7.9387
9.2569     12.7476    -7.7992
9.317      12.8577    -7.4944
9.3757     13.0436    -7.2729
9.395      13.2437    -6.9225
9.4445     13.4162    -6.5833
9.611      13.5755    -6.1184
9.7572     13.6853    -5.943
9.8631     13.704     -5.734
9.986      13.6686    -5.6507
10.0588    13.6077    -5.6276






































































































































17.1267    10.4223    -15.5516   SUPORB
17.1134    10.4945    -15.8264
16.9637    10.5343    -16.1614
16.8809    10.5899    -16.3479
16.7634    10.6289    -16.6396
16.6244    10.7084    -16.8062
16.3662    10.8542    -17.0449
16.2033    10.9276    -17.1547
16.0304    10.9551    -17.2183
15.7851    11.0735    -17.3702
15.5854    11.1798    -17.4943
15.4361    11.2297    -17.5056
15.234     11.2987    -17.5837
14.8766    11.4582    -17.6482
14.6206    11.6663    -17.6934
14.6097    11.7745    -17.7282
14.4928    11.9581    -17.8126
14.3036    12.1869    -17.8704
14.0808    12.3249    -17.882
13.7724    12.4481    -17.8317
13.6792    12.4911    -17.8152
13.544     12.5206    -17.7798
13.322     12.575     -17.7078
13.1437    12.5952    -17.6269
12.9241    12.5397    -17.4966
12.7499    12.611     -17.3689
12.6714    12.6191    -17.2364
12.4871    12.7357    -17.1724
12.3731    12.9486    -17.1778
12.4143    13.0932    -17.3687
12.3553    13.4262    -17.5305
12.3291    13.8748    -17.6974
12.3574    13.8862    -17.7045
12.3409    14.141     -17.7785
12.2711    14.3472    -17.8156
12.17      14.5433    -17.8032
11.947     14.7638    -17.7324
11.7625    14.9644    -17.655
11.6044    15.1769    -17.5669
11.5197    15.3942    -17.5154
11.4113    15.7132    -17.4269
11.3629    15.9296    -17.3598
11.2478    16.2453    -17.2242
11.1811    16.5495    -17.048
11.1829    16.6301    -17.0166
11.0926    16.8046    -16.8955
11.0629    17.0322    -16.7258
10.9636    17.1654    -16.4925
10.9563    17.2352    -16.443
10.9175    17.3012    -16.2964
10.8724    17.3871    -16.0928
10.8165    17.4113    -15.9929
10.8159    17.5371    -15.7613
10.7997    17.5799    -15.6474
10.7772    17.5787    -15.5876

















































































































































14.3766    11.3668    -13.9009   RORBIT
14.4843    11.2805    -13.9298
14.587     11.107     -13.994
14.7626    11.011     -14.0823
14.968     10.9478    -14.1961
15.2131    10.8635    -14.3652
15.3188    10.848     -14.4328
15.387     10.7601    -14.5215
15.514     10.7852    -14.6249
15.6806    10.8055    -14.7915
15.7383    10.8062    -14.8708
15.8289    10.7067    -15.0671
15.8923    10.6545    -15.4183
15.9197    10.5063    -15.5513
15.8281    10.6069    -15.7425
15.7445    10.5351    -15.8909
15.5692    10.5306    -16.1073
15.4869    10.5076    -16.1929
15.309     10.6098    -16.2931
15.0861    10.6864    -16.4191
14.8332    10.7508    -16.4777
14.575     10.9365    -16.5073
14.358     11.0172    -16.5097
14.1183    11.2424    -16.4307
13.8168    11.3778    -16.3756
13.6675    11.5715    -16.3798
13.575     11.6165    -16.4242
13.4594    11.8244    -16.3349
13.253     12.014     -16.3028
13.1732    12.2484    -16.1515
13.1664    12.3544    -15.9296
13.0989    12.3931    -15.7913
13.0559    12.4723    -15.5479
13.0521    12.558     -15.2972
13.0744    12.5829    -15.1037
13.033     12.5829    -14.9665
13.0159    12.5694    -14.8612



































































































































































