AMNH       169432     Phu1pwl2
-2.158     6.9087     9.3291
-2.2214    6.771      9.1745
-2.2777    6.6271     8.9932
-2.3203    6.5066     8.7887
-2.3484    6.3717     8.5909
-2.3748    6.2754     8.3968
-2.4305    6.1896     8.1806
-2.495     6.0404     7.9731
-2.5217    5.9007     7.6721
-2.5829    5.8005     7.4862
-2.6155    5.7093     7.2329
-2.685     5.5422     6.9679
-2.7669    5.5436     6.825
-2.8086    5.4001     6.6506
-2.8773    5.3907     6.4604
-2.9058    5.412      6.256
-2.8841    5.4093     6.1482
-2.7476    5.3959     5.9672
-2.6293    5.415      5.8946
-2.4018    5.4692     5.722













































































































































































0.0977     7.6719     10.4721    L-PM/MAX
0.1785     7.3988     10.1667
0.23       7.248      10.0215
0.2926     7.0814     9.8935
0.3196     6.9806     9.751
0.394      6.7823     9.6106
0.4625     6.658      9.5031
0.5399     6.4779     9.3141
0.5472     6.4114     9.2321
0.5872     6.2945     9.1119
0.6433     6.1109     8.8773
0.6613     5.9637     8.6902
0.6997     5.7991     8.3974
0.7133     5.7173     8.2394
0.7515     5.6311     8.1121
0.7556     5.5715     7.9958
0.7732     5.5374     7.8694
0.7849     5.452      7.772
0.8024     5.3604     7.5815
0.8277     5.2657     7.4313
0.8484     5.1636     7.3111
0.9596     5.0809     7.1855
1.0017     4.9796     7.0297
1.0957     4.9514     6.839
1.1771     4.9372     6.7026
1.1404     4.9886     6.528
1.1305     5.0213     6.3843
0.954      5.0307     6.2788
0.9268     5.0168     6.1936
0.8348     5.0607     6.0637










































































































































































-3.125     10.0518    6.2489     ROSTRUM
-3.2445    9.9854     6.5365
-3.239     9.9917     6.7884
-3.24      9.9842     6.9701
-3.1882    9.954      7.1966
-3.078     9.9589     7.4252
-2.9501    9.9284     7.6683
-2.8676    9.8342     7.8893
-2.8169    9.8408     8.1198
-2.8169    9.8131     8.2787
-2.9129    9.7593     8.6387
-2.9755    9.7772     8.8155
-3.0398    9.7423     9.0606
-3.2075    9.6807     9.3452
-3.2861    9.64       9.5531
-3.3991    9.5366     9.7772
-3.5016    9.3942     10.0824
-3.3605    9.3389     10.3206
-3.3271    9.1491     10.5461
-2.9857    9.1095     10.8137
-2.7381    9.041      10.8404
-2.4288    9.0822     10.776
-2.1627    9.0357     10.8541
-1.8729    8.9214     11.0124
-1.5615    8.8293     11.2605
-1.2592    8.6474     11.5958
-1.0129    8.6052     11.7235
-0.784     8.5393     11.7496
-0.4739    8.5442     11.7123
-0.2414    8.5921     11.5998
-0.0189    8.6471     11.4225
0.2178     8.6724     11.2102
0.5043     8.7162     11.0686
0.7055     8.7387     10.9813
1.0072     8.7353     10.9124
1.2508     8.6244     10.9835
1.5239     8.5798     11.0162
1.8728     8.6234     10.7932
2.0615     8.6647     10.5375
2.1413     8.7096     10.1338
2.0978     8.7249     9.8675
1.9682     8.7663     9.635
1.8667     8.8091     9.418
1.7585     8.9986     9.0004
1.7189     9.0148     8.8048
1.7041     9.047      8.5533
1.7554     9.1301     8.2058
1.898      9.1509     7.9581
2.127      9.2388     7.6632
2.3258     9.2884     7.4394
2.473      9.3221     7.1069
2.5048     9.4287     6.8414
2.4736     9.4717     6.6089




































