HLD        R8         Phu190sf











0.6463     6.2468     11.4776    L-PM/MAX
0.6747     5.9922     11.3323
0.7077     5.8113     11.2125
0.741      5.5398     11.0094
0.7737     5.3316     10.8736
0.8437     5.0954     10.7335
0.9369     4.7368     10.4652
0.9911     4.402      10.2355
1.141      4.0216     9.9396
1.1942     3.6732     9.6983
1.2543     3.4327     9.5023
1.3278     3.0728     9.2419
1.5322     2.9048     9.0237
1.69       2.7521     8.7096
1.7853     2.5935     8.3991
1.8276     2.4559     8.0826
1.9553     2.4131     7.8065
2.0697     2.2982     7.4624
2.2927     2.1897     7.0592
2.5316     2.0653     6.7502
2.5902     1.9166     6.4559
2.6563     1.875      6.208
2.5881     1.7207     5.9336
2.445      1.6549     5.7217
2.314      1.7207     5.5467















































































































































































-2.6651    6.5096     6.4279     ROSTRUM
-2.6566    6.5034     6.7233
-2.5045    6.4773     6.9859
-2.3084    6.4869     7.1904
-2.1264    6.497      7.3815
-1.8875    6.4943     7.6414
-1.7432    6.4925     7.8609
-1.677     6.4198     8.2018
-1.7276    6.3435     8.4786
-1.8078    6.2488     8.7973
-1.8929    6.2114     9.0761
-2.0381    6.094      9.4642
-2.24      6.0667     9.8006
-2.412     6.0031     10.0481
-2.4184    5.8748     10.3216
-2.3341    5.8273     10.5085
-2.2691    5.7972     10.6634
-2.0067    5.7327     10.8756
-1.6841    5.7483     10.9335
-1.4825    5.7794     11.0386
-1.2894    5.8203     11.1315
-1.0709    5.7753     11.1692
-0.8823    5.758      11.254
-0.7885    5.7453     11.3201
-0.5834    5.7631     11.4059
-0.4374    5.7834     11.5034
-0.1699    5.7806     11.6349
0.0063     5.74       11.609
0.2231     5.7269     11.564
0.4499     5.7091     11.4656
0.713      5.8353     11.2727
0.9338     5.8763     11.0932
1.2253     5.8688     10.9216
1.4334     5.881      10.8876
1.6303     5.8968     10.9138
1.9116     5.9164     10.875
2.1239     5.8752     10.7604
2.2802     5.9479     10.6652
2.4199     5.9685     10.5073
2.4791     6.0856     10.0716
2.3963     6.207      9.8285
2.2877     6.2895     9.632
2.209      6.302      9.2729
2.1843     6.3473     8.9735
2.1583     6.3566     8.6652
2.1472     6.3581     8.4006
2.192      6.4558     8.0839
2.2584     6.5067     7.9067
2.3477     6.4685     7.6913
2.5113     6.4591     7.4658
2.7639     6.4472     7.2661
2.9714     6.4692     7.0681
3.1056     6.4564     6.9143
3.1574     6.4652     6.7353
3.167      6.456      6.5138
3.1849     6.4939     6.4189
3.1185     6.5065     6.2284















































































































































-4.7867    12.0449    15.0723    SUPORB
