TMP        STS 262    Pi6stv
13.822     13.3674    4.897      ROSTRUM
13.8146    13.4387    5.24
13.8345    13.5107    5.6666
13.9238    13.5504    5.9554
14.0121    13.5362    6.271
14.114     13.551     6.4438
14.1955    13.5535    6.8106
14.2304    13.5938    7.036
14.2949    13.5704    7.2172
14.3796    13.6318    7.3893
14.4336    13.6202    7.4647
14.5575    13.6564    7.6575
14.6884    13.6641    7.7788
14.7971    13.6762    7.8738
14.9752    13.657     7.9609
15.0772    13.6494    8.0625
15.2456    13.6811    8.2452
15.3536    13.6648    8.4071
15.4974    13.6593    8.5987
15.589     13.6525    8.7036
15.7417    13.6429    8.8313
15.8608    13.6108    8.8755
15.9224    13.6256    8.894
16.0899    13.7206    8.8809
16.1851    13.7281    8.8171
16.282     13.7522    8.6954
16.4872    13.7458    8.5102
16.6176    13.6963    8.3609
16.8209    13.6604    8.1805
16.9379    13.635     8.0804
17.1131    13.5967    7.9476
17.2674    13.5927    7.8664
17.4378    13.5595    7.7667
17.6022    13.5377    7.6555
17.7049    13.5532    7.515
17.821     13.543     7.2975
17.9298    13.5377    7.1513
18.0234    13.5285    6.9288
18.0594    13.5324    6.7476
18.1294    13.5502    6.5222
18.2005    13.5427    6.3453
18.2745    13.5564    6.1626
18.3347    13.552     5.9622
18.3744    13.5709    5.8067
18.4392    13.6472    5.5657
18.4333    13.6796    5.3803
18.4057    13.7424    5.1376

























































































































































9999       9999       9999       SUPORB
15.8267    14.9893    11.1141
16.0433    15.004     11.1319
16.3336    15.0405    11.1892
16.6361    15.0701    11.2879
16.9856    15.0802    11.2986
17.2239    15.1457    11.2812
17.5238    15.1919    11.2537
17.8765    15.2859    11.1699
18.2059    15.4455    11.0878
18.3254    15.5459    11.055
18.5288    15.6174    10.9574
18.719     15.6973    10.8561
18.8862    15.729     10.7261
18.9833    15.7823    10.6306
19.0872    15.8114    10.5222
19.1694    15.8371    10.4334
19.2067    15.8971    10.3619
19.4711    16.025     9.7699
19.508     16.0241    9.6174
19.5071    15.9972    9.509
19.5016    15.9508    9.3833


















































































































































































9999       9999       9999       RORBIT







































































































































































































9999       9999       9999       LORBIT







































































































































































































9999       9999       9999       RTEMFOS







































































































































































































9999       9999       9999       LTEMFOS







































































































































































































9999       9999       9999       OP
9999       9999       9999       BA
15.9041    16.705     9.9378     ST
16.0943    20.0157    10.615     IV
9999       9999       9999       R_PG
9999       9999       9999       R_ZTI
14.1487    16.2369    10.5242    R_M3D
13.6729    17.9246    10.908     R_M12
14.4643    20.2629    10.9985    R_MP3
14.9227    20.9004    11.0484    R_PMI
9999       9999       9999       L_PG
9999       9999       9999       L_ZTI
17.7377    16.2821    10.5815    L_M3D
18.3573    17.6621    10.9062    L_M12
17.8349    20.1117    10.98      L_MP3
17.2011    20.7927    10.9664    L_PMI
16.7276    21.2299    10.0176    O1
19.5693    16.1428    5.9735     O2
12.7584    13.3717    6.1634     O3
16.3746    9.5335     6.7981     O4




















































































































































































9999       9999       9999       RZYGINF







































































































































































































9999       9999       9999       LZYGINF







































































































































































































14.0728    16.3531    10.577     R-ALV
13.9408    16.5987    10.578
13.7189    16.7683    10.5732
13.5955    17.0116    10.5875
13.5448    17.3675    10.6202
13.5686    17.618     10.695
13.6093    17.9183    10.7174
13.7086    18.2704    10.8715
13.7789    18.5238    10.9411
13.8275    18.7704    10.908
13.891     18.9791    10.9033
13.9533    19.3067    10.867
14.0671    19.4914    10.9185
14.1786    19.6821    10.9989
14.2569    19.9615    10.9797
14.3086    20.14      10.9444
14.379     20.2294    10.9715























































































































































































17.6733    16.3262    10.5742    L-ALV
17.8336    16.4179    10.5899
18.0868    16.6332    10.6307
18.2771    16.9045    10.6336
18.3506    17.1563    10.7176
18.3772    17.3699    10.8058
18.3626    17.5908    10.8702
18.3308    17.8466    10.8829
18.3109    18.0749    10.9279
18.2876    18.4291    10.966
18.2274    18.6681    10.9924
18.1033    18.9218    10.9487
18.0447    19.1488    10.8643
17.9902    19.3961    10.8532
17.9724    19.5498    10.831
17.926     19.6539    10.8782
17.8832    19.8407    10.9362
17.8589    19.9945    10.9358
17.8126    20.1023    10.9956
17.747     20.1594    11.0755
17.6796    20.2995    11.1369
