UWMA       ZA 68      Phu60stv
13.497     14.5429    13.9754    IN
10.4214    10.8121    16.2801    BR
5.8336     6.259      14.0384    GL
5.9505     6.3205     13.4667    NA
3.1389     3.0875     8.0784     RH
1.7645     1.1279     4.4457     NS
1.6198     1.0782     3.4389     PR
1.08       2.098      3.8285     R_PR2
4.0915     4.7559     9.5178     R_PMS
4.2541     9.6954     8.1201     R_ZMI
4.8962     8.1552     11.1312    R_ZMU
5.9504     6.8546     12.3665    R_DA
4.5799     7.9437     13.5799    R_MTI
5.1196     8.2387     14.7028    R_MTS
4.0898     9.6546     12.5866    R_FMO
4.387      10.571     12.6385    R_FMT
8.208      15.1467    10.9474    R_PO
4.508      11.4856    9.2274     R_ZTS
2.7354     0.5442     3.8836     L_PR2
4.8906     4.1138     9.5528     L_PMS
9.6471     4.8215     8.2552     L_ZMI
8.0962     5.2334     11.3515    L_ZMU
6.6475     6.271      12.3984    L_DA
7.6545     4.9775     13.6494    L_MTI
8.1539     5.6377     14.7995    L_MTS
9.4479     4.7111     12.7566    L_FMO
10.4043    5.1009     12.8724    L_FMT
14.6608    9.0848     11.1828    L_PO
11.4829    5.2451     9.3903     L_ZTS
3.1781     0.2728     3.9715     O1
4.8887     9.8203     14.1051    O2
14.2119    7.0206     10.0639    O3
14.4305    13.4073    13.5958    O4







































































































































































5.8645     6.2302     13.9581    GLRH
5.8956     6.2928     13.729
5.9498     6.3103     13.5101
5.9578     6.3043     13.3241
5.9589     6.3537     13.1225
6.0001     6.3779     12.9772
6.0674     6.4045     12.7445
6.0564     6.409      12.5682
6.001      6.3469     12.324
5.9631     6.2642     12.1373
5.8787     6.2159     11.9468
5.7779     6.1184     11.7268
5.7301     6.0426     11.617
5.6385     5.9459     11.4541
5.5649     5.857      11.3031
5.5318     5.7317     11.2021
5.4402     5.628      11.0881
5.3714     5.5        10.984
5.305      5.4163     10.8967
5.2052     5.2942     10.7637
5.0737     5.2296     10.624
4.9517     5.0736     10.4647
