AMNH       81811      phu3ms10.xls
24.0803    22.6188    -15.5803   IN
19.1612    18.9866    -17.8568   BR
13.7645    14.9828    -15.4536   GL
13.8852    14.9905    -14.8369   NA
10.837     11.795     -7.7103    RH
8.689      9.7642     -3.3554    NS
8.6751     9.7176     -1.9984    PR
9.567      9.1522     -2.1999    R_PR2
11.9637    11.6443    -8.3701    R_PMS
17.2719    11.6896    -8.9713    R_ZMI
15.7653    13.4775    -12.7718   R_ZMU
14.6418    14.8098    -13.5841   R_DA
15.7613    13.1722    -15.5101   R_MTI
16.2938    13.9559    -16.5902   R_MTS
17.3582    12.813     -14.3189   R_FMO
18.5651    12.3942    -14.3348   R_FMT
24.1431    16.6803    -12.7381   R_PO
19.9592    11.8599    -10.9211   R_ZTS
8.377      10.6246    -1.9713    L_PR2
11.0166    13.1418    -8.5012    L_PMS
12.0099    18.4558    -8.4324    L_ZMI
12.954     17.0716    -12.4839   L_ZMU
14.0224    15.6343    -13.8334   L_DA
12.6555    16.9693    -15.2081   L_MTI
13.486     17.4261    -16.3995   L_MTS
12.7518    18.8164    -13.7381   L_FMO
12.7042    20.0286    -13.6663   L_FMT
18.3818    24.0816    -12.1736   L_PO
12.8156    21.232     -10.1948   L_ZTS
8.268      9.8811     -1.479     O1
12.0595    19.1947    -11.0697   O2
15.9026    23.7632    -10.701    O3
21.2791    23.1278    -15.2174   O4







































































































































































13.8338    14.8875    -15.2969   GLRH
13.9088    14.9528    -14.9352
14.0119    15.0628    -14.425
14.0963    15.0637    -14.1902
14.1354    15.0543    -13.9078
14.1219    15.044     -13.7136
14.0988    14.9877    -13.4364
14.0402    14.9179    -13.197
13.9829    14.874     -13.0455
13.8947    14.7826    -12.7969
13.8296    14.6958    -12.5934
13.7551    14.6062    -12.3938
13.6883    14.5049    -12.2066
13.6302    14.4481    -12.0487
13.5295    14.3498    -11.8958
13.4223    14.2796    -11.7265
13.3333    14.2051    -11.5861
13.243     14.1034    -11.4529
13.1591    14.0345    -11.2611
13.0937    13.924     -11.0869
12.9686    13.8034    -10.9642
12.8851    13.7551    -10.8604
12.745     13.6395    -10.6951
12.6301    13.5792    -10.5254
12.5368    13.4705    -10.4139
12.4142    13.3293    -10.2502
12.34      13.2628    -10.1614
12.1695    13.1676    -9.9651
12.0749    13.0278    -9.8287
11.9708    12.9031    -9.652
11.9073    12.7479    -9.4755
11.802     12.6851    -9.3241
11.662     12.5476    -9.1263
11.5473    12.4067    -8.9362
11.4386    12.3082    -8.8105
11.3386    12.1842    -8.6528
11.2437    12.0747    -8.5221
11.1703    12.0213    -8.4143
11.0535    11.9397    -8.2482
11.001     11.8595    -8.0872
10.9123    11.7796    -7.9366
10.8535    11.7262    -7.7967
10.8435    11.709     -7.7519





























































































































































10.8097    11.7648    -7.7189    NOSE
10.849     11.5663    -7.6595
10.8977    11.279     -7.5245
11.1433    11.1871    -7.3462
11.1754    10.9388    -7.1855
11.1275    10.7809    -7.02
11.0867    10.5615    -6.8391
11.056     10.4186    -6.6417
11.0238    10.3072    -6.4094
10.944     10.2009    -6.2224
10.8003    10.1124    -6.0387
10.7302    9.9981     -5.8574
10.6504    9.9172     -5.5781
10.5173    9.8342     -5.2478
10.347     9.7611     -5.0132
10.0377    9.6527     -4.7521
9.8369     9.6352     -4.5502
9.6066     9.6571     -4.3737
9.4178     9.6784     -4.224
9.2494     9.6352     -4.0732
9.0326     9.6481     -3.9316
8.9214     9.6304     -3.7846
8.8856     9.6731     -3.7267
8.7574     9.7238     -3.4038
8.6296     9.8509     -3.4387
8.503      9.9748     -3.5242
8.4719     10.0857    -3.7164
8.4244     10.2123    -3.8737
8.3782     10.368     -3.9936
8.389      10.5292    -4.1002
8.3482     10.7016    -4.1661
8.392      10.8734    -4.2216
8.4166     11.079     -4.3329
8.4251     11.3672    -4.504
8.4917     11.5773    -4.7414
8.6292     11.7184    -4.9858
8.767      11.8807    -5.2338
8.757      11.91      -5.2642
8.8093     11.9825    -5.4065
8.9328     12.0606    -5.6064
9.0343     12.1577    -5.7991
9.1078     12.221     -5.9851
9.2329     12.3381    -6.2435
9.3741     12.4214    -6.4359
9.5209     12.4279    -6.6634
9.7207     12.3575    -6.9153
9.9484     12.316     -7.0803
10.1243    12.2832    -7.256
10.2221    12.119     -7.3354
10.3541    12.0187    -7.4776
10.5109    11.9953    -7.6203
10.6535    11.9019    -7.7204
10.7463    11.7798    -7.7258
10.8157    11.7549    -7.7338


















































































































































8.7185     9.704      -3.3701    NASP-PR
8.7146     9.6669     -3.2721
8.6801     9.6582     -3.1024
8.663      9.6482     -2.9308
8.6604     9.6218     -2.8051
8.684      9.6355     -2.6271
8.681      9.6255     -2.5192
8.6913     9.6333     -2.3309
8.6963     9.622      -2.2703
8.747      9.6219     -2.1685
8.7486     9.6528     -2.0503
8.7975     9.6699     -2.0021




























































































































































