NME        RVRME  KL 3To3sf
34.2157    -8.4964    7.0344
34.2908    -8.4964    6.8867
34.3784    -8.5079    6.7722
34.4585    -8.4991    6.6278
34.5277    -8.4859    6.5091
34.5769    -8.5061    6.3622
34.6627    -8.5271    6.1859
34.6873    -8.5436    6.0595
34.7386    -8.5564    5.8885
34.8107    -8.5762    5.7175
34.852     -8.5759    5.5681
34.903     -8.5599    5.3652
34.9782    -8.5632    5.1594
34.9731    -8.5346    4.9516
34.9624    -8.4091    4.7816










































































































































































31.1903    -6.8787    9.7834     L-PM/MAX
31.2668    -6.8128    9.6895
31.401     -6.7141    9.5872
31.5243    -6.6649    9.4782
31.6233    -6.5183    9.3815
31.7512    -6.4341    9.2545
31.8268    -6.4015    9.1506
31.931     -6.3437    9.0715
32.0269    -6.2708    8.949
32.1241    -6.1687    8.8068
32.2022    -6.0722    8.6354
32.2931    -5.9527    8.5191
32.4105    -5.8267    8.377
32.5107    -5.6222    8.254
32.642     -5.6217    8.1555
32.7512    -5.5375    8.0221
32.8322    -5.4091    7.8886
32.9398    -5.3296    7.7254
33.0422    -5.2354    7.5759
33.1117    -5.1744    7.4396
33.1769    -5.1293    7.3288
33.237     -5.0427    7.1942
33.322     -4.9779    7.0354
33.3923    -4.9413    6.9291
33.3863    -4.9177    6.8034
33.4372    -4.9553    6.9208
33.5057    -4.9042    6.7663
33.5689    -4.8126    6.5154
33.6416    -4.7657    6.3405
33.7002    -4.7664    6.2126
33.7252    -4.6921    6.0695
33.7841    -4.6813    5.9305
33.857     -4.6295    5.7687
33.8742    -4.5214    5.6007
33.9264    -4.416     5.3921
33.9989    -4.4539    5.1188
34.0869    -4.4557    4.9767
34.0559    -4.5969    4.6243


































































































































































31.3419    -10.6227   5.4206     ROSTRUM
31.3757    -10.6413   5.6
31.3929    -10.6711   5.7837
31.3862    -10.6445   5.9231
31.3787    -10.603    6.0755
31.338     -10.5854   6.1929
31.3669    -10.5415   6.3458
31.3668    -10.4911   6.494
31.3691    -10.4305   6.6334
31.3559    -10.4205   6.7492
31.3427    -10.3504   6.9368
31.3675    -10.3068   7.0281
31.3728    -10.2702   7.1116
31.4049    -10.1994   7.2626
31.3877    -10.1598   7.4225
31.3925    -10.0899   7.6082
31.3954    -10.0683   7.6815
31.4124    -10.0128   7.8353
31.417     -9.9752    7.9339
31.4173    -9.9619    8.0181
31.4507    -9.8854    8.1654
31.4282    -9.8505    8.2554
31.4694    -9.7968    8.3601
31.4657    -9.7199    8.5169
31.4398    -9.6467    8.6615
31.4444    -9.5759    8.7551
31.4228    -9.4974    8.8665
31.4032    -9.358     9.0357
31.3301    -9.2732    9.1375
31.3085    -9.1507    9.2339
31.2611    -9.0435    9.3456
31.2351    -8.9177    9.433
31.164     -8.7818    9.5457
31.0926    -8.5604    9.6087
31.0138    -8.4323    9.6772
31.0002    -8.3184    9.7858
30.9628    -8.1759    9.8839
30.9693    -8.0699    9.9407
30.8833    -7.9264    9.9652
30.8921    -7.7951    10.0562
30.8767    -7.7603    10.0581
30.6452    -7.0076    10.0473
30.6309    -6.8483    9.9266
30.5962    -6.8003    9.8206
30.552     -6.6669    9.7778
30.5253    -6.5204    9.693
30.4994    -6.4518    9.6283
30.4782    -6.3061    9.5701
30.4505    -6.1567    9.5098
30.4611    -6.0917    9.4065
30.4165    -5.8878    9.2969
30.3932    -5.7578    9.1909
30.3837    -5.6771    9.1136
30.3523    -5.5766    8.9964
30.3366    -5.5109    8.8583
30.2699    -5.4545    8.7337
30.2965    -5.369     8.573
30.2782    -5.333     8.4454
30.2712    -5.2985    8.3242
30.2724    -5.2698    8.1998
30.255     -5.2356    8.0818
30.2206    -5.1988    7.9513
30.2239    -5.1327    7.703
30.2128    -5.0952    7.5839
30.2024    -5.0718    7.4903
30.167     -5.0103    7.3413
30.1758    -4.9588    7.2139
30.1686    -4.9349    7.0861
30.1448    -4.8942    7.0088
30.168     -4.8492    6.8715
30.1597    -4.8101    6.7612
30.1168    -4.7806    6.6506
30.1153    -4.7185    6.4053
30.1185    -4.6838    6.28
30.0714    -4.645     6.093
30.0837    -4.6233    5.9325
30.0602    -4.6262    5.8115
30.0438    -4.626     5.6896
30.0549    -4.6268    5.5714
30.0712    -4.6687    5.4577
30.076     -4.6856    5.3743























































































































27.9675    -13.2089   12.5872    SUPORB
27.9679    -13.1932   12.8204
27.9042    -13.1551   12.9755
27.9265    -13.124    13.1838
27.8842    -13.0605   13.3646
27.8504    -12.9952   13.5216
27.8841    -12.9011   13.7066
27.8494    -12.8457   13.8237
27.9188    -12.6535   14.0768
27.9154    -12.5561   14.1865
27.8346    -12.4579   14.4023
27.8311    -12.2298   14.523
28.0237    -11.789    14.7511
28.1797    -11.5241   14.8259
28.4012    -11.237    14.8904
28.4291    -11.0679   14.9333
28.401     -10.8663   14.9774
28.449     -10.6204   15.021
28.4544    -10.3339   15.0492
28.3763    -10.0054   15.0839
28.3293    -9.742     15.0792
28.3199    -9.5597    15.0604
28.3283    -9.3315    15.0646
28.3197    -9.1099    15.0023
28.2492    -8.9131    15.0148
28.1719    -8.5646    14.9304
28.0165    -8.4493    14.9377
27.9348    -8.3172    14.9435
27.8855    -8.185     14.9497
27.8939    -8.07      14.96
27.9397    -7.6017    15.052
27.9009    -7.4525    15.0735
27.8445    -7.22      15.0961
27.8246    -7.0236    15.0804
27.7583    -6.8174    15.1139
27.6353    -6.4924    15.1435
27.635     -6.3784    15.1381
27.5495    -6.25      15.1695
27.4596    -6.1151    15.1609
27.3716    -5.9704    15.1531
26.9375    -5.8002    15.1317
26.7448    -5.6732    15.0894
26.566     -5.5127    15.023
26.4426    -5.3823    14.917
26.3725    -5.2573    14.873
26.1779    -5.1332    14.8114
26.0771    -4.9724    14.7069
25.9852    -4.9362    14.716
25.874     -4.8746    14.7369
25.7731    -4.8059    14.7304
25.7367    -4.7629    14.5619
25.6797    -4.5854    14.3983
25.6849    -4.4952    14.29
25.6556    -4.453     14.2028
25.6045    -4.3497    14.0514
25.581     -4.3072    13.892
25.5755    -4.287     13.7835
25.5795    -4.2454    13.6303
25.671     -4.1749    13.4149
25.6002    -4.0947    13.2259
25.5933    -4.0951    13.0554











































































































































29.1469    -9.9857    11.179     RORBIT
29.2053    -10.1475   11.1368
29.2395    -10.3661   11.1243
29.2656    -10.5897   11.07
29.2403    -10.7483   11.1132
29.2037    -10.8922   11.1546
29.1732    -11.0075   11.1929
29.0848    -11.1445   11.2751
29.0145    -11.2771   11.3709
28.9608    -11.4131   11.4574
28.8733    -11.533    11.6215
28.7496    -11.5747   11.7025
28.6449    -11.7175   12.0576
28.5784    -11.8738   12.2732
28.5302    -12.0293   12.5094
28.4495    -12.0429   12.7069
28.4709    -12.0159   12.9451
28.5692    -11.9254   13.3023
28.586     -11.88     13.4078
28.681     -11.8321   13.5322
28.7085    -11.7926   13.6737
28.7572    -11.7173   13.8045
28.8445    -11.555    13.9264
28.8602    -11.4706   13.9642
28.8616    -11.3537   14.0527
28.8695    -11.1954   14.0914
28.884     -11.0892   14.1339
28.9185    -10.908    14.1993
28.929     -10.7562   14.2048
28.9287    -10.5956   14.252
28.9411    -10.4805   14.2646
28.9592    -10.3792   14.3365
28.9488    -10.2852   14.3219
28.9099    -10.1589   14.2831
28.871     -10.0612   14.2293
28.8464    -9.9399    14.2145
28.8437    -9.8539    14.2221
28.8495    -9.7099    14.2243
28.8036    -9.5243    14.3145
28.7668    -9.3178    14.3034
28.7076    -9.2448    14.2571
28.6664    -9.155     14.2843
28.6426    -9.0919    14.2944
28.6161    -8.9796    14.2669
28.577     -8.8804    14.128
28.53      -8.7918    13.8167
28.5305    -8.7965    13.6691
28.5528    -8.7365    13.5453
28.5431    -8.7065    13.4599
28.543     -8.6962    13.3219
28.5481    -8.6714    13.2112
28.528     -8.6548    13.0714
28.5264    -8.6478    12.9613
28.4787    -8.6118    12.7674
28.4787    -8.6368    12.5605

















































































































































28.4718    -6.1463    11.0475    LORBIT
28.4507    -6.0005    11.0403
28.3012    -5.8996    11.0391
28.3022    -5.7705    11.0437
28.2187    -5.6509    11.0544
28.1901    -5.5451    11.0403
28.0515    -5.448     11.0878
27.9724    -5.3684    11.1368
27.9002    -5.2986    11.2078
27.855     -5.1831    11.2697
27.7465    -5.156     11.3169
27.6671    -5.0354    11.4009
27.599     -5.0258    11.506
27.5436    -4.9847    11.5739
27.466     -4.953     11.6443
27.3736    -4.9495    11.7498
27.3434    -4.9023    11.8247
27.2062    -4.8062    12.0487
27.1515    -4.7935    12.1577
26.9941    -4.7354    12.3026
26.5935    -4.718     12.5977
26.6508    -4.6905    12.932
26.6508    -4.7214    13.0793
26.652     -4.7805    13.2607
26.7274    -4.7533    13.4485
26.7941    -4.8217    13.587
26.9291    -4.934     13.7965
27.0332    -4.9507    13.9118
27.1528    -5.0126    14.0293
27.2979    -5.1314    14.184
27.353     -5.2713    14.1708
27.4101    -5.3783    14.2114
27.5522    -5.501     14.2665
27.6687    -5.612     14.3074
27.7633    -5.7505    14.344
27.8674    -5.8814    14.3414
27.9636    -6.0259    14.3607
27.9931    -6.1332    14.3987
27.983     -6.2517    14.2849
28.0053    -6.3768    14.2404
28.1129    -6.5508    14.2866
28.1302    -6.6087    14.2931
28.109     -6.7511    14.2142
28.0955    -6.9696    14.2274
28.0722    -7.0807    14.2418
28.1021    -7.2086    14.226
28.1955    -7.4109    13.9945
28.2346    -7.477     13.8314
28.283     -7.5098    13.6835
28.3275    -7.5486    13.5439
28.3678    -7.592     13.2643
28.3777    -7.6123    13.0314
28.3746    -7.6149    12.8662
28.4102    -7.5633    12.6854
28.4417    -7.5321    12.5176

















































































































































27.9586    -13.1867   12.8857    RTEMFOS
28.0189    -13.2099   12.6368
28.0593    -13.1789   12.4205
28.1296    -13.1627   12.2129
28.2006    -13.1346   12.0338
28.2806    -13.1156   11.9082
28.36      -13.0647   11.7029
28.4188    -13.052    11.5409
28.7325    -12.6569   10.8492
28.8358    -12.8043   10.6817
28.8631    -12.8534   10.6028
28.9358    -12.9476   10.428
28.936     -12.9822   10.3389
28.9651    -13.0477   10.2503
28.9898    -13.1025   10.1723
29.032     -13.201    10.0194
29.0702    -13.3172   9.9139
29.0336    -13.3926   9.807
29.0722    -13.5024   9.7279
29.0464    -13.5732   9.6711
29.0816    -13.752    9.5728
29.0058    -13.9025   9.5142
28.9766    -14.0123   9.4788
28.931     -14.1697   9.5079
28.9027    -14.2639   9.4809















































































































































































25.4812    -3.9811    12.9478    LTEMFOS
25.5488    -3.9422    12.7849
25.6391    -3.9012    12.5953
25.7196    -3.8799    12.4664
25.8174    -3.8715    12.1588
25.8699    -3.8677    11.9495
26.0169    -3.862     11.7466
26.0653    -3.8489    11.5072
26.1827    -3.9828    11.2605
26.8328    -3.7592    10.5949
26.9212    -3.6041    10.4166
26.9003    -3.4778    10.2416
26.9209    -3.4533    10.0561
26.9094    -3.2667    9.9006
26.8568    -3.1395    9.8379
26.693     -2.8962    9.6629
26.5654    -2.7707    9.5898
26.2549    -2.5652    9.552
25.9718    -2.5959    9.7223
25.6862    -2.5602    9.8194
25.4111    -2.4639    9.8983
25.3389    -2.4532    9.9066
25.1798    -2.4859    9.9688
25.1029    -2.463     10.0083
















































































































































































31.8435    -7.9813    12.7195    OP
29.9248    -8.1669    12.6555    BA
24.119     -8.765     13.0414    ST
9999       9999       9999       IV
9999       9999       9999       R_PG
27.3872    -15.203    11.5131    R_ZTI
22.8156    -12.1672   14.3736    R_M3D
19.6196    -12.8541   14.2992    R_M12
16.838     -12.5945   14.4876    R_MP3
15.3409    -11.9888   14.428     R_PMI
9999       9999       9999       L_PG
25.0189    -1.9158    12.6084    L_ZTI
21.9629    -6.5967    14.9575    L_M3D
18.581     -6.8256    14.8689    L_M12
16.3068    -7.8617    14.8094    L_MP3
14.6423    -8.6424    14.6157    L_PMI
16.4613    -12.4323   13.3068    O1
21.0672    -3.6718    12.2279    O2
24.8078    -11.964    6.1602     O3
33.825     -6.6359    9.8361     O4








































