LSZT       R18        Phu178sf
0.8135     21.8207    13.2876    IN
0.6281     17.2495    16.5531    BR
0.5475     10.8823    16.3968    GL
0.5581     10.7087    15.9315    NA
0.6507     4.3972     9.574      RH
0.5935     1.8235     6.2968     NS
0.5707     1.315      4.4771     PR
-0.531     1.5068     4.6647     R_PR2
-0.0881    5.3774     10.1602    R_PMS
-3.4467    9.4222     9.8356     R_ZMI
-1.4961    10.3045    13.7749    R_ZMU
-0.0324    10.4005    14.7487    R_DA
-1.53      11.1173    16.1466    R_MTI
-1.1491    12.0283    16.9975    R_MTS
-3.1813    11.4597    14.6333    R_FMO
-3.9573    12.1245    14.7024    R_FMT
-3.7165    17.8572    11.3247    R_PO
-4.8902    11.7012    11.1515    R_ZTS
1.6877     1.4561     4.7377     L_PR2
1.1253     6.1487     10.6382    L_PMS
4.7014     9.5142     9.8852     L_ZMI
2.5311     10.4145    13.7604    L_ZMU
1.0526     10.4419    14.7875    L_DA
2.8015     11.1047    16.1207    L_MTI
2.6275     12.1471    16.8615    L_MTS
4.266      11.5226    14.5836    L_FMO
5.033      12.2334    14.6219    L_FMT
5.0285     17.6498    11.1697    L_PO
6.0656     11.7516    11.1424    L_ZTS
1.4872     1.3338     6.0976     O1
-2.9163    12.9375    15.9195    O2
6.4625     13.6917    11.0237    O3
0.0886     21.7036    12.9995    O4







































































































































































0.569      10.8668    16.4216    GLRH
0.5529     10.8295    16.238
0.5598     10.7463    16.028
0.5724     10.6787    15.921
0.5504     10.5901    15.6977
0.5171     10.4633    15.4628
0.5292     10.3491    15.2987
0.5295     10.2473    15.1453
0.5062     10.1213    14.9511
0.4861     9.9849     14.7841
0.4933     9.8442     14.6168
0.5076     9.7312     14.4628
0.5215     9.4849     14.1683
0.5394     9.3023     13.9703
0.5528     9.1221     13.7477
0.5682     8.9112     13.5171
0.5794     8.7309     13.2888
0.5734     8.5784     13.1316
0.5675     8.4568     12.9816
0.5671     8.2473     12.794
0.5714     8.0645     12.6066
0.5775     7.9128     12.4322
0.5784     7.6961     12.2102
0.5842     7.5084     12.0343
0.5551     7.203      11.8097
0.5105     7.0143     11.6396
0.5511     6.664      11.3765
0.5303     6.3877     11.2165
0.56       6.1462     11.0771
0.5504     5.9629     10.9584
0.5254     5.7155     10.7818
0.5008     5.5311     10.6341
0.4954     5.3581     10.5262
0.5179     5.0814     10.3447
0.5248     4.9509     10.2057
0.5763     4.804      10.0684
0.5165     4.6307     9.9157
0.5371     4.5435     9.8235
0.5397     4.4216     9.6094

































































































































































0.5903     4.3861     9.6055     NOSE
0.3652     4.3629     9.6181
0.2324     4.311      9.5481
0.0653     4.2898     9.4662
-0.0704    4.242      9.3957
-0.1757    4.1403     9.294
-0.2674    3.9475     9.0683
-0.3678    3.7254     8.8759
-0.4238    3.5431     8.6389
-0.5335    3.3325     8.4186
-0.5539    3.2129     8.2579
-0.6422    3.0268     8.0265
-0.7054    2.8831     7.7728
-0.6891    2.6939     7.5719
-0.6127    2.5204     7.305
-0.6025    2.3663     7.0815
-0.5287    2.1357     6.8564
-0.3428    1.9598     6.7879
-0.1947    1.8465     6.6685
0.0159     1.8296     6.6578
0.1728     1.7865     6.6101
0.2031     1.7509     6.5617
0.3868     1.7801     6.4053
0.5438     1.7239     6.2523
0.6744     1.7562     6.2444
0.8259     1.7546     6.451
1.0058     1.7603     6.5559
1.2339     1.8448     6.6493
1.4604     1.9524     6.7479
1.6446     2.0996     6.8309
1.7515     2.161      6.9049
1.8682     2.3115     7.068
1.9157     2.4282     7.2545
1.932      2.5591     7.3888
1.9375     2.6783     7.6019
1.9095     2.7798     7.7496
1.9261     2.9357     7.9187
1.9398     3.0275     8.0416
1.9064     3.2724     8.2829
1.7483     3.4806     8.5332
1.6213     3.7867     8.764
1.5204     3.9591     8.9722
1.4401     4.09       9.1384
1.3206     4.2822     9.2702
1.1565     4.3478     9.4132
0.9627     4.3388     9.5473
0.5907     4.3993     9.6323

























































































































































