AMNH       89439      Prvm002z
18.4827    18.8373    7.8364
18.5272    19.0679    8.1658
18.4551    19.202     8.2248
18.3902    19.3008    8.1955
18.2223    19.4077    8.1751
17.9017    19.553     7.673
17.5758    19.6451    7.4392
17.4098    19.7348    7.142
17.2478    19.7625    6.8002
17.2034    19.8457    6.6875
17.0946    19.8549    6.4561
17.0089    19.7895    6.2506
16.8536    19.747     6.0454
16.7343    19.7455    5.8437
16.5356    19.6939    5.6631












































































































































































19.1543    16.2377    8.6598     SUPORB
19.1088    16.4471    8.9726
19.0115    16.5325    9.17
18.9218    16.6561    9.2734
18.8165    16.8506    9.3763
18.705     17.1208    9.49
18.6679    17.2893    9.5172
18.5659    17.7133    9.5579
18.4876    18.1269    9.463
18.2871    18.4491    9.4819
18.0955    18.9554    9.3522
17.9776    19.118     9.3462
17.8408    19.2261    9.382
17.6996    19.2699    9.449
17.3278    19.4348    9.5617
17.1585    19.4824    9.5468
16.7373    19.7278    9.5307
16.5618    19.7279    9.5359
16.4444    19.8848    9.5028
16.3086    19.8889    9.4859
16.0241    20.0918    9.3919
15.8966    20.1983    9.2737
15.8323    20.2681    9.1596
15.6598    20.3753    8.9254
15.6337    20.4977    8.817
15.6989    20.5469    8.6584
15.609     20.5863    8.5857













































































































































































18.8907    17.6254    7.183      RORBIT
18.9822    17.4936    7.1707
19.0468    17.281     7.2035
19.1052    17.0302    7.3103
19.1106    16.874     7.4746
19.1349    16.71      7.7402
19.1129    16.6319    7.9695
19.0941    16.5794    8.1246
19.1043    16.5883    8.3886
19.1142    16.6405    8.7062
19.0159    16.85      8.9294
18.8979    17.0451    9.0767
18.7784    17.2942    9.1408
18.7223    17.4368    9.2067
18.6081    17.6336    9.1946
18.5778    17.7967    9.1813
18.5009    17.9617    9.2242
18.444     18.1417    9.27
18.3649    18.3295    9.2103
18.2985    18.6557    8.8471
18.0454    18.4195    8.5716



















































































































































































16.7958    20.1765    7.2548     LORBIT
16.4634    20.3244    7.2721
16.1788    20.4174    7.4703
16.0724    20.424     7.6325
15.9609    20.5013    7.8465
15.9193    20.4583    8.3958
16.0109    20.3558    8.8006
16.1132    20.2659    8.9499
16.2259    20.1777    9.0538
16.4836    20.0061    9.1902
16.7655    19.8121    9.2392
16.8801    19.723     9.2353
17.0396    19.6069    9.2274
17.1726    19.5503    9.2766
17.3567    19.4833    9.2963
17.6263    19.3188    9.0997
17.7115    19.2518    8.9914
17.7895    19.2455    8.8721
17.4517    18.9551    8.4815





















































































































































































19.1854    16.2667    8.5516     RTEMFOS
19.2158    16.1737    8.2478
19.3328    16.1675    8.1396
19.4039    16.1395    7.9833
19.3242    16.1035    7.733
19.3931    16.0672    7.6188
19.3212    15.9299    7.3488
19.2842    15.8024    7.1766
19.2119    15.6993    7.0988
19.1565    15.542     7.0132
18.9918    15.3645    7.0031
18.8899    15.1957    7.0102
18.8233    15.0864    7.0229
18.6311    14.7965    7.1152
18.5782    14.794     7.0858

























































































































































































15.5887    20.4835    8.6449     LTEMFOS
15.4611    20.5957    8.5293
15.4328    20.6304    8.3483
15.4853    20.7311    8.2814
15.543     20.7484    8.0851
15.4853    20.7013    7.8608
15.412     20.7289    7.6641
15.3268    20.7181    7.3802
15.1934    20.6704    7.2454
15.0384    20.6097    7.1692
14.8752    20.5694    7.1595
14.541     20.5192    7.0554
14.4988    20.3876    7.193
14.1677    20.2532    7.2458
14.0026    20.1173    7.2744
13.8681    20.077     7.2829
























































































































































































18.5713    19.3982    8.1067     OP
