UWMA       T91-35     Ppx3stv
12.8058    25.3437    5.6093     IN
12.5677    22.715     10.1609    BR
12.4606    16.1409    9.7356     GL
12.4559    16.1533    9.7359     NA
12.6462    12.8543    7.7155     RH
9999       9999       9999       NS
9999       9999       9999       PR
9999       9999       9999       R_PR2
11.9388    13.8669    7.8918     R_PMS
9.5753     15.5504    4.8732     R_ZMI
10.3944    15.9172    7.6515     R_ZMU
11.8142    16.1475    8.7398     R_DA
10.9148    16.8009    9.8089     R_MTI
10.711     17.1267    10.3472    R_MTS
9.316      17.297     8.702      R_FMO
8.666      18.0374    8.7266     R_FMT
9999       9999       9999       R_PO
9999       9999       9999       R_ZTS
9999       9999       9999       L_PR2
13.1366    13.859     8.0127     L_PMS
9999       9999       9999       L_ZMI
14.8004    15.738     7.9515     L_ZMU
13.2959    16.102     8.7712     L_DA
14.4911    16.8741    10.2417    L_MTI
14.4614    17.0933    10.5703    L_MTS
15.8931    17.0258    8.9569     L_FMO
9999       9999       9999       L_FMT
9999       9999       9999       L_PO
9999       9999       9999       L_ZTS
11.5037    10.0796    5.2901     O1
9.1574     16.1635    6.8616     O2
16.7801    20.8112    7.2553     O3
11.2914    24.8236    8.2437     O4







































































































































































12.4143    16.1344    9.7103     GLRH
12.4394    15.9552    9.5094
12.4407    15.8491    9.38
12.4342    15.6466    9.1309
12.4431    15.3857    8.9559
12.454     15.1948    8.8757
12.4527    15.0124    8.7909
12.4714    14.8083    8.6908
12.4274    14.7055    8.6258
12.4341    14.5428    8.5352
12.4706    14.3113    8.4849
12.5089    14.0516    8.4498
12.498     13.8503    8.3742
12.5451    13.6374    8.2195
12.5462    13.4248    8.0976
12.565     13.253     7.9845
12.5726    13.0777    7.8965
12.5983    12.9531    7.812
12.6153    12.8679    7.7178





















































































































































































9999       9999       9999       NOSE







































































































































































































9999       9999       9999       NASP-PR







































































































































































































11.9147    13.9062    7.8881     R-PM/MAX
11.8553    13.7137    7.7599
11.7606    13.4273    7.6109
11.7206    13.2302    7.4661
11.6416    13.034     7.3099
11.5886    12.8488    7.1382
11.538     12.6727    7.0248
11.4857    12.4907    6.9279
11.4161    12.1963    6.7444
11.3531    11.9733    6.5815
11.2914    11.799     6.4185
11.2708    11.6632    6.2574
11.2703    11.4773    6.0691
11.2399    11.2259    5.8437
11.2264    11.1089    5.6988
11.1562    10.9304    5.4454
11.0989    10.782     5.3293
11.0254    10.696     5.0839
