FSM        47993      Phq7stv
0.9289     6.7913     10.6789    L-PM/MAX
1.0998     6.442      10.4629
1.2024     6.2343     10.3207
1.3019     6.0122     10.1737
1.3946     5.7885     10.0305
1.4608     5.6224     9.8891
1.5629     5.4131     9.7519
1.7215     5.1851     9.5357
1.8208     4.9975     9.3517
1.9868     4.7594     9.0503
2.0402     4.6508     8.8997
2.1273     4.5256     8.723
2.2368     4.4739     8.5438
2.2823     4.3521     8.3161
2.3824     4.2809     8.0813
2.4226     4.2452     7.9118
2.4832     4.2151     7.646
2.5029     4.1013     7.4714
2.7019     4.0303     7.128
2.7954     3.9329     6.9109
2.8792     3.8724     6.695
2.9119     3.8177     6.2944
2.9425     3.7853     6.0475
2.9129     3.7281     5.8398
2.8681     3.8115     5.5755
2.8342     3.8224     5.4067
2.6642     3.8744     5.1973













































































































































































-2.8167    7.2371     5.9637     ROSTRUM
-2.773     7.0797     6.2463
-2.7776    6.9908     6.5721
-2.7002    6.9578     6.7565
-2.5295    6.9169     7.0255
-2.4327    6.9232     7.2038
-2.2993    6.9461     7.3988
-2.1742    6.921      7.5556
-2.0412    6.8927     7.7536
-1.95      6.9064     7.9663
-1.8587    6.8745     8.2468
-1.83      6.8712     8.4234
-1.8171    6.7443     8.6861
-1.7819    6.6816     8.9322
-1.7662    6.661      9.1411
-1.7689    6.6322     9.392
-1.7592    6.6223     9.6139
-1.7806    6.5885     9.7707
-1.792     6.5496     10.039
-1.7641    6.5244     10.3555
-1.7047    6.4938     10.592
-1.577     6.4704     10.7491
-1.4167    6.5209     10.8624
-1.144     6.6077     10.9051
-0.8592    6.6506     10.8212
-0.6912    6.6595     10.7906
-0.5448    6.6912     10.8191
-0.3727    6.6816     11.1131
-0.186     6.7323     11.2641
-0.0006    6.7501     11.3465
0.2364     6.7976     11.3651
0.4522     6.8331     11.2939
0.6637     6.8953     11.1991
0.8397     7.0288     11.0057
0.9215     7.0867     10.931
1.1289     7.1062     10.8921
1.3257     7.1086     10.8663
1.5565     7.0725     10.9019
1.8598     7.1463     10.8459
2.0555     7.2338     10.791
2.1969     7.4221     10.5164
2.2419     7.4412     10.3352
2.169      7.5661     10.204
1.9341     7.4921     9.7688
1.9337     7.4708     9.4312
1.8972     7.4423     9.2195
1.9099     7.5726     8.8993
2.0112     7.4045     8.5657
2.0196     7.4593     8.2541
2.0331     7.5778     8.0124
2.1768     7.6108     7.7408
