UWMA       T90-87     Ppx4stv
9.7227     16.3726    9.9656
9.9532     16.3654    9.9628
10.1098    16.3141    9.9416
10.5093    16.3029    9.9687
10.7154    16.4155    10.0425
10.8653    16.4894    10.0404
11.1138    16.6573    10.0935
11.5071    16.6608    10.094
11.9124    16.7251    10.0807
12.1708    16.7349    10.0643
12.5013    16.7417    10.0293
12.8113    16.8176    10.0139
13.0987    16.8884    9.9286
13.2658    16.9687    9.8927
13.4319    17.1026    9.8105
13.6795    17.2127    9.6286
13.8642    17.3433    9.5269
14.1143    17.4374    9.2354
14.1867    17.4615    9.0848
14.2085    17.4547    8.932
14.2516    17.4097    8.7727
































































































































































8.07       15.9537    7.0634     RORBIT
7.642      16.1979    7.1279
7.3893     16.338     7.1941
7.1839     16.5676    7.3754
7.0226     16.8517    7.6662
6.9959     16.9022    7.8061
6.9333     16.9259    7.9878
6.8973     16.957     8.1718
6.9423     16.93      8.3429
7.0608     16.8737    8.5786
7.2551     16.86      8.7238
7.3761     16.7348    8.8152
7.5027     16.5818    9.0361
7.6216     16.5222    9.0707
7.837      16.4102    9.1514
8.0294     16.3798    9.203
8.1542     16.3185    9.2758
9.3411     16.2289    9.3981
9.49       16.1043    9.3022
9.576      16.048     9.1939
9.6579     16.0316    9.0015
9.6485     15.9816    8.7597
9.7124     15.8387    8.5472
9.6962     15.7675    8.3186
9.6595     15.6948    8.1682















































































































































































12.1999    15.599     7.1937     LORBIT
12.3986    15.6935    7.1775
12.5563    15.7392    7.1945
12.7665    15.833     7.2493
12.9055    15.8917    7.3031
13.0922    16.0492    7.4731
13.1674    16.1594    7.5868
13.3091    16.2289    7.693
13.3873    16.3505    7.8101
13.3911    16.4529    8.0083
13.5353    16.5593    8.2205
13.5437    16.7041    8.4306
13.5851    16.7199    8.711
13.4102    16.679     8.9701
