KNM        WT 16828   Tb7stv
13.0242    12.9766    12.1906
13.2321    12.9374    12.2462
13.3586    12.8421    12.2954
13.5513    12.7188    12.3671
13.7527    12.5576    12.3879
13.9449    12.363     12.3761
14.2227    12.3019    12.2919
14.4372    12.1738    12.2455
14.5881    12.1263    12.1739
14.8036    12.0114    12.0495
14.9674    11.9956    11.9032
15.1111    11.9483    11.8149
15.2588    11.875     11.6946
15.39      11.7427    11.5559
15.52      11.7931    11.4456
15.669     11.778     11.3002
15.8821    11.7993    11.0865
15.9845    11.7413    10.9517
16.0597    11.6579    10.81
16.1624    11.659     10.6881
16.3074    11.7386    10.471
16.4097    11.7374    10.2849
16.4659    11.6968    10.0939
16.522     11.7185    9.6396
16.5694    11.7563    9.5206
16.6556    11.7635    9.353













































































































































9.2606     14.3074    8.0226     RORBIT
9.1745     14.5415    8.0118
9.0733     14.8584    7.9695
9.1084     15.088     7.9368
9.0683     15.3227    7.9766
9.0312     15.5756    8.0199
9.0274     15.8113    8.1026
9.0398     15.9994    8.1951
9.0255     16.2366    8.3563
9.1157     16.3911    8.4715
9.154      16.5699    8.6886
9.1762     16.6809    8.8384
9.2156     16.7619    8.9768
9.3104     16.7943    9.124
9.4148     16.8657    9.5956
9.3842     16.861     9.8452
9.4445     16.7767    10.1052
9.4463     16.7054    10.2921
9.4575     16.5686    10.4872
9.4692     16.4141    10.6631
9.6211     16.1798    10.7688
9.6252     15.9544    10.9333
9.6741     15.7527    11.0472
9.8085     15.5599    11.0841
9.8445     15.3391    11.1012
9.9191     15.2027    11.0588
10.3947    14.911     11.2827
10.5306    14.6919    11.3115
10.6217    14.417     11.2772
10.7376    14.133     11.1922
10.8228    14.0591    10.9886
10.8684    13.9896    10.8254
10.8502    13.785     10.4898
10.9037    13.3994    10.0191
10.8043    13.3777    9.8206
10.7241    13.3149    9.677
10.6447    13.2403    9.5441
10.5161    13.2049    9.3839


































































































































































12.6074    11.2632    8.3823     LORBIT
12.7837    11.0689    8.3382
12.9836    10.8866    8.2791
13.1901    10.8272    8.383
13.4306    10.8688    8.402
13.6277    10.8535    8.4263
13.876     10.8585    8.4701
14.0685    10.8885    8.5658
14.2266    10.9235    8.614
14.4466    10.9759    8.76
14.5851    11.1105    8.7875
14.7725    11.0609    8.9545
14.9858    11.1073    9.0893
15.1346    11.203     9.3242
15.1769    11.3031    9.5661
15.2257    11.407     9.7694
15.3313    11.4157    9.9724
15.2691    11.4584    10.2003
15.1788    11.4964    10.4498
15.0801    11.5475    10.6077
14.982     11.5729    10.7662
14.8367    11.5908    10.9636
14.6884    11.6294    11.0834
14.4978    11.7201    11.1629
14.2992    11.7821    11.257
14.1608    11.7819    11.3314
13.9768    11.8119    11.3618
13.7326    11.8363    11.4499
13.5542    11.9202    11.3373
13.0479    12.4471    11.4986
12.8413    12.5109    11.4542
12.5112    12.5565    11.3622
12.2749    12.6488    11.1995
12.2225    12.6454    10.9296
12.1478    12.657     10.6796
12.0447    12.6707    10.4636
11.9642    12.7032    10.365
11.9148    12.7257    10.1766
11.9028    12.7085    10.0176
11.9123    12.6051    9.9254
11.8331    12.5216    9.8093
11.7418    12.4354    9.7046






























































































































































9999       9999       9999       RTEMFOS







































































































































































































16.6078    11.946     9.3982     LTEMFOS
16.6135    11.6524    9.1474
16.5196    11.4779    8.9942
16.5061    11.3796    8.8638
16.468     11.2699    8.8234
16.4116    11.1751    8.6924
16.3012    11.0344    8.5575
16.2608    10.928     8.3197
16.1544    10.8253    8.2041
16.0791    10.7023    8.0748
16.0042    10.6055    7.9809
15.9665    10.5207    7.863
15.8798    10.4462    7.7989
15.8548    10.4491    7.6797
15.7653    10.2305    7.6203
15.7171    10.0688    7.4438
15.6609    9.6872     7.2682
15.6819    9.5397     7.1499
15.7067    9.3689     6.983
15.764     9.2078     6.8233
15.8051    9.0607     6.6134
15.9301    8.9449     6.4987
16.0639    8.8895     6.3605
16.1093    8.9414     6.2332
16.2256    9.0621     6.1725
16.3957    9.1455     6.1077
16.5649    9.2126     6.0589
16.7234    9.3266     6.0659












































































































































































9999       9999       9999       OP
9999       9999       9999       BA
