LSZT       R17        Phu180sf
1.1705     21.2482    13.4892    IN
1.1915     16.5415    16.6291    BR
1.0162     9.9195     15.574     GL
1.0221     9.9292     15.0067    NA
0.7768     4.7177     9.6002     RH
0.54       2.0145     6.281      NS
0.5637     1.6172     5.2503     PR
-0.5619    1.962      5.433      R_PR2
0.3248     6.1231     10.439     R_PMS
-3.1421    9.5231     8.8606     R_ZMI
-0.9755    10.063     12.7083    R_ZMU
0.4071     10.1974    14.0356    R_DA
-1.0305    10.3674    15.1926    R_MTI
-0.8551    11.1102    16.4914    R_MTS
-2.7673    10.9616    13.8678    R_FMO
-3.406     11.5888    13.8986    R_FMT
-3.8216    17.0874    11.1596    R_PO
-4.388     11.2534    10.4006    R_ZTS
1.7346     1.9026     5.5244     L_PR2
1.4982     6.0662     10.3973    L_PMS
4.757      9.5974     8.6744     L_ZMI
2.9305     9.9769     12.6525    L_ZMU
1.5395     10.1275    14.0753    L_DA
3.1075     10.2421    15.1502    L_MTI
2.9262     11.1187    16.3982    L_MTS
4.4971     10.9996    13.5567    L_FMO
5.3402     11.4711    13.6795    L_FMT
5.5396     17.0915    10.8971    L_PO
6.0404     11.1465    10.1747    L_ZTS
3.5409     3.6468     3.3377     O1
-2.469     11.8214    15.1802    O2
6.598      13.5529    10.3333    O3
0.5234     21.1898    13.0501    O4







































































































































































1.0903     9.9148     15.5445    GLRH
1.0492     9.8957     15.3163
1.0449     9.9092     15.0686
1.0266     9.9191     14.7954
0.9966     9.8387     14.4838
0.9862     9.7527     14.2289
0.9932     9.632      14.0026
0.9702     9.536      13.842
0.9978     9.3332     13.5963
0.9776     9.0833     13.2986
0.9682     8.8422     13.0494
0.97       8.669      12.8675
0.9644     8.4406     12.6562
0.9742     8.2464     12.4947
1.0052     8.0633     12.3484
1.0095     7.9115     12.2197
0.9904     7.7458     12.0949
0.985      7.5235     11.9484
0.9982     7.3845     11.8435
1.0115     7.1866     11.7126
0.9758     6.9817     11.596
0.9672     6.8445     11.4837
0.901      6.5695     11.3096
0.877      6.3304     11.1406
0.884      6.1278     10.9861
0.8752     5.9404     10.842
0.8716     5.7446     10.6916
0.8804     5.5782     10.5279
0.8487     5.4165     10.3601
0.8465     5.2103     10.171
0.8371     5.065      10.022
0.8117     4.8947     9.8463
0.8239     4.785      9.7339
0.7922     4.6853     9.6258













