UWMA       ZA 891     Phu99stv
18.5232    19.9531    11.3791    IN
15.8744    17.1927    15.1593    BR
11.7374    13.043     14.3379    GL
11.6587    13.0009    13.9578    NA
9.178      10.002     9.3661     RH
7.8498     8.4819     6.4245     NS
7.6042     8.2727     5.2092     PR
7.0794     8.9729     5.2994     R_PR2
9.6948     11.2714    10.0708    R_PMS
9.3845     14.9095    8.7289     R_ZMI
10.624     14.0166    11.5038    R_ZMU
11.5477    13.2366    12.7543    R_DA
10.9479    14.3833    13.981     R_MTI
11.9103    14.7468    14.9884    R_MTS
10.2448    15.6898    12.5161    R_FMO
10.5073    16.6527    12.9707    R_FMT
13.1594    20.1146    10.2759    R_PO
9.8065     16.9759    9.827      R_ZTS
8.4574     7.948      5.0402     L_PR2
10.4209    10.6638    10.129     L_PMS
14.0244    10.457     9.0584     L_ZMI
13.0841    11.772     11.5757    L_ZMU
12.0564    12.7468    12.663     L_DA
13.3201    12.0891    14.0145    L_MTI
13.5667    12.9939    14.9316    L_MTS
14.5777    11.5883    12.5884    L_FMO
15.5902    11.8305    12.9964    L_FMT
19.3173    14.7487    10.4853    L_PO
15.9342    11.0118    10.0181    L_ZTS
8.344      7.7749     6.515      O1
11.0434    16.1787    14.2342    O2
17.3293    11.6352    10.1749    O3
19.4878    18.8628    11.3107    O4







































































































































































11.725     13.0219    14.2644    GLRH
11.6728    12.9891    14.088
11.6686    12.9723    13.885
11.6808    12.9652    13.7542
11.681     12.9373    13.5187
11.6778    12.9516    13.3384
11.6766    12.9016    13.1313
11.6498    12.8775    12.9266
11.6202    12.8054    12.7304
11.5448    12.767     12.5606
11.5128    12.6356    12.3965
11.3927    12.5786    12.188
11.3298    12.472     12.0397
11.2589    12.3854    11.88
11.2006    12.2982    11.7263
11.1185    12.189     11.5849
10.9966    12.0347    11.3922
10.9287    11.9347    11.274
10.7878    11.7784    11.1095
10.742     11.6691    11.0051
10.6779    11.6044    10.9415
10.5384    11.443     10.7807
10.4132    11.3226    10.6847
