NMNH       384211     Phc8stv
19.5902    19.2629    14.255     IN
16.1084    15.9855    16.5386    BR
11.7901    11.3282    14.3411    GL
11.8711    11.4366    13.7212    NA
9.771      8.9323     8.6257     RH
8.7287     7.7285     5.7789     NS
8.3831     7.1589     4.0319     PR
7.7142     8.0605     4.1128     R_PR2
10.9213    10.6552    10.5394    R_PMS
9.9416     14.5397    8.6379     R_ZMI
10.8629    12.9812    11.9054    R_ZMU
11.7732    11.8657    12.9407    R_DA
10.6148    12.7366    14.0743    R_MTI
11.0282    13.4332    15.3267    R_MTS
9.8763     14.6176    13.1358    R_FMO
9.6908     15.8271    13.4924    R_FMT
13.9416    19.6361    11.4653    R_PO
9.9305     17.1371    10.4879    R_ZTS
9.3078     6.7556     4.0365     L_PR2
11.2406    10.1212    10.2672    L_PMS
15.312     9.5398     8.9636     L_ZMI
13.6691    10.4011    11.9991    L_ZMU
12.4211    11.3593    13.0566    L_DA
13.8333    10.0132    14.2141    L_MTI
14.0118    10.7393    15.3856    L_MTS
15.1953    9.755      13.2786    L_FMO
16.4871    9.4684     13.6066    L_FMT
20.2929    13.922     11.7698    L_PO
17.6141    9.5891     10.5736    L_ZTS
8.7421     6.5797     4.3115     O1
10.4277    14.858     14.6949    O2
19.0808    10.6556    10.8062    O3
19.9597    18.3961    13.5787    O4







































































































































































11.7296    11.3613    14.3638    GLRH
11.7883    11.3368    14.1021
11.868     11.3441    13.8218
11.8781    11.463     13.5885
11.9081    11.4631    13.4255
11.9056    11.4614    13.2241
11.8728    11.4637    13.0189
11.8538    11.414     12.7744
11.8412    11.3379    12.5981
11.7984    11.3232    12.4132
11.7582    11.2362    12.1965
11.7279    11.1567    12.0068
11.6982    11.0956    11.8828
11.6298    11.0447    11.7473
11.5621    10.9948    11.5581
11.5009    10.9063    11.4161
11.476     10.793     11.2329
11.4341    10.6763    11.0815
11.3438    10.5877    10.9318
11.2101    10.4775    10.7495
11.0397    10.3917    10.5803
10.9785    10.2549    10.4101
10.8192    10.138     10.2383
10.6713    9.9799     10.0135
10.5538    9.8741     9.8815
10.4759    9.733      9.7181
10.4217    9.6464     9.6377
10.3626    9.5788     9.5505
10.2719    9.461      9.4191
10.1796    9.3925     9.331
10.0432    9.2878     9.1799
9.9886     9.1616     9.049
9.8629     9.1163     8.9592
9.7999     9.0641     8.8854
9.731      9.0177     8.7873





































































































































































9.7331     8.9463     8.7255     NOSE
9.6029     9.1405     8.7001
9.516      9.2742     8.589
9.3789     9.3653     8.4339
9.1284     9.313      8.2689
9.0086     9.2623     8.1044
8.906      9.2394     8.0017
8.7548     9.2201     7.8198
8.656      9.1826     7.6589
8.5739     9.155      7.5547
8.4822     9.1586     7.4175
8.4089     9.1168     7.242
8.3593     8.9547     7.0503
8.266      8.8844     6.8787
8.2164     8.8187     6.7361
8.1887     8.732      6.6221
8.16       8.6175     6.4923
8.098      8.4899     6.3112
8.115      8.3467     6.2369
8.1312     8.1513     6.1734
8.159      7.9969     6.1094
8.1922     7.8152     5.9858
8.3085     7.7062     5.8901
8.4244     7.6157     5.7716
8.6244     7.4939     5.7297
8.7199     7.3486     5.7914
8.8084     7.1786     5.91
8.992      7.1273     6.0447
9.1848     7.172      6.1555
9.3709     7.2294     6.2585
9.4713     7.2749     6.3584
9.5978     7.2788     6.4757
9.7113     7.3533     6.7286
9.8099     7.4337     6.9563
9.9076     7.5496     7.1661
9.9562     7.6733     7.3642
10.0201    7.7772     7.572
10.1032    7.9327     7.7577
10.1159    8.0952     7.9548
10.1566    8.2076     8.1371
10.1953    8.3324     8.2751
10.224     8.461      8.4181
10.2403    8.5136     8.4962
10.2707    8.5814     8.6211
10.1728    8.7333     8.6662
10.0029    8.8115     8.652
9.8443     8.8581     8.6929
9.7285     8.9359     8.7092
























































































































































8.559      7.5207     5.6462     NASP-PR
8.4596     7.3648     5.4595
8.404      7.2939     5.3153
8.3287     7.2288     5.1424
8.313      7.1742     4.9733
8.2908     7.1511     4.8385
8.2943     7.1293     4.6849
8.3134     7.1007     4.5055
8.3261     7.0921     4.3926
8.3666     7.0996     4.2742
8.3571     7.1206     4.1303





























































































































































































10.8965    10.5996    10.5176    R-PM/MAX
10.7422    10.4344    10.3004
10.6205    10.3483    10.1486
10.5125    10.263     10.0123
10.4118    10.213     9.8883
10.3141    10.1832    9.7891
10.2118    10.1071    9.6579
10.1247    10.0657    9.5515
10.012     9.9988     9.4451
9.8888     9.9346     9.3257
9.7876     9.9293     9.2213
9.6603     9.8877     9.0587
9.5456     9.8588     8.9221
9.4174     9.7845     8.8007
9.259      9.7234     8.6335
9.125      9.6702     8.4793
8.9973     9.6281     8.3234
8.871      9.551      8.1587
8.7625     9.5264     7.973
8.6667     9.4809     7.8263
8.5298     9.4154     7.5649
8.471      9.3922     7.4025
8.4104     9.313      7.2263
8.2101     9.2107     6.8171
8.152      9.2436     6.6799
8.0958     9.3765     6.5897
8.0004     9.4726     6.4829
7.9223     9.5707     6.3233
7.8515     9.6        6.1792
7.7233     9.6096     5.9334
7.6536     9.5945     5.683
7.6023     9.577      5.4953
7.5921     9.5364     5.2709
7.5918     9.5248     5.0127
7.6367     9.4538     4.8128
7.8829     9.3851     4.5899




































































































































































11.2004    10.0339    10.2317    L-PM/MAX
11.1169    9.9022     10.1313
11.0711    9.822      10.0267
11.01      9.7156     9.9253
10.9635    9.6336     9.7946
10.9431    9.5604     9.7261
10.9046    9.44       9.6159
10.8531    9.3382     9.5356
10.8198    9.1949     9.4109
10.7852    9.052      9.2767
10.7396    8.941      9.137
10.6863    8.8064     8.9799
10.6439    8.6437     8.8081
10.6103    8.4568     8.6277
10.566     8.2889     8.4498
10.5236    8.175      8.3009
10.4876    8.0578     8.137
10.4816    7.9491     8.0163
10.4565    7.8183     7.8274
10.4302    7.7434     7.6519
10.3871    7.6634     7.4192
10.3597    7.5429     7.1251
10.323     7.441      6.9172
10.3267    7.3727     6.8003
10.4164    7.275      6.6492
10.5704    7.1985     6.5599
10.7071    7.0907     6.3651
10.7348    6.9876     6.1782
10.6963    6.9409     6.0531
10.7169    6.8609     5.8832
10.7239    6.8381     5.6868
