FMNH       27035      Phh8stv
16.4231    15.3056    16.2353    IN
13.1522    11.5601    17.2666    BR
9.3331     7.5177     13.5173    GL
9.4342     7.6419     13.0487    NA
7.5998     5.7224     8.2336     RH
6.7223     4.6067     5.7173     NS
6.6223     4.2907     4.3423     PR
6.0394     4.9937     4.3506     R_PR2
8.294      7.1655     9.4019     R_PMS
7.5965     11.2521    8.6241     R_ZMI
8.6739     9.2686     11.4412    R_ZMU
9.5399     8.1311     12.6774    R_DA
8.3532     8.7782     13.4996    R_MTI
8.6909     8.7029     14.5681    R_MTS
7.6982     10.3682    12.901     R_FMO
7.4369     10.9477    13.6763    R_FMT
10.748     16.0415    12.5257    R_PO
9999       9999       9999       R_ZTS
7.428      3.9567     4.5072     L_PR2
9.0786     6.7019     9.4397     L_PMS
13.223     6.2606     8.6787     L_ZMI
11.3316    7.18       11.3752    L_ZMU
9.9915     7.8284     12.4352    L_DA
10.946     6.5655     13.4671    L_MTI
10.9986    6.9367     14.5182    L_MTS
12.5803    6.6119     12.7274    L_FMO
13.2302    6.1931     13.2033    L_FMT
17.4405    10.7629    12.2752    L_PO
15.3917    6.2869     10.0963    L_ZTS
6.8019     3.8407     4.1594     O1
8.1433     10.09      14.4006    O2
17.1766    7.8159     11.2624    O3
16.6648    14.523     15.1136    O4







































































































































































9.2756     7.5183     13.5239    GLRH
9.318      7.5584     13.3335
9.3845     7.6095     13.1481
9.4204     7.6262     13.04
9.4396     7.7165     12.8637
9.4932     7.7586     12.6473
9.5545     7.7627     12.5011
9.5643     7.8191     12.3585
9.6218     7.8082     12.1808
9.5655     7.8147     12.0474
9.5795     7.8625     11.9153
9.5774     7.847      11.7688
9.5307     7.8292     11.5783
9.5091     7.8056     11.4459
9.4902     7.7695     11.2619
9.4413     7.7121     11.1222
9.3791     7.6688     10.9738
9.34       7.5842     10.811
9.2813     7.5437     10.692
9.2186     7.4931     10.6006
9.152      7.4047     10.4785
9.0963     7.3698     10.3372
9.0378     7.2606     10.2328
8.9309     7.1851     10.0992
8.8627     7.0654     9.9814
8.7951     7.0101     9.8618
8.718      6.9173     9.7625
8.6138     6.7918     9.5914
8.5265     6.6705     9.4646
8.4101     6.5884     9.3502
8.3077     6.4906     9.233
8.245      6.3932     9.141
8.1321     6.3195     9.0436
8.0865     6.1804     8.9077
7.9425     6.0986     8.8007
7.8665     6.0564     8.6959
