AMNH       169432     Phu1pwl4
0.5816     24.2963    13.7345    IN
-0.0758    19.259     16.7119    BR
-0.5448    12.8776    16.5282    GL
-0.5842    12.7428    15.9464    NA
-0.8942    6.9766     10.1361    RH
-1.0136    4.037      6.9622     NS
-0.9145    3.644      5.2511     PR
-1.9838    4.0369     5.3521     R_PR2
-1.8185    8.0635     10.4197    R_PMS
-4.3116    12.7931    9.2135     R_ZMI
-2.7446    12.9996    13.5807    R_ZMU
-0.9824    12.8943    14.8378    R_DA
-2.8997    13.2008    15.9901    R_MTI
-2.6105    14.2608    17.0249    R_MTS
-4.0969    13.8611    14.3243    R_FMO
-5.0407    14.766     14.1734    R_FMT
-4.1949    20.7175    11.5539    R_PO
-5.9019    14.9582    10.7646    R_ZTS
0.1943     3.7943     5.4666     L_PR2
0.0927     7.732      10.5179    L_PMS
3.6017     12.0731    9.6239     L_ZMI
1.6128     12.5056    13.7234    L_ZMU
0.0399     12.8028    14.825     L_DA
1.8535     12.8728    16.1268    L_MTI
1.7463     14.1235    17.1428    L_MTS
3.1426     13.1497    14.3941    L_FMO
4.3823     14.2017    14.8941    L_FMT
4.7312     19.7347    11.7543    L_PO
5.2577     13.7589    11.2252    L_ZTS
-1.3212    3.4966     4.8879     O1
3.6247     14.511     15.4626    O2
-6.1338    16.808     10.9082    O3
1.1227     23.268     13.5531    O4







































































































































































-0.6137    12.9045    16.5422    GLRH
-0.5953    12.799     16.1878
-0.5658    12.7487    15.9455
-0.5658    12.6509    15.6985
-0.5658    12.6397    15.4584
-0.5589    12.5968    15.1738
-0.529     12.5239    14.9038
-0.5304    12.4182    14.7297
-0.5557    12.2637    14.5256
-0.5557    12.0627    14.2308
-0.5304    11.8743    14.0547
-0.5678    11.6604    13.8561
-0.5618    11.4179    13.7096
-0.5907    11.1771    13.5729
-0.5681    10.9902    13.4431
-0.613     10.7493    13.2777
-0.6392    10.5109    13.1134
-0.6803    10.3207    12.9616
-0.6564    10.1229    12.8004
-0.6948    9.7475     12.5353
-0.7727    9.529      12.3611
-0.7583    9.2556     12.1902
-0.8131    9.0115     12.0458
-0.844     8.8127     11.908
-0.8793    8.5682     11.7251
-0.9109    8.2965     11.4799
-0.878     8.0892     11.3271
-0.9255    7.9288     11.209
-0.8941    7.7158     10.9842
-0.9614    7.5411     10.7898
-0.9468    7.3184     10.5748
-0.9513    7.1918     10.4155
-0.9532    7.0733     10.291
-0.917     7.0145     10.2175
-0.8936    6.9375     10.1338





































































































































































-0.8711    6.9518     10.1083    NOSE
-1.093     7.0479     10.1281
-1.266     7.0515     10.0447
-1.4791    7.0219     9.8974
-1.6345    7.0492     9.7798
-1.7262    6.9678     9.5586
-1.7967    6.873      9.3453
-1.8603    6.7386     9.1822
-1.9311    6.6046     9.0111
-2.0283    6.4752     8.8611
-2.0914    6.3035     8.6501
-2.191     6.113      8.4671
-2.2294    5.9068     8.178
-2.305     5.6538     7.9471
-2.2805    5.3603     7.7823
-2.2539    5.0542     7.5743
-2.1285    4.8104     7.5094
-1.9482    4.6146     7.4409
-1.7512    4.3445     7.3762
-1.5962    4.1482     7.2721
-1.3709    4.0609     7.1726
-1.2153    4.0115     6.9687
-0.9632    4.0024     6.9341
-0.8251    3.9812     7.0259
-0.7316    4.002      7.2175
-0.5437    4.0617     7.3987
-0.3912    4.1679     7.5306
-0.2265    4.3227     7.5963
-0.067     4.5035     7.6457
0.1212     4.6564     7.7296
0.3125     4.7932     7.8047
0.3947     4.9996     7.9864
0.404      5.1969     8.1351
0.4203     5.3266     8.2649
0.4193     5.5302     8.4144
0.4072     5.7644     8.6254
0.3821     5.9049     8.7663
0.1021     6.4511     9.0684
-0.0063    6.5304     9.2498
-0.0926    6.7208     9.4742
-0.182     6.871      9.6397
-0.2166    6.9415     9.8009
-0.4068    6.957      9.979
-0.6665    6.9685     10.0795
-0.8078    7.0099     10.1194
-0.9232    6.952      10.0296


























































































































































-1.0105    4.105      6.9983     NASP-PR
-1.0144    3.9637     6.9034
-0.9821    3.8022     6.7206
-1.011     3.6705     6.5091
-0.9896    3.6206     6.3282
-0.968     3.615      6.1641
-0.9834    3.5756     5.9655
-0.9602    3.5594     5.8073
-0.933     3.5599     5.6249
-0.9345    3.5493     5.4868
-0.8901    3.6068     5.27





























































































































































































-1.7932    8.0905     10.4166    R-PM/MAX
-1.8478    7.9383     10.3257
-1.8783    7.7841     10.1628
-1.9345    7.6719     10.0159
-1.9889    7.4956     9.8385
-2.018     7.39       9.762
-2.1002    7.1787     9.5905
-2.1467    7.0224     9.4252
-2.2363    6.8726     9.2316
-2.3037    6.6924     9.0208
-2.3538    6.5386     8.7717
-2.3646    6.4114     8.5344
-2.4484    6.2409     8.2593
-2.5093    6.1085     8.0032
-2.5452    5.9756     7.7491
-2.5668    5.8915     7.5806
-2.6014    5.8148     7.3318
-2.6717    5.6923     7.158
-2.7272    5.6243     6.9566
-2.7818    5.5546     6.8032
-2.8608    5.4353     6.5796
-2.9025    5.5254     6.2681
-2.7988    5.4859     6.0667
-2.5924    5.4916     5.8716
















































































































































































0.0676     7.7794     10.5374    L-PM/MAX
0.1294     7.6103     10.3265
0.1881     7.4345     10.1483
0.2475     7.2645     10.0012
0.3268     7.0791     9.8019
0.3874     6.8507     9.6549
0.481      6.7011     9.5065
0.5363     6.5359     9.3358
0.5949     6.3575     9.1386
0.6414     6.1631     8.8762
0.6789     5.9512     8.5904
0.7045     5.8023     8.3309
0.7291     5.6986     8.153
0.7733     5.632      7.9762
0.7985     5.4962     7.7536
0.8299     5.3789     7.5338
0.8736     5.1971     7.2941
1.0232     5.1207     7.1554
1.0497     5.0156     6.995
1.1945     5.0317     6.6585
1.0819     5.081      6.4198
0.927      5.1296     6.2953
0.8497     5.2279     6.0834

















































































































































































-3.1624    10.2659    6.2811     ROSTRUM
-3.2573    10.1144    6.585
-3.2613    10.094     6.9099
-3.2477    10.0691    7.1061
-3.1521    10.0591    7.3541
-3.0561    9.9563     7.5608
-2.9605    9.9863     7.8177
-2.8349    9.9194     8.1152
-2.8505    9.861      8.3938
-2.9421    9.8444     8.7074
-3.0706    9.76       9.0788
-3.2195    9.7511     9.3868
-3.3818    9.7004     9.7298
-3.5194    9.6112     10.0853
-3.3483    9.5042     10.3813
-3.3053    9.2839     10.7121
-2.9729    9.219      10.9029
-2.5291    9.1841     10.8417
-2.2382    9.1539     10.9017
-1.9633    9.0786     11.019
-1.6508    8.9309     11.2231
-1.5393    8.8164     11.3737
-1.3503    8.7046     11.5299
-1.0747    8.6144     11.7125
-0.7749    8.5955     11.7662
-0.5021    8.5874     11.732
-0.1986    8.6437     11.573
0.0902     8.7198     11.3049
0.407      8.7997     11.1421
0.7637     8.8383     11.0506
1.0779     8.7685     11.0267
1.4865     8.7183     11.0829
1.8238     8.7015     10.8772
2.0039     8.7538     10.6387
2.1255     8.7683     10.4056
2.1016     8.8312     10.0159
2.0126     8.8247     9.7613
1.8889     8.8625     9.5096
1.7906     8.9525     9.1737
1.6922     9.1097     8.7142
1.7195     9.2225     8.3438
1.9205     9.2771     7.9747
2.1905     9.2987     7.6312
2.4419     9.4486     7.2804
2.4937     9.4686     6.947
2.4753     9.5814     6.6672


























































































































































-5.1265    14.8359    14.2194    SUPORB
