NMNH       38170      See9stv
-0.4229    4.1017     4.4113
-0.3084    4.0841     4.5479
-0.1857    4.1075     4.8144
-0.0833    4.0694     5.0055
0.0162     4.0867     5.2116
0.0973     4.0662     5.3654
0.2128     4.0192     5.4972
0.334      4.0305     5.6405
0.5006     3.998      5.7187
0.6332     3.9972     5.744
1.0393     4.0067     5.5268
1.1937     4.0527     5.3512
1.293      4.0496     5.1159
1.4275     4.0684     4.734
1.6142     4.0437     4.4641
1.7973     4.0726     4.2632
1.9544     4.1101     4.1171
2.1083     4.1323     3.9117
2.2618     4.1689     3.7006
2.3505     4.2019     3.4978
2.4287     4.2151     3.2804
2.5833     4.2495     3.0769
2.6991     4.3138     2.8635
2.7626     4.3494     2.6386
2.8321     4.3966     2.4796
2.8827     4.4363     2.2038



































































































































































-2.8264    6.1062     6.3652     SUPORB
-2.6251    6.0253     6.6264
-2.4726    5.9659     6.7237
-2.2787    5.8743     6.8086
-2.1269    5.7205     6.8465
-1.9764    5.5806     6.869
-1.827     5.4579     6.9138
-1.6513    5.3314     6.9237
-1.4307    5.1881     6.9318
-1.2171    5.0794     6.9279
-1.0252    5.0128     6.9291
-0.8099    4.9438     6.9135
-0.6485    4.8603     6.8895
-0.4825    4.7874     6.8486
-0.2381    4.7354     6.7908
-0.1064    4.716      6.7718
0.0753     4.6861     6.7356
0.2265     4.6527     6.7115
0.3733     4.5915     6.6649
0.55       4.5649     6.6053
0.8242     4.6874     6.6892
1.2139     4.7748     6.7757
1.4412     4.8599     6.8532
1.6833     4.9451     6.8997
1.8873     5.0657     6.9727
2.1        5.1254     7.0255
2.2727     5.2536     7.0742
2.4176     5.3328     7.0894
2.5909     5.4675     7.121
2.7825     5.5719     7.1169
2.9279     5.7644     7.1181
3.0848     5.8839     7.1101
3.2357     6.0293     7.0751
3.3378     6.1673     7.0473
3.4955     6.2696     7.0154
3.7071     6.3496     6.896
3.8315     6.4858     6.8155
3.9035     6.4994     6.7178
3.9964     6.5563     6.5875

































































































































































-1.0676    4.7238     4.2557     RORBIT
-1.348     4.7156     4.2074
-1.5589    4.7667     4.2089
-1.7566    4.8505     4.2354
-1.97      4.9452     4.3025
-2.1339    5.0593     4.3966
-2.3486    5.1839     4.5804
-2.4131    5.296      4.7588
-2.5029    5.4085     5.0111
-2.5602    5.4364     5.202
-2.5571    5.4738     5.4019
-2.5321    5.5428     5.5848
-2.4519    5.4956     5.8803
-2.2852    5.4386     6.0742
-2.0678    5.4091     6.253
-1.8838    5.3907     6.3779
-1.6867    5.318      6.5195
-1.4806    5.2203     6.5727
-1.175     4.9815     6.6526
-0.949     4.9635     6.549
-0.6922    4.8703     6.5027
-0.4592    4.7685     6.495
-0.2455    4.734      6.3792
-0.0472    4.7319     6.1548
-0.0518    4.8411     5.8216
-0.0654    4.929      5.5236














































































































































































2.4393     4.9276     4.4219     LORBIT
2.7026     4.9811     4.4098
2.908      5.0943     4.4205
3.1391     5.2108     4.4735
3.3219     5.3417     4.5654
3.4548     5.4458     4.6634
3.63       5.5199     4.8312
3.6519     5.7237     5.0041
3.7628     5.79       5.3035
3.8592     5.8019     5.5121
3.8012     5.9119     5.8409
3.8039     5.9092     6.065
3.6915     5.8537     6.157
3.5092     5.797      6.3063
3.32       5.7471     6.5342
3.0723     5.6968     6.638
2.8905     5.5568     6.7368
2.6227     5.4194     6.7102
2.4055     5.291      6.6805
2.2069     5.1949     6.6292
2.0515     5.0804     6.6146
1.8997     4.9532     6.606
1.7521     4.8926     6.5291
1.5725     4.8703     6.425
1.3904     4.8689     6.1893
1.3596     4.8646     5.954
1.3757     4.8798     5.8112
1.3836     4.9934     5.5707












































































































































































-2.9088    6.0421     6.3021     RTEMFOS
-3.0118    6.1005     6.0686
-3.1186    5.9785     5.709
-3.2008    5.8781     5.4967
-3.2284    5.7948     5.2975
-3.2605    5.7313     5.0748
-3.2796    5.7037     4.849
-3.2953    5.6154     4.692
-3.2969    5.5655     4.437
-3.3248    5.4583     4.2062
-3.3552    5.5633     3.8494
-3.4589    5.6521     3.5998
-3.5688    5.7702     3.4568
-3.6829    5.9667     3.3521
-3.7274    6.1389     3.3521
-3.7759    6.3253     3.3666
-3.795     6.4239     3.3851
-3.8364    6.6329     3.4447






















































































































































































3.9484     6.5634     6.6384     LTEMFOS
4.0326     6.6065     6.5047
4.1081     6.6139     6.3357
4.2166     6.5166     6.0576
4.3294     6.4293     5.8191
4.3742     6.357      5.6085
4.4174     6.2818     5.3583
4.4515     6.2117     5.1279
4.4891     6.1109     4.8938
4.5243     6.0031     4.6818
4.6022     6.0291     4.3215
4.6855     6.1119     4.0477
4.7898     6.2622     3.8797
4.8888     6.4401     3.7679
4.9729     6.6856     3.7304
5.0179     6.8856     3.76
5.0587     7.1424     3.8223
5.0505     7.28       3.8473






















































































































































































-0.0722    4.6907     6.9905     OP
0.1018     6.4472     7.1527     BA
0.1802     10.0238    6.2753     ST
0.3165     13.4906    6.1022     IV
-3.5609    6.5074     7.0326     R_PG
-4.6437    8.8265     6.2308     R_ZTI
-1.5421    10.0185    6.9785     R_M3D
-2.0227    11.9666    7.0683     R_M12
-1.4619    14.0085    6.5884     R_MP3
-0.7614    14.7571    6.3624     R_PMI
3.736      6.0917     6.6563     L_PG
4.9381     8.3528     5.7649     L_ZTI
2.0016     9.8359     6.7478     L_M3D
2.6658     11.7003    6.5472     L_M12
2.2013     13.7186    6.3145     L_MP3
1.4018     14.4451    6.3131     L_PMI
-0.3579    14.7274    5.6357     O1
2.902      9.6443     1.9038     O2
-4.6822    8.2347     5.6844     O3
0.5913     2.8673     4.3691     O4




















































































































































































-3.2815    11.6578    6.1583     RZYGINF
-3.4196    11.3576    6.2876
-3.6981    11.2227    6.34
-3.7793    11.0886    6.4085
-3.8719    10.9647    6.4363
-3.9776    10.7825    6.5164
-4.0529    10.6006    6.5645
-4.1376    10.4326    6.596
-4.2117    10.2415    6.625
-4.2778    10.0642    6.6326
-4.3106    9.824      6.6263
-4.3558    9.6753     6.587
-4.5317    9.4802     6.4556
-4.566     9.233      6.3578
-4.6263    9.0954     6.331
-4.617     8.9869     6.3031
-4.6691    8.7908     6.238























































































































































































3.7374     11.2041    5.8673     LZYGINF
3.8924     10.9231    5.8937
4.0786     10.6511    5.965
4.2732     10.4982    6.0228
4.4381     10.2379    6.1206
4.5774     10.0086    6.1638
4.6235     9.7612     6.1869
4.6717     9.5142     6.1905
4.7351     9.2363     6.1226
4.8112     9.0704     6.0583
4.8375     8.8899     5.9514
4.8552     8.7251     5.915
4.8712     8.5753     5.8671
4.9121     8.437      5.8087
4.8843     8.3674     5.7892

























































































































































































-1.5779    10.0517    6.9843     R-ALV
-1.6699    10.2122    6.998
-1.7691    10.4079    6.9684
-1.8488    10.5605    6.9983
-1.889     10.7811    7.0084
-1.9126    10.955     7.0523
-1.9948    11.1435    7.0387
-2.0336    11.4574    7.0595
-2.0801    11.6239    7.023
-2.0633    11.8493    7.004
-2.0524    12.0401    7.008
-1.9989    12.3907    6.984
-1.9491    12.56      6.9811
-1.8473    12.8064    6.8942
-1.766     13.0171    6.8924
-1.717     13.2506    6.8666
-1.6125    13.5014    6.7915
-1.5479    13.6971    6.7369
-1.5174    13.8825    6.6319
-1.4702    14.0054    6.5853




















































































































































































2.0261     9.8456     6.6591     L-ALV
2.1095     9.9599     6.6614
2.2369     10.1229    6.6312
2.3057     10.2784    6.6267
2.3648     10.4436    6.5784
2.451      10.6431    6.5935
2.4955     10.8139    6.5612
2.5602     10.9975    6.5677
2.634      11.247     6.5568
2.6672     11.4626    6.5365
2.6647     11.6815    6.5049
2.6473     11.8149    6.5449
2.6166     12.0319    6.5084
2.6032     12.2597    6.4821
2.5424     12.4932    6.503
2.4308     12.7908    6.4249
2.3899     13.0601    6.4224
2.2789     13.3584    6.2961
2.245      13.6106    6.3214
2.1783     13.7898    6.3129
