AMNH       99.1/2286  see2bjw
1.2902     23.0754    10.1927    IN
1.1418     19.2314    12.3905    BR
0.8585     14.058     9.9706     GL
0.7763     14.0155    9.7697     NA
0.696      13.3909    8.5473     RH
0.4396     12.6561    6.1641     NS
0.3995     12.5437    5.6216     PR
-0.0295    12.6542    5.639      R_PR2
0.3205     14.0368    9.0563     R_PMS
-1.1883    14.8566    5.8326     R_ZMI
-0.9257    15.2005    7.7931     R_ZMU
0.1231     14.7189    9.2846     R_DA
-1.3614    14.6882    10.1407    R_MTI
-1.3046    14.7869    10.5311    R_MTS
-2.4052    15.6192    9.3431     R_FMO
-2.7255    16.1416    9.7669     R_FMT
-2.1804    20.8304    8.1904     R_PO
-3.5891    17.1218    7.427      R_ZTS
0.9335     12.5026    5.6706     L_PR2
1.0969     13.9903    9.0727     L_PMS
2.5243     14.9569    5.6955     L_ZMI
2.7708     15.0587    7.6424     L_ZMU
1.3625     14.6905    9.184      L_DA
2.8439     14.427     10.0296    L_MTI
2.9203     14.5632    10.4147    L_MTS
3.9177     15.221     9.1366     L_FMO
4.344      15.7578    9.6298     L_FMT
4.2279     20.347     7.9576     L_PO
5.1154     16.3352    7.1194     L_ZTS
0.6961     12.3416    5.5254     O1
3.6366     16.4911    9.6626     O2
-1.7981    16.7509    10.143     O3
1.1265     23.0096    9.5051     O4







































































































































































0.7479     14.065     10.0233    GLRH
0.7555     14.0507    9.9128
0.7332     14.0101    9.7751
0.71       13.9393    9.6217
0.711      13.8346    9.3904
0.6993     13.742     9.2147
0.6845     13.6632    9.1172
0.6757     13.5611    8.9885
0.668      13.4961    8.8625
0.6716     13.4232    8.7357
0.6649     13.3721    8.5495





























































































































































































0.6621     13.3931    8.5452     NOSE
0.4713     13.4246    8.5509
0.341      13.4509    8.4094
0.3034     13.5326    8.2928
0.247      13.5757    8.1068
0.2589     13.5887    7.913
0.1989     13.5603    7.758
0.1912     13.5515    7.4996
0.1532     13.4918    7.3212
0.121      13.3268    6.9821
0.1166     13.1682    6.8218
0.1589     13.0092    6.6805
0.2094     12.8826    6.5897
0.3039     12.7561    6.3936
0.3855     12.7089    6.2493
0.7168     12.7299    6.4547
0.8202     12.9113    6.6296
0.8799     13.0575    6.67
0.9131     13.1779    6.7913
0.9483     13.2448    6.8565
1.0321     13.3264    6.9706
1.0293     13.3933    7.1031
1.0805     13.4719    7.3266
1.0926     13.5434    7.5716
1.1007     13.5511    7.7511
1.0514     13.5695    7.9542
1.0999     13.5399    8.2075
0.9633     13.4664    8.3028
0.8753     13.3823    8.5333
0.6648     13.3785    8.5426










































































































































































0.4693     12.6287    6.1644     NASP-PR
0.4776     12.5742    6.0838
0.4826     12.5252    5.9498
0.4526     12.4936    5.8159
0.4112     12.5372    5.5809



































































































































































































0.3069     14.0541    9.0593     R-PM/MAX
0.2984     14.0626    8.9024
0.2636     14.0591    8.7194
0.2263     14.0159    8.4943
0.2051     14.0146    8.3477
0.1834     13.9742    8.1799
0.1378     13.9629    7.9892
0.1098     13.9215    7.8678
0.0875     13.9172    7.7686
-0.0392    13.8473    7.4286
-0.1462    13.727     7.2129
-0.2626    13.5289    6.9668
-0.3768    13.3919    6.7586
-0.3336    13.2799    6.5938
-0.2118    13.1053    6.4302
-0.236     12.9255    6.289
-0.2773    12.8375    6.1238
-0.4447    12.8946    5.9041






















































































































































































1.0089     14.0035    9.0817     L-PM/MAX
1.0494     13.9617    8.7982
1.0848     13.9451    8.5651
1.0871     13.9211    8.3183
1.104      13.8672    8.1623
1.1577     13.8367    7.9094
1.1717     13.8142    7.6888
1.1627     13.6677    7.4224
1.3012     13.4637    6.9918
1.306      13.3161    6.8361
1.369      13.1501    6.6328
1.384      13.0001    6.3923
1.4084     12.9286    6.2382
1.4348     12.8548    6.1055
1.4        12.7874    5.8902

























































































































































































-1.3149    14.8053    5.9381     ROSTRUM
-1.2552    14.7921    6.0915
-1.175     14.7723    6.2605
-1.0691    14.7474    6.4974
-0.935     14.6933    6.6949
-0.7946    14.6712    6.8854
-0.6845    14.6656    7.0375
-0.5859    14.6269    7.2028
-0.4811    14.5998    7.4451
-0.3107    14.539     7.6351
-0.1607    14.488     7.8494
-0.0537    14.4462    8.0217
0.023      14.3876    8.2258
0.0752     14.3044    8.3656
0.1094     14.2548    8.5333
0.1661     14.1814    8.7503
0.1843     14.0644    8.9625
0.2922     13.946     9.2436
0.5699     13.8524    9.3634
0.8716     13.8535    9.2451
0.9952     13.931     9.0803
1.0593     14.0407    8.8291
1.0784     14.0836    8.5817
1.1747     14.225     8.3521
1.2225     14.2848    8.0957
1.2933     14.3599    7.9149
1.3924     14.4008    7.7121
1.4926     14.4527    7.5951
1.5754     14.4417    7.4171
1.6773     14.4576    7.3092
1.7883     14.4951    7.1152
1.8572     14.5115    6.9561
1.9369     14.5109    6.8011
2.058      14.5505    6.6533
2.1423     14.557     6.5007
2.2314     14.5497    6.3514
2.329      14.576     6.1757
2.3704     14.5934    6.0391
2.384      14.6328    5.7155

































































































































































-2.8494    16.1919    9.6522     SUPORB
-2.724     15.993     9.8607
-2.6111    15.7704    9.9512
-2.4112    15.6131    10.1358
-2.0961    15.2564    10.2925
-1.8612    15.0764    10.391
-1.6325    14.9398    10.4472
