MNHN       1970.411   Phu170sf
-1.0597    21.0005    12.541     IN
-0.8919    16.7327    15.3327    BR
-0.5014    10.2989    14.5625    GL
-0.5173    10.2354    14.1894    NA
-0.3114    6.0518     9.0492     RH
-0.1451    3.4831     6.3659     NS
-0.0164    3.267      5.3919     PR
-1.1136    3.4821     5.4896     R_PR2
-1.0793    6.541      9.4877     R_PMS
-4.181     9.6903     8.9197     R_ZMI
-2.4185    9.9711     12.0027    R_ZMU
-0.9213    10.1782    13.0228    R_DA
-2.5835    10.3443    14.4847    R_MTI
-2.2458    11.2603    15.3495    R_MTS
-3.9791    10.7442    13.1178    R_FMO
-4.6119    11.4934    13.2038    R_FMT
-5.0504    16.707     10.83      R_PO
-5.245     11.1937    10.3059    R_ZTS
0.9984     3.7005     5.4982     L_PR2
0.4916     6.6208     9.6782     L_PMS
3.1396     9.9216     8.7794     L_ZMI
1.5182     10.2393    12.1019    L_ZMU
0.0969     10.2089    13.0974    L_DA
1.6833     10.5794    14.5085    L_MTI
1.607      11.2994    15.2416    L_MTS
2.9621     11.1919    13.1517    L_FMO
3.5342     12.1314    13.3298    L_FMT
3.316      17.1629    10.8835    L_PO
4.2114     11.7759    10.3752    L_ZTS
-0.6888    2.8255     5.2712     O1
2.5561     12.4041    14.6092    O2
-5.948     13.5662    10.2003    O3
-0.2266    20.5957    12.6584    O4







































































































































































-0.5076    10.1965    14.1257    GLRH
-0.51      10.1105    13.8905
-0.5034    10.0393    13.6954
-0.4546    9.9619     13.4974
-0.4737    9.8866     13.3041
-0.4658    9.7694     13.1452
-0.4383    9.6823     12.9988
-0.4553    9.5407     12.7636
-0.4292    9.3671     12.5375
-0.3838    9.1895     12.3248
-0.3608    9.0017     12.104
-0.3455    8.823      11.9378
-0.3171    8.5726     11.6855
-0.3423    8.4111     11.507
-0.3495    8.2334     11.2981
-0.3633    8.0883     11.131
-0.3338    7.9238     10.9952
-0.3186    7.7483     10.8433
-0.3226    7.5239     10.6424
-0.3594    7.2768     10.3955
-0.3586    7.0967     10.2023
-0.3442    6.8695     9.9815
-0.3482    6.6978     9.8
-0.3123    6.499      9.6179
-0.2958    6.244      9.3888
-0.2991    6.1566     9.2693
-0.2981    6.0868     9.1953
-0.2993    6.0441     9.1132












































































































































































-0.2858    6.0506     9.1194     NOSE
-0.4595    6.0385     9.0923
-0.706     5.9897     9.0231
-0.9236    6.051      9.0014
-1.0903    5.8612     8.891
-1.188     5.6328     8.6273
-1.2374    5.2606     8.1577
-1.3618    5.0328     7.9732
-1.4313    4.7835     7.7445
-1.396     4.469      7.4418
-1.2861    4.2307     7.2161
-1.1167    3.9312     7.0223
-0.8905    3.6391     6.8748
-0.6258    3.4644     6.7374
-0.4271    3.3703     6.5262
-0.2679    3.3827     6.3658
-0.1365    3.3603     6.2751
-0.0623    3.334      6.2672
0.1028     3.3924     6.3313
0.2969     3.4322     6.5408
0.5403     3.5778     6.778
0.6789     3.7998     6.9256
0.8365     4.0337     6.9873
0.9935     4.2938     7.128
1.0395     4.4577     7.268
1.0073     4.7312     7.5185
1.0084     4.9273     7.7598
0.8795     5.1631     7.9571
0.8259     5.3166     8.1495
0.7495     5.5167     8.3651
0.7117     5.6249     8.5105
0.6291     5.7368     8.6324
0.6094     5.8285     8.7625
0.5219     5.9744     8.9137
0.4652     6.0173     8.9729
0.3186     6.0031     9.0008
0.1282     5.9523     9.0444
-0.0637    6.0784     9.096
-0.1759    6.1153     9.0733
-0.2627    6.0807     9.0451
































































































































































-0.0894    3.291      6.1576     NASP-PR
-0.0597    3.165      5.8955
-0.0539    3.177      5.6744
-0.0186    3.1731     5.547
-0.0521    3.226      5.4608





