AMNH       89438      Prvf001z




















































































16.1803    19.6919    6.6301     LORBIT
16.0139    19.7749    6.6493
15.6532    19.8708    6.7745
15.5328    19.8662    6.8696
15.4173    19.8538    7.0018
15.2007    19.7824    7.2658
15.0645    19.7249    7.5483
15.0862    19.65      7.6938
15.0493    19.6172    7.9167
15.2173    19.4383    8.142
15.3316    19.3372    8.2983
15.657     19.0552    8.491
15.856     18.8903    8.5874
16.0074    18.7014    8.5615
16.2871    18.5059    8.6501
16.5928    18.3767    8.4341
16.736     18.3556    8.3255
16.5382    18.218     7.7874






















































































































































































18.1208    15.4009    7.2948     RTEMFOS
18.2872    15.4385    7.0936
18.298     15.5191    6.8155
18.3664    15.5776    6.664
18.3634    15.5808    6.5213
18.3716    15.5664    6.1914
18.3209    15.5005    6.1305
18.079     15.194     6.0003
17.9348    15.0857    5.9661
17.7961    14.9211    5.9892
17.7257    14.9842    5.9519





























































































































































































14.6245    19.7877    7.5418     LTEMFOS
14.5972    19.8011    7.3552
14.6458    19.9206    7.3042
14.7112    19.9576    7.204
14.8048    20.0582    6.8916
14.8562    20.1006    6.7682
14.852     20.0783    6.3769
14.7553    20.0136    6.2336
14.5068    19.8898    6.096
14.3655    19.8229    6.0731
14.1829    19.6901    6.0704
14.0455    19.6313    6.0232




























































































































































































18.4898    19.301     8.0989     OP
17.5249    18.4757    8.5406     BA
14.6456    16.1954    8.9754     ST
9999       9999       9999       IV
18.5711    16.266     8.5292     R_PG
17.541     14.5026    8.2664     R_ZTI
15.9171    15.7497    9.1207     R_M3D
15.2271    14.8505    9.3368     R_M12
14.1865    14.1283    9.3348     R_MP3
13.5527    14.2915    9.3271     R_PMI
15.5775    20.0181    8.6677     L_PG
13.6233    19.4688    8.3879     L_ZTI
14.4145    17.473     9.1938     L_M3D
13.3459    17.0124    9.395      L_M12
12.5227    16.0836    9.459      L_MP3
12.5313    15.5628    9.3967     L_PMI
18.9405    20.2045    6.2867     O1
