MNHN       1958.698   Php16stv
-0.035     19.7377    12.3439    IN
-0.3676    14.9242    15.1982    BR
-0.3772    9.4562     13.6885    GL
-0.3994    9.4607     13.3832    NA
-0.3352    5.5358     9.5749     RH
-0.1517    3.677      7.5187     NS
-0.095     2.8938     6.4475     PR
9999       9999       9999       R_PR2
-0.942     6.6876     10.0421    R_PMS
-4.1704    9.9512     8.7836     R_ZMI
-2.1113    9.5787     11.4169    R_ZMU
-0.6786    9.6428     12.6064    R_DA
-2.2518    9.9115     13.5902    R_MTI
-1.9156    10.718     14.4852    R_MTS
-3.6163    10.6914    12.4868    R_FMO
-4.4494    11.296     12.6259    R_FMT
-4.3866    16.0732    10.4143    R_PO
-5.2916    11.4215    9.8547     R_ZTS
0.8201     3.2489     6.4108     L_PR2
0.2084     6.8919     10.1951    L_PMS
3.5        9.8131     8.6673     L_ZMI
1.6064     9.6574     11.4026    L_ZMU
-0.0272    9.568      12.4677    L_DA
1.439      9.7559     13.6812    L_MTI
1.3936     10.5573    14.4754    L_MTS
2.9817     10.4938    12.5828    L_FMO
3.8225     11.287     12.8364    L_FMT
3.8116     15.804     10.4546    L_PO
4.8138     11.3346    9.9593     L_ZTS
0.5023     2.4548     6.3412     O1
-3.6671    11.2655    13.7762    O2
5.2461     12.6605    10.048     O3
-1.6886    19.388     11.9567    O4







































































































































































-0.4089    9.4784     13.7385    GLRH
-0.4102    9.441      13.4588
-0.3812    9.4619     13.1903
-0.3855    9.4028     12.9494
-0.4014    9.4061     12.8351
-0.3868    9.365      12.6575
-0.3227    9.2456     12.3749
-0.353     9.0837     12.1221
-0.3406    8.9547     11.9717
-0.3456    8.7842     11.7623
-0.3506    8.623      11.618
-0.352     8.4961     11.4991
-0.3448    8.3228     11.3243
-0.342     8.1554     11.1921
-0.3416    8.041      11.1015
-0.3608    7.8036     10.9372
-0.3516    7.6057     10.8054
-0.3626    7.4174     10.6826
-0.356     7.2471     10.6004
-0.3743    7.1        10.5281
-0.3821    6.9948     10.4829
-0.3138    6.8492     10.4143
-0.2912    6.5919     10.3034
-0.286     6.3888     10.1948
-0.2826    6.2067     10.0773
-0.2628    6.0499     9.9847
-0.232     5.8966     9.9021
-0.2782    5.7361     9.7586
-0.2625    5.6465     9.7022
-0.3299    5.543      9.5589










































































































































































-0.3358    5.5867     9.6576     NOSE
-0.527     5.6059     9.6335
-0.7598    5.6031     9.5613
-0.9887    5.745      9.4556
-1.2343    5.5585     9.2797
-1.34      5.4025     9.1397
-1.4045    5.1792     9.0004
-1.3655    4.9595     8.8521
-1.3343    4.7719     8.6367
-1.3107    4.5852     8.4762
-1.272     4.3776     8.2604
-1.1529    4.1397     8.0591
-1.0556    4.0142     7.9903
-0.8866    3.8451     7.9019
-0.7079    3.6939     7.7625
-0.4967    3.5564     7.573
-0.2932    3.5078     7.4723
-0.1259    3.5061     7.4458
0.0472     3.5461     7.5118
0.252      3.6262     7.7164
0.3549     3.7964     7.8875
0.4506     3.9203     7.9963
0.5899     4.1282     8.0914
0.7087     4.3774     8.3734
0.7437     4.5508     8.5534
0.7819     4.7176     8.7056
0.74       4.9631     8.8527
0.6279     5.2486     9.0176
0.5692     5.4126     9.1654
0.4919     5.5433     9.3172
0.4475     5.6649     9.4499
0.3543     5.7123     9.5189
0.223      5.6337     9.5137
-0.0357    5.5087     9.5594
-0.2319    5.6037     9.6371
-0.3497    5.5768     9.6076




































































































































































-0.1497    3.4193     7.3772     NASP-PR
-0.1576    3.2902     7.2666
-0.1755    3.1746     7.1
-0.1585    3.0836     6.9342
-0.1312    3.0099     6.7729
-0.1046    2.9619     6.6563
-0.0641    2.9142     6.5373
-0.0387    2.9477     6.362
































































































































































































-0.8602    6.8652     10.1803    R-PM/MAX
-0.9487    6.678      10.0376
-1.0356    6.4299     9.8782
-1.1401    6.2313     9.7738
-1.2378    6.0234     9.6315
-1.3259    5.8324     9.4874
-1.4126    5.7002     9.3775
-1.4931    5.5613     9.2672
-1.5835    5.3719     9.1166
-1.6583    5.1602     8.7751
-1.7396    5.0547     8.5677
-1.8184    5.0204     8.391
-1.8919    4.9299     8.2194
-1.9388    4.8474     8.0098
-1.9986    4.7852     7.8699
-2.1031    4.722      7.6426
-2.1852    4.613      7.4085
-2.1484    4.433      7.1007
-2.1204    4.3375     6.9129
-2.0362    4.2376     6.7745
-1.8988    4.1878     6.5877
-1.8104    4.1802     6.4234
-1.716     4.1766     6.2961

















































































































































































0.2884     6.6732     10.0687    L-PM/MAX
0.3552     6.5357     9.9699
0.4011     6.4453     9.8921
0.4687     6.3343     9.8231
0.5119     6.2671     9.7704
0.5746     6.1694     9.6987
0.6187     6.0953     9.6499
0.6773     5.996      9.5962
0.7305     5.8901     9.5509
0.7602     5.8094     9.4975
0.8106     5.71       9.4317
0.8769     5.631      9.365
0.9132     5.5573     9.3036
0.9546     5.4864     9.2318
1.027      5.3695     9.1535
1.0564     5.2864     8.992
1.0788     5.1841     8.9233
1.1629     5.087      8.7594
1.2748     5.0507     8.5932
1.3441     5.0119     8.4702
