AMNH       60568      Tg1stv
7.225      6.871      6.5024
7.3192     6.8262     6.4192











































































































































































10.4021    7.7259     9.2081     L-PM/MAX
10.3504    7.6388     9.1294
10.3143    7.555      9.0495
10.2752    7.453      8.9934
10.2329    7.3952     8.9028
10.2035    7.3127     8.8621
10.176     7.2181     8.7905
10.1203    7.144      8.6756
10.059     7.0386     8.5971
10.0011    6.9135     8.5221
9.9185     6.8561     8.4076
9.8941     6.7015     8.3602
9.8754     6.571      8.2776
9.908      6.4659     8.222
9.9749     6.4168     8.1092
10.0514    6.3712     8.058
10.0352    6.2173     7.9179
10.0002    6.1305     7.8174
9.9731     6.0599     7.7172
9.9701     5.9693     7.6568
9.9477     5.8509     7.5569
9.9407     5.7535     7.4457
9.865      5.6481     7.3488
9.8288     5.5067     7.2157
9.7915     5.4444     7.0869
9.7584     5.3921     6.9592
9.6721     5.3203     6.7881
9.5451     5.3339     6.6333
9.5087     5.3516     6.5643
9.3076     5.4046     6.4568
9.246      5.4419     6.4288









































































































































































8.7486     10.3306    6.1286     ROSTRUM
8.74       10.32      6.3578
8.7569     10.3331    6.5287
8.7988     10.2779    6.7525
8.9541     10.2042    6.923
9.1292     10.1117    7.0437
9.2872     10.0021    7.2147
9.3982     9.8507     7.4299
9.4873     9.8426     7.6805
9.5437     9.8027     8.0097
9.6393     9.7471     8.3592
9.6673     9.7037     8.6004
9.6893     9.7175     8.8827
9.6742     9.6785     9.0816
9.6964     9.646      9.3127
9.7583     9.5685     9.4615
9.8655     9.4841     9.5853
9.9955     9.3426     9.7245
10.1534    9.2252     9.8953
10.2278    9.1441     10.0056
10.352     8.9722     10.0525
10.4496    8.8331     10.0928
10.673     8.707      10.0332
10.8224    8.6123     9.9796
10.9562    8.5183     9.8919
11.045     8.456      9.7212
11.214     8.3373     9.563
11.3731    8.2695     9.3897
11.4666    8.2433     9.2538
11.5479    8.3156     9.0361
11.5903    8.376      8.8168
11.6201    8.3935     8.6571
11.6136    8.3181     8.3872
11.6932    8.3041     8.2137
11.7338    8.2861     8.042
11.7975    8.2505     7.8672
11.8235    8.2556     7.6527
11.8203    8.2128     7.486
11.8926    8.1932     7.3253
11.9601    8.1532     7.207
12.0304    8.0913     7.0751
12.1175    8.0014     6.994
12.1915    7.9583     6.9296
12.2454    7.8946     6.8522
12.337     7.8257     6.726
12.3775    7.7886     6.5979
12.3345    7.7186     6.445
12.3134    7.6801     6.2763
12.2947    7.6629     6.1401
12.281     7.7063     5.9989






















































































































































10.163     13.6903    12.7218    SUPORB
10.2423    13.6502    12.9198
10.3266    13.547     13.0743
10.4708    13.4974    13.3125
10.4926    13.3973    13.4966
10.4802    13.1429    13.6557
10.4096    12.9231    13.7336
10.3215    12.7933    13.7561
10.34      12.5745    13.8246
10.483     12.2937    13.918
10.5938    12.0766    13.9474
10.7481    11.8712    13.9635
10.9384    11.7305    13.9844
11.0643    11.6402    13.9943
11.2231    11.5234    14.0113
11.3606    11.455     14.0168
11.4583    11.2305    14.0174
11.5541    11.0544    14.0168
11.6542    10.8543    14.0019
11.7333    10.6733    13.9875
11.8174    10.5555    13.9724
11.9346    10.4411    13.96
12.0199    10.3446    13.9482
12.1435    10.2493    13.8999
12.3329    10.176     13.9064
12.4902    10.0321    13.9296
12.6608    9.9423     13.9672
12.9392    9.8342     13.9891
13.078     9.6639     13.9996
13.2688    9.4922     13.9841
13.3391    9.3568     13.9539
13.5514    9.2739     13.9247
13.7075    9.271      13.8949
13.9145    9.1759     13.8317
14.091     9.2168     13.7934
14.3141    9.1901     13.7082
14.5044    9.3009     13.6484
14.674     9.3476     13.5722
14.7897    9.3937     13.5136
14.9378    9.4545     13.4547
15.0271    9.5196     13.3869
15.1097    9.5148     13.3426
15.1797    9.5297     13.2962
15.2441    9.4947     13.1823
15.2173    9.5273     12.9664
15.27      9.4424     12.836
15.3421    9.3824     12.7056
15.3394    9.3677     12.5864
























































































































































10.4572    11.3015    11.3106    RORBIT
10.3432    11.4863    11.2832
10.2368    11.7038    11.3149
10.1251    11.9056    11.3903
10.0774    12.0649    11.4213
10.0433    12.1794    11.491
10.0517    12.309     11.5758
9.9913     12.4816    11.7059
10.0106    12.6204    11.8447
10.0368    12.7126    11.9729
10.0439    12.7906    12.1195
10.0891    12.8571    12.2994
10.0929    12.9171    12.4579
10.0773    12.941     12.6288
10.0859    12.8632    12.8546
10.1241    12.7424    12.9721
10.0952    12.5995    13.1117
10.0633    12.4682    13.2263
10.0985    12.2483    13.3304
10.1699    12.0352    13.4028
10.2267    11.897     13.4181
10.2922    11.7585    13.4242
10.3534    11.5984    13.4195
10.4698    11.4411    13.4088
