UCB LHES   112        Tg4stv
12.79449   14.66754   14.13578   IN
10.07449   11.83849   16.35716   BR
5.61823    6.29598    14.06628   GL
5.72001    6.48614    13.59423   NA
5.18794    5.61506    9.37703    RH
3.55801    3.72789    7.47488    NS
3.19551    3.25389    5.47748    PR
2.76813    3.79489    5.35614    R_PR2
5.4261     6.45281    10.16922   R_PMS
4.0669     10.46684   8.99341    R_ZMI
5.03522    8.25885    11.68109   R_ZMU
5.83291    7.1005     12.96142   R_DA
4.39675    7.83103    13.42633   R_MTI
4.80368    7.77465    14.3474    R_MTS
4.2371     9.48684    13.07477   R_FMO
4.26061    10.10509   13.4445    R_FMT
8.02572    14.8559    11.33143   R_PO
3.83391    11.93855   10.28116   R_ZTS
3.67985    2.82853    5.53062    L_PR2
5.55756    5.32928    9.40168    L_PMS
9.94537    5.15949    9.24541    L_ZMI
7.75183    5.85072    11.96013   L_ZMU
6.48114    6.60617    12.98699   L_DA
7.34467    5.20281    13.74596   L_MTI
7.61918    5.72186    14.54481   L_MTS
9.03941    5.43267    13.48284   L_FMO
9.68019    5.55868    13.76876   L_FMT
14.14927   9.81806    11.86518   L_PO
11.69314   5.26797    10.83586   L_ZTS
2.5756     3.97463    6.66005    O1
5.15798    9.29852    14.39576   O2
13.75755   7.2076     11.04052   O3
13.88979   13.2495    13.59216   O4







































































































































































5.61619    6.32973    13.95585   GLRH
5.6972     6.41645    13.79284
5.74028    6.43988    13.67641
5.79288    6.51702    13.46412
5.84009    6.52236    13.32592
5.88643    6.60265    13.13964
5.96922    6.69063    12.93645
6.02413    6.71133    12.75366
6.03897    6.76538    12.62861
6.07573    6.74417    12.50956
6.06746    6.7574     12.37269
6.07577    6.7354     12.18789
6.0623     6.73153    12.03461
6.06054    6.72062    11.90951
6.04298    6.6762     11.74665
6.05266    6.65318    11.55564
6.02032    6.64253    11.41826
6.02378    6.5749     11.29868
5.97794    6.5322     11.15959
5.91208    6.48789    10.96717
5.83465    6.41481    10.80192
5.80246    6.38299    10.71679
5.75337    6.34413    10.62293
5.72814    6.30049    10.52013
5.67705    6.21861    10.38178
5.59347    6.2166     10.26472
5.54496    6.14576    10.15717
5.56381    6.06517    10.11172
5.48951    5.97024    9.97522
5.36435    5.89494    9.80329
5.33385    5.76766    9.69652
5.24727    5.69958    9.55172
5.20358    5.67021    9.47258
5.1607     5.64771    9.37723






































































































































































5.15906    5.63257    9.40711    NOSE
5.05896    5.71041    9.43824
4.94372    5.73905    9.39455
4.81797    5.7884     9.32363
4.70929    5.80096    9.25819
4.59475    5.81751    9.15194
4.50715    5.78514    9.05526
4.4026     5.78862    8.96739
4.32065    5.77033    8.89358
4.21411    5.71823    8.81285
4.13729    5.66475    8.71661
4.02822    5.65231    8.65128
3.96823    5.60732    8.60188
3.91392    5.53439    8.52505
3.76748    5.43554    8.38117
3.66937    5.31835    8.27159
3.61677    5.25754    8.1843
3.56498    5.18651    8.10031
3.47486    5.13558    8.01578
3.41222    5.03546    7.94755
3.35375    4.90185    7.87304
3.28826    4.79825    7.80946
3.25963    4.60101    7.74275
3.24245    4.47202    7.70717
3.20157    4.31175    7.65788
3.23849    4.17603    7.65849
3.29699    4.01957    7.69682
3.28554    3.83223    7.73781
3.32       3.7262     7.70754
3.39553    3.70745    7.56834
3.48198    3.66518    7.46332
3.62296    3.63298    7.54857
3.76883    3.58704    7.66235
3.92255    3.54275    7.77097
4.03622    3.49268    7.75646
4.17156    3.59337    7.78498
4.30779    3.60684    7.8207
4.40798    3.62362    7.84908
4.51756    3.65231    7.89826
4.61651    3.71261    7.97124
4.7075     3.77951    8.03936
4.79555    3.82674    8.0907
4.89546    3.93424    8.17013
4.9688     4.05234    8.28269
5.0461     4.10849    8.37845
5.11074    4.20997    8.48533
5.15586    4.30912    8.55585
5.23021    4.45942    8.63724
5.32029    4.57465    8.75553
5.37094    4.72208    8.87895
5.38941    4.93768    8.98152
5.45517    5.02903    9.09722
5.45376    5.08704    9.16404
5.45233    5.18474    9.2432
5.4077     5.3121     9.27964
5.3633     5.383      9.38168
5.28564    5.48761    9.41949
5.17961    5.60537    9.42397














































































































































3.55047    3.67122    7.49895    NASP-PR
