BPI        M3084      Ppb2stv




























































































6.9058     17.2208    2.7303     SUPORB
6.9295     17.3086    2.8366
6.9687     17.4149    3.0574
7.0596     17.5248    3.2109
7.1267     17.6152    3.3121
7.2382     17.6551    3.497
7.368      17.7253    3.678
7.5646     17.859     3.7956
7.7517     17.926     3.9378
7.9408     17.9676    4.085
8.1529     18.0199    4.2331
8.354      18.1075    4.3198
8.5191     18.1145    4.4355
8.6772     18.0666    4.5669
8.9329     18.1626    4.6986
9.1414     18.1459    4.8196
9.3658     18.1875    4.9256
9.6343     18.2638    5.0088
9.8137     18.2443    5.0741
10.0235    18.1517    5.1605
10.1794    18.127     5.1711
10.3249    18.0036    5.2105
10.5041    17.8664    5.2794
10.6943    17.7787    5.3219
10.8827    17.8407    5.338
11.0645    17.9758    5.3336
11.2792    18.0218    5.3637
11.4691    18.0963    5.3287
11.6792    18.0658    5.3296
11.9294    17.8756    5.2909
12.1651    17.8219    5.2687
12.4261    17.8098    5.192
12.6338    17.778     5.1423
12.8375    17.7013    5.0968
13.0348    17.7092    5.0284
13.2176    17.7123    4.9374
13.478     17.6661    4.8103
13.7041    17.6094    4.7029
13.9207    17.5169    4.599
14.0778    17.4996    4.4705
14.2133    17.4201    4.3981
14.3676    17.3114    4.2862
14.6025    17.2801    4.0372
14.7831    17.2129    3.7387
14.8806    17.0114    3.5828



























































































































































8.5228     15.4342    3.2056     RORBIT
8.2415     15.575     3.1354
8.0398     15.7527    3.0511
7.8925     15.8921    3.058
7.7258     16.1081    3.0605
7.5337     16.3809    3.0669
7.4739     16.5718    3.1251
7.4852     16.7545    3.234
7.5319     16.8957    3.3264
7.5766     16.9991    3.436
7.611      17.0823    3.5312
7.7366     17.1476    3.7126
7.8429     17.1926    3.8457
8.0038     17.2304    3.9112
8.2703     17.2809    4.0129
8.421      17.2567    4.151
8.5276     17.2729    4.1746
8.7022     17.2516    4.2544
8.9027     17.2945    4.295
9.0354     17.2505    4.452
9.1771     17.2219    4.5004
9.3226     17.2117    4.6031
9.5217     17.2301    4.7072
9.6542     17.2044    4.8232
9.7761     17.2361    4.7587
9.9879     17.0464    4.7794
10.1064    16.7765    4.6348
10.1349    16.6576    4.5015
10.1814    16.5554    4.4231
10.2058    16.4388    4.3695
10.1912    16.3772    4.3053
10.1447    16.2123    4.2398








































































































































































12.8392    15.3766    3.8628     LORBIT
13.104     15.3434    3.8979
