BNMM       FC 346     Phbots1sf2
0.7726    12.1564    11.0924
0.5407    12.1431    11.1781
0.422    12.1376    11.2643
0.3217    12.1479    11.4169
0.1514     12.159    11.4568
-0.0333    12.1893    11.4739
9999       9999       9999








































































































































































4.8101    16.8131    12.0799    SUPORB
4.8062    16.9227    12.2143
4.7257    17.0078    12.6403
4.7009    17.0816    12.8865
4.6312    17.1964    13.1845
4.5265    17.1869    13.3621
4.3606    17.2393    13.6324
4.179    17.2375    13.8127
3.9662    17.1106    14.0892
3.2265    16.9238     14.367
2.9545    16.8324    14.4161
2.2952      16.75    14.4291
1.9569    16.6963    14.4451
1.7111    16.6348    14.4552
1.3717    16.5582    14.3925
0.9978    16.5183    14.2794
0.6698    16.4802    14.2128
0.4131    16.4981    14.1407
9999       9999       9999





















































































































































































1.8286    15.0341    12.1157    RORBIT
2.4448    15.0677    12.2954
2.7802    15.2418    12.2119
3.2259    15.4132    12.1498
3.4521    15.6331    12.1473
3.6906    15.8503    12.2203
3.9975    16.0374     12.247
4.0309    16.3121    12.4866
4.0759    16.4833    12.7822
3.9573    16.5803    13.0632
3.8874     16.583    13.2812
3.8141    16.5619    13.4484
3.42      16.4518    13.7105
3.1895     16.384    13.7536
2.9576    16.3152    13.7958
2.6707    16.2658    13.8002
2.4058    16.1882     13.791
2.1131    16.1557    13.6766
1.6745    16.2142    13.7642
1.4262    16.2109    13.7328
1.2367    16.2344    13.5686
0.9677    16.2233    13.3454
0.8559    16.2186    13.0634
0.8672    16.1273    12.7934
















































































































































































9999       9999       9999    LORBIT







































































































































































































4.8038    16.8568    12.1141    RTEMFOS
4.7864    16.6749     11.935
4.7979     16.485    11.7914
4.7752     16.307    11.6037
