AMNH       119761     laj3ms8.xls
15.1171    16.9088    -10.1972   IN
13.2898    13.6027    -13.2985   BR
11.1372    9.0352     -11.6547   GL
11.0755    8.8975     -11.3085   NA
10.3362    6.9565     -9.409     RH
9.9636     5.9413     -7.5243    NS
9.7679     5.5336     -6.6066    PR
10.5744    5.4986     -6.5754    R_PR2
11.1443    7.7837     -9.81      R_PMS
14.2336    7.8288     -7.8682    R_ZMI
12.8017    8.0044     -9.7675    R_ZMU
11.5813    9.0287     -10.7322   R_DA
12.8311    8.8027     -11.7356   R_MTI
12.9507    9.2077     -12.2054   R_MTS
14.1784    8.5269     -10.5586   R_FMO
14.7136    8.764      -10.4674   R_FMT
16.6223    12.5203    -8.8919    R_PO
15.4302    8.4244     -8.5578    R_ZTS
9.2833     6.0812     -6.6041    L_PR2
10.5686    8.219      -9.8138    L_PMS
8.9129     10.4539    -7.5844    L_ZMI
9.5904     9.5912     -9.6198    L_ZMU
11.0146    9.2783     -10.4892   L_DA
10.0524    10.0962    -11.6184   L_MTI
10.2411    10.5464    -12.0553   L_MTS
9.0314     11.1211    -10.3518   L_FMO
8.9653     11.7475    -10.176    L_FMT
10.8089    15.3752    -8.6204    L_PO
8.4165     11.899     -8.1505    L_ZTS
10.1836    5.1574     -6.7132    O1
14.2685    7.4393     -8.7178    O2
17.0513    13.1225    -9.6302    O3
15.5145    15.9788    -11.2313   O4







































































































































































11.2104    9.0145     -11.6439   GLRH
11.1745    8.9508     -11.4898
11.1379    8.9131     -11.3606
11.1333    8.8473     -11.2298
11.107     8.7835     -11.089
11.0715    8.7062     -10.8964
11.0376    8.6198     -10.7595
10.9944    8.5187     -10.5856
10.9531    8.3862     -10.4167
10.8855    8.2563     -10.2592
10.8286    8.0869     -10.1203
10.7494    7.9046     -9.9799
10.6897    7.6956     -9.8946
10.6118    7.4692     -9.8271
10.5039    7.2963     -9.7282
10.4455    7.1359     -9.6211
10.3952    7.0218     -9.4987
10.3777    6.9538     -9.4118






















































































































































































10.363     6.9611     -9.3848    NOSE
10.4602    6.9168     -9.432
10.5575    6.8659     -9.4317
10.6034    6.8006     -9.3493
10.6728    6.7504     -9.2438
10.7036    6.7426     -9.1945
10.82      6.8033     -9.1764
10.8592    6.8983     -9.1893
10.8716    6.9502     -9.1698
10.8762    6.933      -9.0944
10.9093    6.8903     -8.9348
10.9515    6.8062     -8.8152
10.9545    6.718      -8.6954
10.9527    6.6114     -8.5633
10.9232    6.4753     -8.4574
10.8647    6.3958     -8.2745
10.7731    6.2569     -8.1721
10.7029    6.136      -8.0388
10.6034    6.0597     -7.9412
10.4648    5.9913     -7.8261
10.3708    5.9002     -7.7291
10.2609    5.8642     -7.6319
10.1203    5.8256     -7.5275
9.9888     5.8704     -7.4469
9.8638     5.9787     -7.5585
9.8145     6.0721     -7.6689
9.7374     6.2089     -7.7417
9.6746     6.3486     -7.8653
9.6691     6.5519     -7.9799
9.665      6.7401     -8.1442
9.7307     6.8643     -8.3212
9.7162     6.9583     -8.3624
9.7704     7.0928     -8.47
9.8097     7.1802     -8.5561
9.8489     7.2889     -8.7177
9.9282     7.3454     -8.8393
9.9925     7.3408     -8.9721
10.0298    7.3387     -9.0882
10.0458    7.3452     -9.2424
10.0597    7.3339     -9.1872
10.0779    7.2194     -9.1374
10.0583    7.0868     -9.0978
10.1344    7.0396     -9.166
10.1914    7.0362     -9.2868
10.2321    7.043      -9.3276
10.3599    6.9712     -9.3398


























































































































































9.9694     5.9494     -7.5235    NASP-PR
9.9183     5.8302     -7.4357
9.8883     5.6668     -7.1976
9.8748     5.5764     -6.9736
9.813      5.5441     -6.771
9.7965     5.5437     -6.5974


































































































































































































11.2202    7.7158     -9.7015    R-PM/MAX
11.2004    7.5484     -9.5629
11.1679    7.403      -9.4688
11.2207    7.2332     -9.2643
11.2486    7.0249     -9.0707
11.288     6.845      -8.8951
11.3176    6.6955     -8.682
11.2945    6.4696     -8.3967
11.3061    6.3603     -8.1878
11.3479    6.2699     -7.9753
11.4568    6.124      -7.6665
11.4625    5.9919     -7.4664
11.536     5.9112     -7.3196
11.5629    5.8911     -7.1659
11.5953    5.9087     -7.0712

























































































































































































10.5292    8.2016     -9.7756    L-PM/MAX
10.4359    8.1087     -9.6453
10.3313    8.0362     -9.5028
10.1958    7.876      -9.3326
10.0281    7.7636     -9.1033
9.8497     7.6594     -8.8913
9.6907     7.5248     -8.6182
9.5783     7.4265     -8.3927
9.4962     7.3473     -8.1634
9.391      7.3651     -7.9578
9.2658     7.2614     -7.6317
9.1444     7.2684     -7.3949
8.9963     7.2734     -7.1748
8.9958     7.2326     -6.9953
9.0149     7.2318     -6.8999

























































































































































































12.6293    7.401      -6.8567    ROSTRUM
12.6175    7.4112     -7.0187
12.6433    7.4029     -7.1425
12.604     7.4443     -7.3375
12.5155    7.4527     -7.4954
12.3936    7.5308     -7.6652
12.3343    7.5769     -7.7983
12.2728    7.6022     -7.9614
12.2325    7.5843     -8.1188
12.206     7.5975     -8.3315
12.1791    7.6031     -8.453
12.182     7.6497     -8.5886
12.1567    7.6651     -8.7275
12.1618    7.649      -8.865
12.1415    7.6195     -8.9745
12.13      7.5745     -9.1019
12.0397    7.6577     -9.2708
11.9313    7.6677     -9.3129
11.8291    7.7208     -9.3673
11.6831    7.8268     -9.4663
11.5177    7.9227     -9.5527
11.3513    8.0165     -9.6572
11.2376    8.0672     -9.7905
11.1667    8.0882     -10.0135
11.011     8.1513     -10.223
10.9167    8.2003     -10.2988
10.8574    8.2525     -10.316
10.7684    8.3531     -10.2044
10.6686    8.4326     -10.0678
10.5893    8.4973     -9.8094
10.4265    8.4924     -9.5238
10.199     8.5775     -9.3368
9.9043     8.7241     -9.1416
9.7019     8.7483     -9.0733
9.6544     8.7815     -8.9731
9.7337     8.7521     -8.7496
9.7785     8.8611     -8.4256
9.7482     8.9178     -8.1193
9.7282     8.9477     -7.8792
9.6546     8.9965     -7.5563
9.5674     9.0231     -7.3814
9.4664     9.0329     -7.1507
9.4586     9.0386     -6.8854
9.466      9.0601     -6.744
9.4686     9.0445     -6.6697



























































































































































14.724     8.8202     -10.4546   SUPORB
14.7691    8.8549     -10.5836
14.7402    8.9204     -10.7836
14.6315    8.973      -10.9723
14.5371    9.0402     -11.2062
14.3077    9.1239     -11.4835
14.0553    9.1842     -11.7202
13.7698    9.1954     -11.894
13.3707    9.1631     -12.072
13.0834    9.1373     -12.1379
12.6538    9.1847     -12.2263
12.3055    9.2372     -12.2355
12.0321    9.2407     -12.2041
11.7367    9.2577     -12.1581
11.5062    9.3206     -12.0829
11.4242    9.3652     -12.0801
11.2944    9.421      -12.0476
11.1135    9.5492     -12.0642
10.9015    9.7412     -12.143
10.646     10.0387    -12.1625
10.4518    10.252     -12.1336
10.2292    10.5306    -12.0964
9.8466     10.9077    -11.8566
9.6141     11.237     -11.599
9.409      11.5306    -11.308
9.212      11.6996    -10.9851
9.056      11.7892    -10.7053
8.9558     11.8439    -10.3897
8.9045     11.8006    -10.1998
8.8861     11.7566    -10.0851










































































































































































12.7854    8.0825     -9.7783    RORBIT
13.009     8.0849     -9.7675
13.3835    8.1119     -9.7917
13.6369    8.2307     -9.8972
13.8574    8.3568     -10.0371
13.9907    8.4608     -10.1935
14.0968    8.5549     -10.4228
14.1229    8.5796     -10.6738
14.0766    8.676      -10.8592
14.0046    8.6576     -11.1168
13.8534    8.6947     -11.361
13.6783    8.7125     -11.5749
13.4462    8.7524     -11.6354
13.1847    8.756      -11.6956
12.9435    8.7785     -11.7133
12.6487    8.8157     -11.828
12.3976    8.8593     -11.8143
12.1533    9.0084     -11.6141
12.0278    9.0083     -11.5359
11.7776    9.0673     -11.1782
11.5899    9.065      -10.8287



















































































































































































9.5586     9.7052     -9.6131    LORBIT
9.4596     9.8775     -9.5797
9.2973     10.1768    -9.5729
