AMNH       119761     laj3ms2.xls
16.9515    13.4096    -10.004    IN
14.5427    10.4139    -13.2063   BR
11.7066    6.2302     -11.5432   GL
11.6117    6.1194     -11.1689   NA
10.531     4.3757     -9.2551    RH
9.9477     3.4379     -7.3945    NS
9.7092     3.0836     -6.4532    PR
10.4832    2.9137     -6.4339    R_PR2
11.4728    5.0768     -9.7012    R_PMS
14.626     4.5889     -7.671     R_ZMI
13.1446    4.9504     -9.6205    R_ZMU
12.1101    6.1678     -10.6308   R_DA
13.3045    5.788      -11.5542   R_MTI
13.4809    6.0649     -12.0399   R_MTS
14.5832    5.2697     -10.3942   R_FMO
15.1497    5.3842     -10.2864   R_FMT
17.8077    8.6987     -8.857     R_PO
15.5745    4.8866     -8.3888    R_ZTS
9.3169     3.6863     -6.4652    L_PR2
10.8852    5.5163     -9.5976    L_PMS
9.6298     8.2152     -7.4774    L_ZMI
10.2476    7.0612     -9.5245    L_ZMU
11.6317    6.5101     -10.3527   L_DA
10.8491    7.512      -11.4395   L_MTI
10.9838    7.8164     -11.914    L_MTS
9.9557     8.666      -10.2503   L_FMO
10.0286    9.2695     -10.1734   L_FMT
12.4579    12.6433    -8.5683    L_PO
9.468      9.548      -8.1517    L_ZTS
10.05      2.6358     -6.4391    O1
14.5153    4.1491     -8.5773    O2
18.2168    9.3054     -9.4415    O3
17         12.3544    -11.3092   O4







































































































































































11.7675    6.1735     -11.4724   GLRH
11.7299    6.152      -11.3522
11.6846    6.0874     -11.214
11.6583    6.0142     -11.0341
11.5987    5.9714     -10.8801
11.5654    5.9118     -10.7406
11.5518    5.8565     -10.6603
11.4791    5.798      -10.5087
11.4238    5.7132     -10.3824
11.3771    5.6055     -10.2615
11.2959    5.4633     -10.0861
11.1858    5.3341     -9.978
11.1367    5.1876     -9.8646
11.0617    5.0759     -9.7953
10.9462    4.9213     -9.7234
10.842     4.7618     -9.6564
10.724     4.6166     -9.5728
10.6592    4.4935     -9.499
10.5796    4.4081     -9.3697
10.5605    4.3387     -9.2998
10.5297    4.3744     -9.2519



















































































































































































10.53      4.3675     -9.2715    NOSE
10.6227    4.2807     -9.2816
10.6804    4.2713     -9.2185
10.722     4.189      -9.1678
10.7924    4.1007     -9.1509
10.8507    4.0774     -9.0511
10.8447    4.0831     -9.0144
10.9151    4.0757     -9.0037
10.9909    4.2119     -9.0661
11.0199    4.2381     -9.0599
11.1069    4.1589     -8.8358
11.1096    4.0548     -8.6454
11.0896    3.9703     -8.5189
11.053     3.8735     -8.3742
10.9385    3.7201     -8.1365
10.8188    3.6203     -7.9876
10.6987    3.5307     -7.8332
10.4876    3.5247     -7.6462
10.3357    3.4512     -7.5468
10.198     3.3769     -7.4956
10.0775    3.3874     -7.4338
9.9808     3.4111     -7.3877
