AMNH       119761     laj3ms4.xls
14.3727    15.4127    -10.1781   IN
12.4388    12.0978    -13.3397   BR
9.9563     7.6454     -11.4791   GL
9.9134     7.5746     -11.2096   NA
8.9831     5.771      -9.2654    RH
8.469      4.8263     -7.3519    NS
8.2218     4.4865     -6.4388    PR
9.0464     4.3991     -6.3648    R_PR2
9.8378     6.5451     -9.6771    R_PMS
12.9395    6.4549     -7.6345    R_ZMI
11.5201    6.6197     -9.5998    R_ZMU
10.4181    7.7157     -10.6594   R_DA
11.6552    7.4025     -11.5587   R_MTI
11.7803    7.7379     -12.0463   R_MTS
12.9582    7.0429     -10.3178   R_FMO
13.477     7.2921     -10.2057   R_FMT
15.4955    10.9726    -8.7408    R_PO
13.8545    6.8784     -8.3215    R_ZTS
7.8704     5.0936     -6.3671    L_PR2
9.2224     6.975      -9.6529    L_PMS
7.7571     9.4199     -7.5809    L_ZMI
8.4072     8.4704     -9.5903    L_ZMU
9.8381     7.98       -10.404    L_DA
8.8826     8.909      -11.5404   L_MTI
9.0409     9.2308     -11.9732   L_MTS
7.941      9.9686     -10.293    L_FMO
7.9408     10.5834    -10.243    L_FMT
10.0241    14.1937    -8.6986    L_PO
7.2799     10.7258    -8.224     L_ZTS
8.6127     4.0656     -6.3226    O1
12.9068    6.0101     -8.474     O2
16.0403    11.5591    -9.476     O3
14.5828    14.3579    -11.4684   O4







































































































































































10.0135    7.6314     -11.3664   GLRH
9.9768     7.573      -11.2388
9.9396     7.5145     -11.0541
9.8804     7.458      -10.8875
9.8142     7.3549     -10.6547
9.7502     7.2445     -10.4584
9.6477     7.1105     -10.2537
9.5917     6.9842     -10.1072
9.4872     6.7607     -9.9153
9.368      6.5267     -9.7823
9.2589     6.3083     -9.6823
9.1724     6.0986     -9.5977
9.0993     5.9456     -9.4729
9.0425     5.8671     -9.3794
9.0139     5.8088     -9.3053
9.0054     5.7878     -9.2749
























































































































































































8.9833     5.7864     -9.2461    NOSE
9.035      5.7382     -9.2553
9.1261     5.7033     -9.2777
9.1712     5.6457     -9.2386
9.2202     5.5458     -9.1191
9.2673     5.5763     -9.034
9.3142     5.5838     -9.0054
9.39       5.5336     -9.068
9.4334     5.6049     -9.0854
9.4992     5.6763     -9.073
9.5144     5.7088     -9.0305
9.54       5.6792     -8.9463
9.5864     5.5998     -8.8133
9.6063     5.5176     -8.6451
9.5947     5.3722     -8.4304
9.4713     5.2901     -8.2278
9.4934     5.2391     -8.2384
9.3477     5.1814     -8.0339
9.3051     5.1207     -7.9802
9.2327     4.97       -7.8842
9.1195     4.9536     -7.7661
8.9551     4.8948     -7.6211
8.8193     4.8522     -7.5306
8.6001     4.8664     -7.462
8.4995     4.8547     -7.399
8.4203     4.8949     -7.4289
8.3155     4.9558     -7.5255
8.2759     5.2327     -7.7
8.2276     5.4685     -7.8973
8.2572     5.6432     -8.0445
8.3115     5.7078     -8.1574
8.3112     5.813      -8.2216
8.3757     6.0173     -8.4011
8.443      6.1463     -8.5739
8.5341     6.2181     -8.7354
8.6303     6.222      -8.9316
8.6856     6.1901     -9.1034
8.6844     6.0887     -9.0359
8.6511     5.9863     -9.0055
8.6787     5.9095     -8.9902
8.745      5.8639     -9.0892
8.8763     5.8438     -9.2266
8.9872     5.7954     -9.2379





























































































































































8.4788     4.8767     -7.3979    NASP-PR
8.4484     4.763      -7.3296
8.4029     4.6384     -7.1954
8.3689     4.5275     -7.0006
8.3399     4.487      -6.808
8.2819     4.4644     -6.6668
8.2701     4.4611     -6.583
8.2409     4.4647     -6.4614
































































































































































































9.8737     6.3967     -9.5426    R-PM/MAX
9.8497     6.2101     -9.3465
9.8758     6.0327     -9.1451
9.9232     5.8002     -8.9305
9.9056     5.5983     -8.7047
9.8956     5.3838     -8.3997
9.8633     5.1958     -8.0854
9.9067     5.0361     -7.7452
9.9518     4.8849     -7.4007
10.0184    4.7378     -7.1371
10.0611    4.7077     -6.9346
10.0549    4.7335     -6.8207




























































































































































































9.2007     6.9339     -9.6067    L-PM/MAX
9.1145     6.8625     -9.4828
8.9527     6.7251     -9.3009
8.8439     6.6308     -9.1487
8.6497     6.5387     -8.9228
8.5075     6.4462     -8.7342
8.2965     6.3907     -8.4247
8.2066     6.2883     -8.2299
8.0841     6.2276     -7.931
7.9603     6.2194     -7.7328
7.8242     6.2177     -7.4674
7.7165     6.2053     -7.2546
7.5978     6.1717     -7.0371
7.5928     6.1997     -6.9176
7.5984     6.2018     -6.8258

























































































































































































10.9994    6.3404     -6.6086    ROSTRUM
10.9992    6.3183     -6.7672
11.0044    6.3216     -7.0291
10.9446    6.375      -7.2838
10.7985    6.4521     -7.4837
10.7277    6.5319     -7.6799
10.677     6.5532     -7.9047
10.6839    6.5589     -8.066
10.6413    6.5593     -8.4051
10.6038    6.5714     -8.51
10.6258    6.5387     -8.6868
10.6033    6.4938     -8.8337
10.5659    6.4368     -9.0372
10.4861    6.4752     -9.0747
10.3418    6.5684     -9.1919
10.1308    6.7061     -9.3331
9.9669     6.8812     -9.5105
9.8126     7.0231     -9.7037
9.7453     7.0721     -9.9549
9.6334     7.0733     -10.106
9.4776     7.1188     -10.225
9.4075     7.1582     -10.2408
9.333      7.2572     -10.1509
9.1882     7.3338     -9.9517
9.0861     7.4159     -9.667
8.9764     7.4737     -9.4659
8.7401     7.5691     -9.2894
8.4699     7.657      -9.147
8.2569     7.7256     -9.0392
8.166      7.7598     -8.912
8.2253     7.7502     -8.7694
8.2583     7.7324     -8.605
8.2459     7.6866     -8.383
8.1611     7.6933     -8.0988
8.1115     7.7309     -7.802
7.9389     7.7247     -7.4337
7.8417     7.7756     -7.1241
